## 1
## 동봉된 120mm 냉각팬 2개를 라디에이터에 달고, 사용자의 CPU 규격에 맞는 블래킷만 워터블록에 결합하면 시스템에 수냉 쿨러를 달 준비가 끝난다.
## 동봉된 <120mm:NOH> 냉각팬 <2개:NOH>를 라디에이터에 달고, 사용자의 CPU 규격에 맞는 블래킷만 워터블록에 결합하면 시스템에 수냉 쿨러를 달 준비가 끝난다.
동봉	동봉	NNG	O
된	되+ㄴ	XSV+ETM	O
_	_	_	O
120	120	SN	B-NOH
mm	mm	SL	I-NOH
_	_	_	O
냉각	냉각	NNG	O
팬	팬	NNG	O
_	_	_	O
2	2	SN	B-NOH
개	개	NNB	I-NOH
를	를	JKO	O
_	_	_	O
라디에이터	라디에이터	NNG	O
에	에	JKB	O
_	_	_	O
달	달	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
사용자	사용자	NNG	O
의	의	JKG	O
_	_	_	O
CPU	CPU	SL	O
_	_	_	O
규격	규격	NNG	O
에	에	JKB	O
_	_	_	O
맞	맞	VV	O
는	는	ETM	O
_	_	_	O
블래킷	블래킷	NNP	O
만	만	JX	O
_	_	_	O
워터	워터	NNG	O
블록	블록	NNG	O
에	에	JKB	O
_	_	_	O
결합하	결합하	VV	O
면	면	EC	O
_	_	_	O
시스템	시스템	NNG	O
에	에	JKB	O
_	_	_	O
수	수	NNG	O
냉	냉	NNG	O
_	_	_	O
쿨러	쿨러	NNG	O
를	를	JKO	O
_	_	_	O
달	달	NNB	O
_	_	_	O
준비	준비	NNG	O
가	가	JKS	O
_	_	_	O
끝난다	끝나+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 우리나라의 1인당 국민총소득(GNI)이 11년째 3만 달러의 벽을 넘지 못했다.
## 우리나라의 <1인:NOH>당 국민총소득(GNI)이 <11년째:DUR> <3만 달러:MNY>의 벽을 넘지 못했다.
우리나라	우리나라	NNG	O
의	의	JKG	O
_	_	_	O
1	1	SN	B-NOH
인	인	NNG	I-NOH
당	당	XSN	O
_	_	_	O
국민	국민	NNG	O
총소득	총소득	NNG	O
(	(	SS	O
GNI	GNI	SL	O
)	)	SS	O
이	이	JKS	O
_	_	_	O
11	11	SN	B-DUR
년	년	NNB	I-DUR
째	째	XSN	I-DUR
_	_	_	O
3	3	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
달러	달러	NNB	I-MNY
의	의	JKG	O
_	_	_	O
벽	벽	NNG	O
을	을	JKO	O
_	_	_	O
넘	넘	VV	O
지	지	EC	O
_	_	_	O
못	못하	VX	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 백재현 男성추행 혐의, "사우나서 자고있는 틈을 타..."
## <백재현:PER> 男성추행 혐의, "사우나서 자고있는 틈을 타..."
백재현	백재현	NNP	B-PER
_	_	_	O
男	男	SH	O
성추행	성추행	NNG	O
_	_	_	O
혐의	혐의	NNG	O
,	,	SP	O
_	_	_	O
