## 1
## 문 후보는 “암기 위주의 교육은 4차 산업혁명에 맞지 않다”며 교육 체계 개편을 강조했다.
## <문:PER> 후보는 “암기 위주의 교육은 <4차 산업혁명:POH>에 맞지 않다”며 교육 체계 개편을 강조했다.
문	문	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
암기	암기	NNG	O
_	_	_	O
위주	위주	NNG	O
의	의	JKG	O
_	_	_	O
교육	교육	NNG	O
은	은	JX	O
_	_	_	O
4	4	SN	B-POH
차	차	NNB	I-POH
_	_	_	I-POH
산업	산업	NNG	I-POH
혁명	혁명	NNG	I-POH
에	에	JKB	O
_	_	_	O
맞	맞	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
교육	교육	NNG	O
_	_	_	O
체계	체계	NNG	O
_	_	_	O
개편	개편	NNG	O
을	을	JKO	O
_	_	_	O
강조	강조하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이같은 빅스비의 기능은 딥러닝(Deep-Learning) 기술을 통해 자주 활용될수록 최적화된다.
## 이같은 <빅스비:POH>의 기능은 딥러닝(Deep-Learning) 기술을 통해 자주 활용될수록 최적화된다.
이	이	NP	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
빅스	빅스	NNP	B-POH
비	비	XSN	I-POH
의	의	JKG	O
_	_	_	O
기능	기능	NNG	O
은	은	JX	O
_	_	_	O
딥	딥	NNG	O
러닝	러닝	NNG	O
(	(	SS	O
Deep	Deep	SL	O
-	-	SO	O
Learning	Learning	SL	O
)	)	SS	O
_	_	_	O
기술	기술	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
자주	자주	MAG	O
_	_	_	O
활용될수록	활용되+ㄹ수록	VV+EC	O
_	_	_	O
최적화된다	최적화되+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## "동호 유키스 할 때가 엊그제 같은데..." "동호 결혼축하해요" "동호 결혼 행복했으면" 등 동호에 대한 애정어린 응원을 이어가고 있다.
## "<동호:PER> <유키스:ORG> 할 때가 엊그제 같은데..." "<동호:PER> 결혼축하해요" "<동호:PER> 결혼 행복했으면" 등 <동호:PER>에 대한 애정어린 응원을 이어가고 있다.
"	"	SS	O
동호	동호	NNP	B-PER
_	_	_	O
유	유	NNG	B-ORG
키스	키스	NNG	I-ORG
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
가	가	JKS	O
_	_	_	O
엊그제	엊그제	NNG	O
_	_	_	O
같	같	VA	O
은데	은데	EF	O
.	.	SF	O
.	.	SF	O
.	.	SF	O
"	"	SS	O
_	_	_	O
"	"	SS	O
동호	동호	NNP	B-PER
_	_	_	O
결혼	결혼	NNG	O
축하해요	축하하+여요	VV+EF	O
"	"	SS	O
_	_	_	O
"	"	SS	O
동호	동호	NNP	B-PER
_	_	_	O
결혼	결혼	NNG	O
_	_	_	O
행복	행복하	VA	O
했	었	EP	O
으면	으면	EF	O
"	"	SS	O
_	_	_	O
등	등	NNB	O
_	_	_	O
동호	동호	NNP	B-PER
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
애정	애정	NNG	O
어린	어리+ㄴ	VV+ETM	O
_	_	_	O
응원	응원	NNG	O
을	을	JKO	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
가	가	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 한편, 동호는 2008년 아이돌그룹 유키스 멤버로 데뷔 후 2013년 연예계 활동을 잠정 중단한 바 있다.
## 한편, <동호:PER>는 <2008년:DAT> 아이돌그룹 <유키스:ORG> 멤버로 데뷔 후 <2013년:DAT> 연예계 활동을 잠정 중단한 바 있다.
한편	한편	NNG	O
,	,	SP	O
_	_	_	O
동호	동호	NNP	B-PER
는	는	JX	O
_	_	_	O
2008	2008	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
아이돌	아이돌	NNG	O
그룹	그룹	NNG	O
_	_	_	O
유	유	NNG	B-ORG
키스	키스	NNG	I-ORG
_	_	_	O
멤버	멤버	NNG	O
로	로	JKB	O
_	_	_	O
데뷔	데뷔	NNG	O
