## 1
## 사용하지 않는 이어 버드를 선에 쉽게 고정시킬 수 있어 하나의 이어 버드만 사용할 때나 꼬임 없이 이어폰을 보관할 때 편리하다.
## 사용하지 않는 이어 버드를 선에 쉽게 고정시킬 수 있어 <하나:NOH>의 이어 버드만 사용할 때나 꼬임 없이 이어폰을 보관할 때 편리하다.
사용하	사용하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는	는	ETM	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
_	_	_	O
버드	버드	NNP	O
를	를	JKO	O
_	_	_	O
선	선	NNG	O
에	에	JKB	O
_	_	_	O
쉽	쉽	VA	O
게	게	EC	O
_	_	_	O
고정	고정	NNG	O
시킬	시키+ㄹ	XSV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
어	어	EC	O
_	_	_	O
하나	하나	NNG	B-NOH
의	의	JKG	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
_	_	_	O
버드	버드	NNP	O
만	만	JX	O
_	_	_	O
사용할	사용하+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
나	나	JX	O
_	_	_	O
꼬임	꼬이+ㅁ	VV+ETN	O
_	_	_	O
없	없	VA	O
이	이	EC	O
_	_	_	O
이어폰	이어폰	NNG	O
을	을	JKO	O
_	_	_	O
보관할	보관하+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
편리하	편리하	VA	O
다	다	EF	O
.	.	SF	O

## 2
## 최근 3시즌 중 2시즌에서 정규리그 막판 연승행진을 기록한 팀이 정규리그 우승을 가져갔다.
## 최근 <3시즌:DAT> 중 <2시즌:DAT>에서 정규리그 막판 연승행진을 기록한 팀이 정규리그 우승을 가져갔다.
최근	최근	NNG	O
_	_	_	O
3	3	SN	B-DAT
시즌	시즌	NNG	I-DAT
_	_	_	O
중	중	NNP	O
_	_	_	O
2	2	SN	B-DAT
시즌	시즌	NNG	I-DAT
에서	에서	JKB	O
_	_	_	O
정규	정규	NNG	O
리그	리그	NNG	O
_	_	_	O
막판	막판	NNG	O
_	_	_	O
연승	연승	NNG	O
행진	행진	NNG	O
을	을	JKO	O
_	_	_	O
기록한	기록하+ㄴ	VV+ETM	O
_	_	_	O
팀	팀	NNG	O
이	이	JKS	O
_	_	_	O
정규	정규	NNG	O
리그	리그	NNG	O
_	_	_	O
우승	우승	NNG	O
을	을	JKO	O
_	_	_	O
가져갔	가져가+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 박원, 자신의 이름 건 라디오 진행 맡아
## <박원:PER>, 자신의 이름 건 라디오 진행 맡아
박원	박원	NNP	B-PER
,	,	SP	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
이름	이름	NNG	O
_	_	_	O
건	것+ㄴ	NNB+JX	O
_	_	_	O
라디오	라디오	NNG	O
_	_	_	O
진행	진행	NNG	O
_	_	_	O
맡	맡	VV	O
아	아	EC	O

## 4
## 또 상가 인근 평촌 스마트스퀘어에는 LG유플러스, 프로텍, 휴비츠 등 30여 개 기업이 입주할 예정이다.
## 또 상가 인근 <평촌:LOC> <스마트스퀘어:LOC>에는 <LG유플러스:ORG>, <프로텍:ORG>, <휴비츠:ORG> 등 <30여 개:NOH> 기업이 입주할 예정이다.
또	또	MAG	O
_	_	_	O
상가	상가	NNG	O
_	_	_	O
인근	인근	NNG	O
_	_	_	O
평촌	평촌	NNP	B-LOC
_	_	_	O
스마트	스마트	NNG	B-LOC
스퀘어	스퀘어	NNG	I-LOC
에	에	JKB	O
는	는	JX	O
_	_	_	O
LG	LG	SL	B-ORG
유플러스	유플러스	NNG	I-ORG
,	,	SP	O
_	_	_	O
프로텍	프로텍	NNP	B-ORG
,	,	SP	O
_	_	_	O
휴비츠	휴비츠	NNP	B-ORG
_	_	_	O
등	등	NNB	O
_	_	_	O
30	30	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
개	개	NNB	I-NOH
_	_	_	O
기업	기업	NNG	O
이	이	JKS	O
_	_	_	O
입주할	입주하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 인근 공인중개업소 관계자는 “상가에 투자할 땐 안정성을 살펴보는 것이 중요한데 대형건설사인 GS건설에서 시행과 시공을 맡아 믿고 투자할 수 있다”면서 “평촌 내에서도 좋은 입지에 있고 가격도 저렴해 투자자들의 문의가 꾸준하다”고 말했다.
## 인근 공인중개업소 관계자는 “상가에 투자할 땐 안정성을 살펴보는 것이 중요한데 대형건설사인 <GS건설:ORG>에서 시행과 시공을 맡아 믿고 투자할 수 있다”면서 “<평촌:LOC> 내에서도 좋은 입지에 있고 가격도 저렴해 투자자들의 문의가 꾸준하다”고 말했다.
인근	인근	NNG	O
_	_	_	O
공인	공인	NNG	O
중개	중개	NNG	O
업소	업소	NNG	O
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
상가	상가	NNG	O
에	에	JKB	O
_	_	_	O
투자할	투자하+ㄹ	VV+ETM	O
_	_	_	O
땐	때+ㄴ	NNG+JX	O
_	_	_	O
안정성	안정성	NNG	O
을	을	JKO	O
_	_	_	O
살펴보	살펴보	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
중요한데	중요하+ㄴ데	VA+EC	O
_	_	_	O
대형	대형	NNG	O
건설	건설	NNG	O
사	사	XSN	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
GS	GS	SL	B-ORG
건설	건설	NNG	I-ORG
에서	에서	JKB	O
_	_	_	O
시행	시행	NNG	O
과	과	JC	O
_	_	_	O
시공	시공	NNG	O
을	을	JKO	O
_	_	_	O
맡	맡	VV	O
아	아	EC	O
_	_	_	O
믿	믿	VV	O
고	고	EC	O
_	_	_	O
투자할	투자하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
면서	면서	EC	O
_	_	_	O
“	“	SS	O
평촌	평촌	NNP	B-LOC
_	_	_	O
내	내	NNB	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
입지	입지	NNG	O
에	에	JKB	O
_	_	_	O
있	있	VA	O
고	고	EC	O
_	_	_	O
가격	가격	NNG	O
도	도	JX	O
_	_	_	O
저렴해	저렴하+여	VA+EC	O
_	_	_	O
투자자	투자자	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
문의	문의	NNG	O
가	가	JKS	O
_	_	_	O
꾸준하	꾸준하	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 평촌 자이엘라 상가는 지상 1~2층, 연면적 3만9804㎡, 총 22개 점포 규모로 조성된다.
## <평촌:LOC> <자이엘라 상가:LOC>는 지상 <1:NOH>~<2층:NOH>, 연면적 <3만9804㎡:NOH>, 총 <22개:NOH> 점포 규모로 조성된다.
