## 1
## 박근혜 대통령이 길라임이라는 가명을 사용했다는 소식이 들리자 네티즌들은 '시크릿가든'에 출연했던 하지원·현빈의 과거 행보에도 주목하고 있다.
## <박근혜:PER> 대통령이 <길라임:PER>이라는 가명을 사용했다는 소식이 들리자 네티즌들은 '<시크릿가든:POH>'에 출연했던 <하지원:PER>·<현빈:PER>의 과거 행보에도 주목하고 있다.
박근혜	박근혜	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
이	이	JKS	O
_	_	_	O
길	길	NNG	B-PER
라임	라임	NNG	I-PER
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
가명	가명	NNG	O
을	을	JKO	O
_	_	_	O
사용	사용하	VV	O
했	였	EP	O
다는	다는	ETM	O
_	_	_	O
소식	소식	NNG	O
이	이	JKS	O
_	_	_	O
들리	들리	VV	O
자	자	EC	O
_	_	_	O
네티즌	네티즌	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
'	'	SS	O
시크릿가	시크릿가	NNG	B-POH
든	든	JX	I-POH
'	'	SS	O
에	에	JKB	O
_	_	_	O
출연	출연하	VV	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
하지원	하지원	NNP	B-PER
·	·	SP	O
현빈	현빈	NNG	B-PER
의	의	JKG	O
_	_	_	O
과거	과거	NNG	O
_	_	_	O
행보	행보	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
주목하	주목하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## JTBC는 15일 박 대통령이 차움의원을 이용하며 길라임이라는 가명을 사용했다고 보도했다.
## <JTBC:ORG>는 <15일:DAT> <박:PER> 대통령이 <차움의원:ORG>을 이용하며 <길라임:PER>이라는 가명을 사용했다고 보도했다.
JTBC	JTBC	SL	B-ORG
는	는	JX	O
_	_	_	O
15	15	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
