## 1
## 이만우 SK그룹 PR팀장(부사장)은 “SK는 전국 각지에 생산기지를 확충해 침체된 국내 경제 활성화에 일조할 것”이라며 “그룹의 미래 성장동력을 확보하는 것은 물론이고 지역경제 활성화와 수출 증대라는 세 마리 토끼를 모두 잡을 것”이라고 강조했다.
## 이만우 <SK그룹:ORG> PR팀장(부사장)은 “<SK:ORG>는 전국 각지에 생산기지를 확충해 침체된 국내 경제 활성화에 일조할 것”이라며 “그룹의 미래 성장동력을 확보하는 것은 물론이고 지역경제 활성화와 수출 증대라는 세 마리 토끼를 모두 잡을 것”이라고 강조했다.
이만우	이만우	NNP	O
_	_	_	O
SK	SK	SL	B-ORG
그룹	그룹	NNG	I-ORG
_	_	_	O
PR	PR	SL	O
팀장	팀장	NNG	O
(	(	SS	O
부사장	부사장	NNG	O
)	)	SS	O
은	은	JX	O
_	_	_	O
“	“	SS	O
SK	SK	SL	B-ORG
는	는	JX	O
_	_	_	O
전국	전국	NNG	O
_	_	_	O
각지	각지	NNG	O
에	에	JKB	O
_	_	_	O
생산	생산	NNG	O
기지	기지	NNG	O
를	를	JKO	O
_	_	_	O
확충해	확충하+여	VV+EC	O
_	_	_	O
침체된	침체되+ㄴ	VV+ETM	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
경제	경제	NNG	O
_	_	_	O
활성화	활성화	NNG	O
에	에	JKB	O
_	_	_	O
일조할	일조하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이	이	VCP	O
라며	라며	EC	O
_	_	_	O
“	“	SS	O
그룹	그룹	NNG	O
의	의	JKG	O
_	_	_	O
미래	미래	NNG	O
_	_	_	O
성장	성장	NNG	O
동력	동력	NNG	O
을	을	JKO	O
_	_	_	O
확보하	확보하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
물론	물론	NNG	O
이	이	VCP	O
고	고	EC	O
_	_	_	O
지역	지역	NNG	O
경제	경제	NNG	O
_	_	_	O
활성화	활성화	NNG	O
와	와	JC	O
_	_	_	O
수출	수출	NNG	O
_	_	_	O
증대	증대+이	NNG+VCP	O
라는	라는	ETM	O
_	_	_	O
세	세	MM	O
_	_	_	O
마리	마리	NNB	O
_	_	_	O
토끼	토끼	NNG	O
를	를	JKO	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
잡	잡	VV	O
을	을	ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
강조	강조하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 비응급이나 경증 환자가 대형 병원 응급실을 이용하는 것도 제한된다.
## 비응급이나 경증 환자가 대형 병원 <응급실:POH>을 이용하는 것도 제한된다.
비	비	XPN	O
응급	응급	NNG	O
이나	이나	JC	O
_	_	_	O
경증	경증	NNG	O
_	_	_	O
환자	환자	NNG	O
가	가	JKS	O
_	_	_	O
대형	대형	NNG	O
_	_	_	O
병원	병원	NNG	O
_	_	_	O
응급실	응급실	NNG	B-POH
을	을	JKO	O
_	_	_	O
이용하	이용하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
도	도	JX	O
_	_	_	O
제한된다	제한되+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 공교롭게도 이 전시회가 한창일 때 빌 클린턴 대통령과 여비서 모니카 르윈스키 사이의 섹스 스캔들이 터졌다.
## 공교롭게도 이 전시회가 한창일 때 <빌 클린턴:PER> 대통령과 여비서 <모니카 르윈스키:PER> 사이의 섹스 스캔들이 터졌다.
공교롭	공교롭	VA	O
게	게	EC	O
도	도	JX	O
_	_	_	O
이	이	MM	O
_	_	_	O
전시회	전시회	NNG	O
가	가	JKS	O
_	_	_	O
한창	한창	NNG	O
일	이+ㄹ	VCP+ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
빌	빌	NNP	B-PER
_	_	_	I-PER
클린턴	클린턴	NNP	I-PER
_	_	_	O
대통령	대통령	NNG	O
과	과	JC	O
_	_	_	O
여비서	여비서	NNG	O
_	_	_	O
모니카	모니카	NNP	B-PER
_	_	_	I-PER
르윈스키	르윈스키	NNP	I-PER
_	_	_	O
사이	사이	NNG	O
의	의	JKG	O
_	_	_	O
섹스	섹스	NNG	O
_	_	_	O
스캔들	스캔들	NNG	O
이	이	JKS	O
_	_	_	O
터	터지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 일본 관광객도 지난해보다 2배 가량 늘었다.
## <일본:LOC> 관광객도 지난해보다 2배 가량 늘었다.
일본	일본	NNP	B-LOC
_	_	_	O
관광객	관광객	NNG	O
도	도	JX	O
_	_	_	O
지난해	지난해	NNG	O
보다	보다	JKB	O
_	_	_	O
2	2	SN	O
배	배	NNG	O
_	_	_	O
가량	가량	XSN	O
_	_	_	O
늘	늘	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 트럼프의 미국과 블라디미르 푸틴의 러시아가 접근하면 과연 중국이 백기를 들고 나올까? 그것이 문제다.
## <트럼프:PER>의 <미국:ORG>과 <블라디미르 푸틴:PER>의 <러시아:ORG>가 접근하면 과연 <중국:ORG>이 백기를 들고 나올까? 그것이 문제다.
트럼프	트럼프	NNG	B-PER
의	의	JKG	O
_	_	_	O
미국	미국	NNP	B-ORG
과	과	JC	O
_	_	_	O
블라디미르	블라디미르	NNP	B-PER
_	_	_	I-PER
푸틴	푸틴	NNP	I-PER
의	의	JKG	O
_	_	_	O
러시아	러시아	NNP	B-ORG
가	가	JKS	O
_	_	_	O
접근하	접근하	VV	O
면	면	EC	O
_	_	_	O
과연	과연	MAG	O
_	_	_	O
중국	중국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
백기	백기	NNG	O
를	를	JKO	O
_	_	_	O
들	들	VV	O
고	고	EC	O
_	_	_	O
나올까	나오+ㄹ까	VV+EF	O
?	?	SF	O
_	_	_	O
그것	그것	NP	O
이	이	JKS	O
_	_	_	O
문제	문제+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 6
## [단신]두산인프라코어, 佛 자회사 매각
## [단신]<두산인프라코어:ORG>, <佛:LOC> 자회사 매각
[	[	SS	O
단신	단신	NNG	O
]	]	SS	O
두산	두산	NNP	B-ORG
인프라	인프라	NNG	I-ORG
코어	코어	NNG	I-ORG
,	,	SP	O
_	_	_	O
佛	佛	SH	B-LOC
_	_	_	O
자회사	자회사	NNG	O
_	_	_	O
매각	매각	NNG	O

## 7
## 장관석 jks@donga.com·김준일 기자
