## 1
## 앞서 이 여사도 자서전에 “광주에서 (계엄군이 소지한) M16에 의한 희생자는 몇 명 안 되고 자기들끼리 싸워 희생된 자가 많다”는 노태우 전 대통령의 논쟁적인 발언을 실었다.
## 앞서 <이:PER> 여사도 자서전에 “<광주:LOC>에서 (계엄군이 소지한) <M16:POH>에 의한 희생자는 몇 명 안 되고 자기들끼리 싸워 희생된 자가 많다”는 <노태우:PER> 전 대통령의 논쟁적인 발언을 실었다.
앞서	앞서+어	VV+EC	O
_	_	_	O
이	이	NNP	B-PER
_	_	_	O
여사	여사	NNG	O
도	도	JX	O
_	_	_	O
자서전	자서전	NNG	O
에	에	JKB	O
_	_	_	O
“	“	SS	O
광주	광주	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
(	(	SS	O
계엄군	계엄군	NNG	O
이	이	JKS	O
_	_	_	O
소지한	소지하+ㄴ	VV+ETM	O
)	)	SS	O
_	_	_	O
M	M	SL	B-POH
16	16	SN	I-POH
에	에	JKB	O
_	_	_	O
의한	의하+ㄴ	VV+ETM	O
_	_	_	O
희생자	희생자	NNG	O
는	는	JX	O
_	_	_	O
몇	몇	MM	O
_	_	_	O
명	명	NNB	O
_	_	_	O
안	안	MAG	O
_	_	_	O
되	되	VV	O
고	고	EC	O
_	_	_	O
자기	자기	NP	O
들	들	XSN	O
끼리	끼리	XSN	O
_	_	_	O
싸	싸우	VV	O
워	어	EC	O
_	_	_	O
희생된	희생되+ㄴ	VV+ETM	O
_	_	_	O
자	자	NNB	O
가	가	JKS	O
_	_	_	O
많	많	VA	O
다	다	EF	O
”	”	SS	O
는	는	JX	O
_	_	_	O
노태우	노태우	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
논쟁적	논쟁적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
발언	발언	NNG	O
을	을	JKO	O
_	_	_	O
실	싣	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 국자, 주걱, 집게 등 전체 키친툴 세트 판매는 4배 이상(389%) 늘었고 포크·나이프 판매는 2배 가까이(97%) 증가했다.
## 국자, 주걱, 집게 등 전체 키친툴 세트 판매는 <4배:PNT> 이상(<389%:PNT>) 늘었고 포크·나이프 판매는 <2배:PNT> 가까이(<97%:MNY>) 증가했다.
국자	국자	NNG	O
,	,	SP	O
_	_	_	O
주걱	주걱	NNG	O
,	,	SP	O
_	_	_	O
집게	집게	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
전체	전체	NNG	O
_	_	_	O
키친	키친	NNG	O
툴	툴	NNG	O
_	_	_	O
세트	세트	NNG	O
_	_	_	O
판매	판매	NNG	O
는	는	JX	O
_	_	_	O
4	4	SN	B-PNT
배	배	NNG	I-PNT
_	_	_	O
이상	이상	NNG	O
(	(	SS	O
389	389	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
_	_	_	O
늘	늘	VV	O
었	었	EP	O
고	고	EC	O
_	_	_	O
포크	포크	NNG	O
·	·	SP	O
나이프	나이프	NNG	O
_	_	_	O
판매	판매	NNG	O
는	는	JX	O
_	_	_	O
2	2	SN	B-PNT
배	배	NNG	I-PNT
_	_	_	O
가까이	가까이	MAG	O
(	(	SS	O
97	97	SN	B-MNY
%	%	SW	I-MNY
)	)	SS	O
_	_	_	O
증가	증가하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## G마켓 리빙레저기획팀 이은희 팀장은 “최근 쿡방, 홈데코 트렌드가 인기를 끌면서 주방용품이 인테리어 소품으로도 각광받고 있다”며 “코렐 브랜드 제품을 파격적인 혜택과 함께 선보이는 만큼 고객들의 호응이 클 것으로 예상된다”고 말했다.
## <G마켓 리빙레저기획팀:ORG> <이은희:PER> 팀장은 “최근 쿡방, 홈데코 트렌드가 인기를 끌면서 주방용품이 인테리어 소품으로도 각광받고 있다”며 “<코렐:ORG> 브랜드 제품을 파격적인 혜택과 함께 선보이는 만큼 고객들의 호응이 클 것으로 예상된다”고 말했다.
G	G	SL	B-ORG
마켓	마켓	NNG	I-ORG
_	_	_	I-ORG
리빙	리빙	NNG	I-ORG
레저	레저	NNG	I-ORG
기획	기획	NNG	I-ORG
팀	팀	NNG	I-ORG
_	_	_	O
이은희	이은희	NNP	B-PER
_	_	_	O
팀장	팀장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
최근	최근	NNG	O
_	_	_	O
쿡방	쿡방	NNG	O
,	,	SP	O
_	_	_	O
홈데코	홈데코	NNP	O
_	_	_	O
트렌드	트렌드	NNG	O
가	가	JKS	O
_	_	_	O
인기	인기	NNG	O
를	를	JKO	O
_	_	_	O
끌	끌	VV	O
면서	면서	EC	O
_	_	_	O
주방	주방	NNG	O
용품	용품	NNG	O
이	이	JKS	O
_	_	_	O
인테리어	인테리어	NNG	O
_	_	_	O
소품	소품	NNG	O
으로	으로	JKB	O
도	도	JX	O
_	_	_	O
각광	각광	NNG	O
받	받	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
코렐	코렐	NNP	B-ORG
_	_	_	O
브랜드	브랜드	NNG	O
_	_	_	O
제품	제품	NNG	O
을	을	JKO	O
_	_	_	O
파격적	파격적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
혜택	혜택	NNG	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
선보이	선보이	VV	O
는	는	ETM	O
_	_	_	O
만큼	만큼	NNB	O
_	_	_	O
고객	고객	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
호응	호응	NNG	O
이	이	JKS	O
_	_	_	O
클	크+ㄹ	VA+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
예상된다	예상되+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 새누리당 8·9 전당대회 당 대표 경선에 나선 정병국 의원은 당내 원조 쇄신파 그룹이던 ‘남원정(남경필 경기도지사, 원희룡 제주도지사, 정 의원)’ 중 한 명이다.
