## 1
## 슬리피는 이날 방송에서 개그우먼 이국주를 초대해 묘한 분위기를 형성하며 눈길을 모았다.
## <슬리피:PER>는 이날 방송에서 개그우먼 <이국주:PER>를 초대해 묘한 분위기를 형성하며 눈길을 모았다.
슬리피	슬리피	NNG	B-PER
는	는	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
방송	방송	NNG	O
에서	에서	JKB	O
_	_	_	O
개그우먼	개그우먼	NNG	O
_	_	_	O
이국주	이국주	NNP	B-PER
를	를	JKO	O
_	_	_	O
초대해	초대하+여	VV+EC	O
_	_	_	O
묘한	묘하+ㄴ	VA+ETM	O
_	_	_	O
분위기	분위기	NNG	O
를	를	JKO	O
_	_	_	O
형성하	형성하	VV	O
며	며	EC	O
_	_	_	O
눈길	눈길	NNG	O
을	을	JKO	O
_	_	_	O
모	모으	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 에밀리아노는 월급이 1백18페소로 담배 10갑만 사고 나면 없어진다고 말했다.
## <에밀리아노:PER>는 월급이 <1백18페소:PNT>로 담배 <10갑:NOH>만 사고 나면 없어진다고 말했다.
에밀리아	에밀리아	NNG	B-PER
노	노	NNP	I-PER
는	는	JX	O
_	_	_	O
월급	월급	NNG	O
이	이	JKS	O
_	_	_	O
1	1	SN	B-PNT
백	백	NR	I-PNT
18	18	SN	I-PNT
페소	페소	NNG	I-PNT
로	로	JKB	O
_	_	_	O
담배	담배	NNG	O
_	_	_	O
10	10	SN	B-NOH
갑	갑	NNG	I-NOH
만	만	JX	O
_	_	_	O
사	사	VV	O
고	고	EC	O
_	_	_	O
나	나	VX	O
면	면	EC	O
_	_	_	O
없어진다고	없어지+ㄴ다고	VV+EC	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 트럼프의 감세 공약 등은 과장된 낙수효과(대기업 성장의 혜택이 저소득층에 돌아간다는 논리) 정책에 불과하다.
## <트럼프:PER>의 감세 공약 등은 과장된 낙수효과(대기업 성장의 혜택이 저소득층에 돌아간다는 논리) 정책에 불과하다.
트럼프	트럼프	NNG	B-PER
의	의	JKG	O
_	_	_	O
감세	감세	NNG	O
_	_	_	O
공약	공약	NNG	O
_	_	_	O
등	등	NNB	O
은	은	JX	O
_	_	_	O
과장된	과장되+ㄴ	VV+ETM	O
_	_	_	O
낙수	낙수	NNG	O
효과	효과	NNG	O
(	(	SS	O
대기업	대기업	NNG	O
_	_	_	O
성장	성장	NNG	O
의	의	JKG	O
_	_	_	O
혜택	혜택	NNG	O
이	이	JKS	O
_	_	_	O
저소득층	저소득층	NNG	O
에	에	JKB	O
_	_	_	O
돌아간다는	돌아가+ㄴ다는	VV+ETM	O
_	_	_	O
논리	논리	NNG	O
)	)	SS	O
_	_	_	O
정책	정책	NNG	O
에	에	JKB	O
_	_	_	O
불과하	불과하	VA	O
다	다	EF	O
.	.	SF	O

## 4
## ‘케어플러스’나 ‘스포츠패키지’ 등 젊은 층이 좋아하는 안전·디자인 사양과 옵션이 추가됐지만 2016년형 모델과 큰 차이는 없다.
## ‘케어플러스’나 ‘스포츠패키지’ 등 젊은 층이 좋아하는 안전·디자인 사양과 옵션이 추가됐지만 <2016년:DAT>형 모델과 큰 차이는 없다.
‘	‘	SS	O
케어	케어	NNG	O
플러스	플러스	NNG	O
’	’	SS	O
나	나	JC	O
_	_	_	O
‘	‘	SS	O
스포츠	스포츠	NNG	O
