## 1
## 서울 소재 주요 대학은 수시 중 가장 비중이 높은 전형은 학생부 종합전형이다.
## <서울:LOC> 소재 주요 대학은 <수시:POH> 중 가장 비중이 높은 전형은 <학생부 종합전형:POH>이다.
서울	서울	NNP	B-LOC
_	_	_	O
소재	소재	NNG	O
_	_	_	O
주요	주요	NNG	O
_	_	_	O
대학	대학	NNG	O
은	은	JX	O
_	_	_	O
수시	수시	NNG	B-POH
_	_	_	O
중	중	NNB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
비중	비중	NNG	O
이	이	JKS	O
_	_	_	O
높	높	VA	O
은	은	ETM	O
_	_	_	O
전형	전형	NNG	O
은	은	JX	O
_	_	_	O
학생부	학생부	NNG	B-POH
_	_	_	I-POH
종합	종합	NNG	I-POH
전형	전형	NNG	I-POH
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## ▷IAEA사찰◁
## ▷<IAEA:ORG>사찰◁
▷	▷	SW	O
IAEA	IAEA	SL	B-ORG
사찰	사찰	NNG	O
◁	◁	SW	O

## 3
## 누구나 한 눈에 직감할 수 있는 내용입니다.픽토그램의 기원을 동굴그림이나 그림문자, 상형문자에서 찾기도 하는데, 일반적으로는 1920년대 미국에서 교통표지 매뉴얼에서 처음 사용했다고 합니다.
## 누구나 한 눈에 직감할 수 있는 내용입니다.픽토그램의 기원을 동굴그림이나 그림문자, 상형문자에서 찾기도 하는데, 일반적으로는 <1920년대:DUR> <미국:LOC>에서 교통표지 매뉴얼에서 처음 사용했다고 합니다.
누구	누구	NP	O
나	나	JX	O
_	_	_	O
한	한	MM	O
_	_	_	O
눈	눈	NNG	O
에	에	JKB	O
_	_	_	O
직감할	직감하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
내용	내용	NNG	O
입니다	이+ㅂ니다	VCP+EF	O
.	.	SF	O
픽	픽	NNG	O
토	토	NNG	O
그램	그램	NNG	O
의	의	JKG	O
_	_	_	O
기원	기원	NNG	O
을	을	JKO	O
_	_	_	O
동굴	동굴	NNG	O
그림	그림	NNG	O
이나	이나	JC	O
_	_	_	O
그림	그림	NNG	O
문자	문자	NNG	O
,	,	SP	O
_	_	_	O
상형	상형	NNG	O
문자	문자	NNG	O
에서	에서	JKB	O
_	_	_	O
찾	찾	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
하	하	VX	O
는데	는데	EC	O
,	,	SP	O
_	_	_	O
일반적	일반적	NNG	O
으로	으로	JKB	O
는	는	JX	O
_	_	_	O
1920	1920	SN	B-DUR
년대	년대	NNB	I-DUR
_	_	_	O
미국	미국	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
교통	교통	NNG	O
표지	표지	NNG	O
_	_	_	O
매뉴얼	매뉴얼	NNG	O
에서	에서	JKB	O
_	_	_	O
처음	처음	NNG	O
_	_	_	O
사용	사용하	VV	O
했	었	EP	O
다고	다고	EC	O
_	_	_	O
합니다	하+ㅂ니다	VV+EF	O
.	.	SF	O

## 4
## 두 질문의 결은 조금 다르지만, 두 질문에 대해 제가 가장 많이 내놓는 답은 “슈베르트의 즉흥곡집 작품 90의 네 곡을 들어보라”는 것입니다.
## <두 질문:NOH>의 결은 조금 다르지만, <두 질문:NOH>에 대해 제가 가장 많이 내놓는 답은 “<슈베르트:PER>의 즉흥곡집 작품 <90:NOH>의 <네 곡:NOH>을 들어보라”는 것입니다.
두	두	MM	B-NOH
_	_	_	I-NOH
질문	질문	NNG	I-NOH
의	의	JKG	O
_	_	_	O
결	겯	VV	O
은	은	ETM	O
_	_	_	O
조금	조금	MAG	O
_	_	_	O
다르	다르	VA	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
질문	질문	NNG	I-NOH
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
제	제	NP	O
가	가	JKS	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
많이	많이	MAG	O
_	_	_	O
내놓	내놓	VV	O
는	는	ETM	O
_	_	_	O
답	답	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
슈베르트	슈베르트	NNP	B-PER
의	의	JKG	O
_	_	_	O
즉흥곡	즉흥곡	NNG	O
집	집	XSN	O
_	_	_	O
작품	작품	NNG	O
_	_	_	O
90	90	SN	B-NOH
의	의	JKG	O
_	_	_	O
네	네	MM	B-NOH
_	_	_	I-NOH
곡	곡	NNG	I-NOH
을	을	JKO	O
_	_	_	O
들	듣	VV	O
어	어	EC	O
보	보	VX	O
