## 1
## 김윤진은 “나이 든 미희는 건강한 상태가 아니었기에 목소리나 걸음걸이를 더 효과적으로 표현하려고 많은 고민했다”며 “단지 미스터리한 이야기로만 머물지 않고 가족의 의미를 되돌아볼 수 있는 작품”이라고 밝혔다.
## <김윤진:PER>은 “나이 든 <미희:PER>는 건강한 상태가 아니었기에 목소리나 걸음걸이를 더 효과적으로 표현하려고 많은 고민했다”며 “단지 미스터리한 이야기로만 머물지 않고 가족의 의미를 되돌아볼 수 있는 작품”이라고 밝혔다.
김윤진	김윤진	NNP	B-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
나이	나이	NNG	O
_	_	_	O
든	들+ㄴ	VV+ETM	O
_	_	_	O
미희	미희	NNG	B-PER
는	는	JX	O
_	_	_	O
건강한	건강하+ㄴ	VA+ETM	O
_	_	_	O
상태	상태	NNG	O
가	가	JKC	O
_	_	_	O
아니	아니	VCN	O
었	었	EP	O
기에	기에	EC	O
_	_	_	O
목소리	목소리	NNG	O
나	나	JC	O
_	_	_	O
걸음걸이	걸음걸이	NNG	O
를	를	JKO	O
_	_	_	O
더	더	MAG	O
_	_	_	O
효과적	효과적	NNG	O
으로	으로	JKB	O
_	_	_	O
표현하	표현하	VV	O
려고	려고	EC	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
고민	고민하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
단지	단지	MAG	O
_	_	_	O
미스터리	미스터리	NNG	O
한	한	NNP	O
_	_	_	O
이야기	이야기	NNG	O
로	로	JKB	O
만	만	JX	O
_	_	_	O
머물	머물	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
고	고	EC	O
_	_	_	O
가족	가족	NNG	O
의	의	JKG	O
_	_	_	O
의미	의미	NNG	O
를	를	JKO	O
_	_	_	O
되돌아볼	되돌아보+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
작품	작품	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 홍라희 전 삼성미술관장, 아들 이재용 부회장 20분 면회
## <홍라희:PER> 전 삼성미술관장, 아들 <이재용:PER> 부회장 <20분:DUR> 면회
홍라희	홍라희	NNP	B-PER
_	_	_	O
전	전	NNG	O
_	_	_	O
삼성	삼성	NNP	O
미술관	미술관	NNG	O
장	장	XPN	O
,	,	SP	O
_	_	_	O
아들	아들	NNG	O
_	_	_	O
이재용	이재용	NNP	B-PER
_	_	_	O
부회장	부회장	NNG	O
_	_	_	O
20	20	SN	B-DUR
분	분	NNB	I-DUR
_	_	_	O
면회	면회	NNG	O

## 3
## 최순실 정국에 시대를 다시 읽는다
