## 1
## 지금은 국민연금 보험료를 40년 내면 40%를 받게 돼 있다.
## 지금은 국민연금 보험료를 <40년:DAT> 내면 <40%:PNT>를 받게 돼 있다.
지금	지금	NNG	O
은	은	JX	O
_	_	_	O
국민	국민	NNG	O
연금	연금	NNG	O
_	_	_	O
보험료	보험료	NNG	O
를	를	JKO	O
_	_	_	O
40	40	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
내	내	VV	O
면	면	EC	O
_	_	_	O
40	40	SN	B-PNT
%	%	SW	I-PNT
를	를	JKO	O
_	_	_	O
받	받	VV	O
게	게	EC	O
_	_	_	O
돼	되+어	VV+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 탄핵 심판을 받고 있는 박근혜 대통령이 헌법재판소에 제출한 답변서에서 “최순실 국정 관여는 1% 미만”이라고 주장한 것과 같은 맥락이다.
## 탄핵 심판을 받고 있는 <박근혜:PER> 대통령이 헌법재판소에 제출한 답변서에서 “<최순실:PER> 국정 관여는 <1%:PNT> 미만”이라고 주장한 것과 같은 맥락이다.
탄핵	탄핵	NNG	O
_	_	_	O
심판	심판	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
박근혜	박근혜	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
이	이	JKS	O
_	_	_	O
헌법	헌법	NNG	O
재판소	재판소	NNG	O
에	에	JKB	O
_	_	_	O
제출한	제출하+ㄴ	VV+ETM	O
_	_	_	O
답변서	답변서	NNG	O
에서	에서	JKB	O
_	_	_	O
“	“	SS	O
최순실	최순실	NNP	B-PER
_	_	_	O
국정	국정	NNG	O
_	_	_	O
관여	관여	NNG	O
는	는	JX	O
_	_	_	O
1	1	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
미만	미만	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
주장한	주장하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
과	과	JKB	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
맥락	맥락	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 불과 2009년 5월 의료법이 부분 개정된 후 7년 간 벌어지고 있는 폭발적인 성장세인 것이다.
## 불과 <2009년 5월:DAT> 의료법이 부분 개정된 후 <7년 간:DUR> 벌어지고 있는 폭발적인 성장세인 것이다.
불과	불과	MAG	O
_	_	_	O
2009	2009	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
5	5	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
의료법	의료법	NNG	O
이	이	JKS	O
_	_	_	O
부분	부분	NNG	O
_	_	_	O
개정된	개정되+ㄴ	VV+ETM	O
_	_	_	O
후	후	NNG	O
_	_	_	O
7	7	SN	B-DUR
