## 1
## 서정원 감독 “선수들에 강한 정신력 요구”수원삼성과 FC서울은 19일 오후 3시5분 수원월드컵경기장에서 시즌 3번째 슈퍼매치를 치른다.
## <서정원:PER> 감독 “선수들에 강한 정신력 요구”<수원삼성:ORG>과 <FC서울:ORG>은 <19일:DAT> <오후 3시5분:TIM> <수원월드컵경기장:LOC>에서 시즌 <3번:NOH>째 슈퍼매치를 치른다.
서정원	서정원	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
_	_	_	O
“	“	SS	O
선수	선수	NNG	O
들	들	XSN	O
에	에	JKB	O
_	_	_	O
강한	강하+ㄴ	VA+ETM	O
_	_	_	O
정신력	정신력	NNG	O
_	_	_	O
요구	요구	NNG	O
”	”	SS	O
수원	수원	NNP	B-ORG
삼성	삼성	NNP	I-ORG
과	과	JC	O
_	_	_	O
FC	FC	SL	B-ORG
서울	서울	NNP	I-ORG
은	은	JX	O
_	_	_	O
19	19	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오후	오후	NNG	B-TIM
_	_	_	I-TIM
3	3	SN	I-TIM
시	시	NNB	I-TIM
5	5	SN	I-TIM
분	분	NNB	I-TIM
_	_	_	O
수원월드컵경기장	수원월드컵경기장	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
시즌	시즌	NNG	O
_	_	_	O
3	3	SN	B-NOH
번째	번째	NNB	O
_	_	_	O
슈퍼	슈퍼	NNG	O
매치	매치	NNG	O
를	를	JKO	O
_	_	_	O
치른다	치르+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 준다”며 “(나도) 동현 엄마와는 일이 있으면 보기도 한다.
## 준다”며 “(나도) <동현:PER> 엄마와는 일이 있으면 보기도 한다.
준다	주+ㄴ다	VV+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
(	(	SS	O
나	나	NP	O
도	도	JX	O
)	)	SS	O
_	_	_	O
동현	동현	NNP	B-PER
_	_	_	O
엄마	엄마	NNG	O
와	와	JKB	O
는	는	JX	O
_	_	_	O
일	일	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
으면	으면	EC	O
_	_	_	O
보	보	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
.	.	SF	O

## 3
## 김 의원이 아버지를 언급하자 이날 오후 주요 포털사이트 실시간 검색어 상위권엔 ‘김진태 아버지’가 등장했다.
## <김:PER> 의원이 아버지를 언급하자 이날 오후 주요 포털사이트 실시간 검색어 상위권엔 ‘<김진태:PER> 아버지’가 등장했다.
김	김	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
이	이	JKS	O
_	_	_	O
아버지	아버지	NNG	O
를	를	JKO	O
_	_	_	O
언급하	언급하	VV	O
자	자	EC	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
오후	오후	NNG	O
_	_	_	O
주요	주요	NNG	O
_	_	_	O
포털	포털	NNG	O
사이트	사이트	NNG	O
_	_	_	O
실시간	실시간	NNG	O
_	_	_	O
검색어	검색어	NNG	O
_	_	_	O
상위권	상위권	NNG	O
엔	에+ㄴ	JKB+JX	O
_	_	_	O
‘	‘	SS	O
김진태	김진태	NNP	B-PER
_	_	_	O
아버지	아버지	NNG	O
’	’	SS	O
가	가	JKS	O
_	_	_	O
등장	등장하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 박인비 명예의전당, CME그룹 투어 챔피언십 투어 챔피언십 통해 27점 충족CME그룹 투어 챔피언십 투어 챔피언십을 마지막으로 2015 미국여자프로골프(LPGA) 투어가 막을 내렸다.
## <박인비:PER> 명예의전당, <CME그룹 투어 챔피언십:POH> 투어 챔피언십 통해 <27점:NOH> 충족<CME그룹 투어 챔피언십:POH> 투어 챔피언십을 마지막으로 <2015:DAT> <미국여자프로골프:ORG>(<LPGA:ORG>) 투어가 막을 내렸다.
박인비	박인비	NNP	B-PER
_	_	_	O
명예	명예	NNG	O
의	의	JKG	O
전당	전당	NNG	O
,	,	SP	O
_	_	_	O
CME	CME	SL	B-POH
그룹	그룹	NNG	I-POH
_	_	_	I-POH
투어	투어	NNG	I-POH
_	_	_	I-POH
챔피언십	챔피언십	NNG	I-POH
_	_	_	O
투어	투어	NNG	O
_	_	_	O
챔피언십	챔피언십	NNG	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
27	27	SN	B-NOH
점	점	NNB	I-NOH
_	_	_	O
충족	충족	NNG	O
CME	CME	SL	B-POH
그룹	그룹	NNG	I-POH
_	_	_	I-POH
투어	투어	NNG	I-POH
_	_	_	I-POH
챔피언십	챔피언십	NNG	I-POH
_	_	_	O
투어	투어	NNG	O
_	_	_	O
챔피언십	챔피언십	NNG	O
을	을	JKO	O
_	_	_	O
마지막	마지막	NNG	O
으로	으로	JKB	O
_	_	_	O
2015	2015	SN	B-DAT
_	_	_	O
미국	미국	NNP	B-ORG
여자	여자	NNG	I-ORG
프로	프로	NNG	I-ORG
골프	골프	NNG	I-ORG
(	(	SS	O
LPGA	LPGA	SL	B-ORG
)	)	SS	O
_	_	_	O
