## 1
## 대부분의 경우 부모는 외국 근무·거주 기간 2년 이상에 실제 체류 기간 1년 6개월 이상을 요구한다.
## 대부분의 경우 부모는 외국 근무·거주 기간 <2년:NOH> 이상에 실제 체류 기간 <1년 6개월:NOH> 이상을 요구한다.
대부분	대부분	NNG	O
의	의	JKG	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
부모	부모	NNG	O
는	는	JX	O
_	_	_	O
외국	외국	NNG	O
_	_	_	O
근무	근무	NNG	O
·	·	SP	O
거주	거주	NNG	O
_	_	_	O
기간	기간	NNG	O
_	_	_	O
2	2	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
이상	이상	NNG	O
에	에	JKB	O
_	_	_	O
실제	실제	NNG	O
_	_	_	O
체류	체류	NNG	O
_	_	_	O
기간	기간	NNG	O
_	_	_	O
1	1	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	I-NOH
6	6	SN	I-NOH
개월	개월	NNB	I-NOH
_	_	_	O
이상	이상	NNG	O
을	을	JKO	O
_	_	_	O
요구한다	요구하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 12년 특례입학으로 불리는 ‘초·중·고 전 학년 해외 이수자’ 전형은 외국에서 초·중·고 12년 과정을 모두 이수해야 지원할 수 있다.
## <12년:NOH> 특례입학으로 불리는 ‘초·중·고 전 학년 해외 이수자’ 전형은 외국에서 초·중·고 <12년:NOH> 과정을 모두 이수해야 지원할 수 있다.
12	12	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
특례	특례	NNG	O
입학	입학	NNG	O
으로	으로	JKB	O
_	_	_	O
불리	불리	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
초	초	NNG	O
·	·	SP	O
중	중	NNP	O
·	·	SP	O
고	고	NNG	O
_	_	_	O
전	전	MM	O
_	_	_	O
학년	학년	NNG	O
_	_	_	O
해외	해외	NNG	O
_	_	_	O
이수	이수	NNG	O
자	자	XSN	O
’	’	SS	O
_	_	_	O
전형	전형	NNG	O
은	은	JX	O
_	_	_	O
외국	외국	NNG	O
에서	에서	JKB	O
_	_	_	O
초	초	NNG	O
·	·	SP	O
중	중	NNP	O
·	·	SP	O
고	고	NNG	O
_	_	_	O
12	12	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
과정	과정	NNG	O
을	을	JKO	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
이수해야	이수하+여야	VV+EC	O
_	_	_	O
지원할	지원하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 박 대통령이 ‘콘크리트 지지층’ 결집으로 탄핵 반대 여론을 증폭시키기 위해 또 다른 후속 카드를 내놓을지 주목된다.
## <박:PER> 대통령이 ‘콘크리트 지지층’ 결집으로 탄핵 반대 여론을 증폭시키기 위해 또 다른 후속 카드를 내놓을지 주목된다.
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
이	이	JKS	O
_	_	_	O
‘	‘	SS	O
콘크리트	콘크리트	NNG	O
_	_	_	O
지지층	지지층	NNG	O
’	’	SS	O
_	_	_	O
결집	결집	NNG	O
으로	으로	JKB	O
_	_	_	O
탄핵	탄핵	NNG	O
_	_	_	O
반대	반대	NNG	O
_	_	_	O
여론	여론	NNG	O
을	을	JKO	O
_	_	_	O
증폭	증폭	NNG	O
시키	시키	XSV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
또	또	MAG	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
후속	후속	NNG	O
_	_	_	O
카드	카드	NNG	O
를	를	JKO	O
_	_	_	O
내놓	내놓	VV	O
을지	을지	EC	O
_	_	_	O
주목된다	주목되+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 시끄럽게 뛰어다니는 윗집에, 말귀를 알아먹지 못하는 것 같은 고객센터 상담원에게, 굳이 내 앞으로 비집고 들어오는 앞차 운전자에게. 한 취업포털 사이트가 300여 명을 대상으로 한 설문조사에 따르면 직장에서만 일주일에 1, 2일 화를 내는 사람의 비중이 30%가 넘고 3, 4일 화를 내는 사람도 20%가 넘는다.
