## 1
## 그러나 유먼의 공이 볼 판정을 받았기 때문에 이 상황은 인플레이 상황이었고, 정범모가 홈을 비운 사이 2루 주자 정성훈까지 그 틈을 파고들어 홈으로 향했다.
## 그러나 <유먼:PER>의 공이 볼 판정을 받았기 때문에 이 상황은 인플레이 상황이었고, <정범모:PER>가 홈을 비운 사이 <2루:NOH> 주자 <정성훈:PER>까지 그 틈을 파고들어 홈으로 향했다.
그러나	그러나	MAJ	O
_	_	_	O
유먼	유먼	NNP	B-PER
의	의	JKG	O
_	_	_	O
공	공	NNP	O
이	이	JKS	O
_	_	_	O
볼	보+ㄹ	VV+ETM	O
_	_	_	O
판정	판정	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
았	았	EP	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
이	이	MM	O
_	_	_	O
상황	상황	NNG	O
은	은	JX	O
_	_	_	O
인	인	NNG	O
플레이	플레이	NNG	O
_	_	_	O
상황	상황	NNG	O
이	이	VCP	O
었	었	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
정범모	정범모	NNP	B-PER
가	가	JKS	O
_	_	_	O
홈	홈	NNG	O
을	을	JKO	O
_	_	_	O
비운	비우+ㄴ	VV+ETM	O
_	_	_	O
사이	사이	NNG	O
_	_	_	O
2	2	SN	B-NOH
루	루	NNG	I-NOH
_	_	_	O
주자	주자	NNG	O
_	_	_	O
정성훈	정성훈	NNP	B-PER
까지	까지	JX	O
_	_	_	O
그	그	MM	O
_	_	_	O
틈	틈	NNG	O
을	을	JKO	O
_	_	_	O
파고들	파고들	VV	O
어	어	EC	O
_	_	_	O
홈	홈	NNG	O
으로	으로	JKB	O
_	_	_	O
향	향하	VV	O
했	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 특히, 3on3 프리스타일은 B2C 전시관에 부스를 마련한 소니의 플레이스테이션 부스에서도 시연되며 중국 콘솔게임 마니아들을 사로잡았다.
## 특히, <3on3 프리스타일:ORG>은 B2C 전시관에 부스를 마련한 <소니:ORG>의 <플레이스테이션:POH> 부스에서도 시연되며 <중국:ORG> 콘솔게임 마니아들을 사로잡았다.
특히	특히	MAG	O
,	,	SP	O
_	_	_	O
3	3	SN	B-ORG
on	on	SL	I-ORG
3	3	SN	I-ORG
_	_	_	I-ORG
프리스타일	프리스타일	NNG	I-ORG
은	은	JX	O
_	_	_	O
B	B	SL	O
2	2	SN	O
C	C	SL	O
_	_	_	O
전시관	전시관	NNG	O
에	에	JKB	O
_	_	_	O
부스	부스	NNG	O
를	를	JKO	O
_	_	_	O
마련한	마련하+ㄴ	VV+ETM	O
_	_	_	O
소니	소니	NNP	B-ORG
의	의	JKG	O
_	_	_	O
플레이스테이션	플레이스테이션	NNG	B-POH
_	_	_	O
부스	부스	NNG	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
시연되	시연되	VV	O
며	며	EC	O
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	O
콘솔	콘솔	NNG	O
게임	게임	NNG	O
_	_	_	O
마니아	마니아	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
사로잡	사로잡	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 오랜 기간 한국의 온라인게임을 서비스해온 세기천성은 한국게임을 대거 선보였다.
## 오랜 기간 <한국:ORG>의 온라인게임을 서비스해온 <세기천성:ORG>은 <한국:ORG>게임을 대거 선보였다.
오랜	오랜	MM	O
_	_	_	O
기간	기간	NNG	O
_	_	_	O
