## 1
## 손 앵커는 “크리스마스 선물 같은 존재가 라디오 부스를 찾아왔다”면서 임수정을 반겼다.
## <손:PER> 앵커는 “<크리스마스:DAT> 선물 같은 존재가 라디오 부스를 찾아왔다”면서 <임수정:PER>을 반겼다.
손	손	NNG	B-PER
_	_	_	O
앵커	앵커	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
크리스마스	크리스마스	NNG	B-DAT
_	_	_	O
선물	선물	NNG	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
존재	존재	NNG	O
가	가	JKS	O
_	_	_	O
라디오	라디오	NNG	O
_	_	_	O
부스	부스	NNG	O
를	를	JKO	O
_	_	_	O
찾아	찾아오	VV	O
왔	았	EP	O
다	다	EF	O
”	”	SS	O
면서	면서	EC	O
_	_	_	O
임수정	임수정	NNP	B-PER
을	을	JKO	O
_	_	_	O
반	반기	VV	O
겼	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 또 과거 잘못된 정책에 근거한 1차 계획 기간(2015~2017년)의 배출권 재할당을 추진하고, 배출권 거래제를 조속히 개선하는 게 ‘정책 신뢰’를 높이는 방안이다.
## 또 과거 잘못된 정책에 근거한 <1차:NOH> 계획 기간(<2015~2017년:DUR>)의 배출권 재할당을 추진하고, 배출권 거래제를 조속히 개선하는 게 ‘정책 신뢰’를 높이는 방안이다.
또	또	MAG	O
_	_	_	O
과거	과거	NNG	O
_	_	_	O
잘못된	잘못되+ㄴ	VV+ETM	O
_	_	_	O
정책	정책	NNG	O
에	에	JKB	O
_	_	_	O
근거한	근거하+ㄴ	VV+ETM	O
_	_	_	O
1	1	SN	B-NOH
차	차	NNB	I-NOH
_	_	_	O
계획	계획	NNG	O
_	_	_	O
기간	기간	NNG	O
(	(	SS	O
2015	2015	SN	B-DUR
~	~	SO	I-DUR
2017	2017	SN	I-DUR
년	년	NNB	I-DUR
)	)	SS	O
의	의	JKG	O
_	_	_	O
배출	배출	NNG	O
권	권	XSN	O
_	_	_	O
재	재	XPN	O
할당	할당	NNG	O
을	을	JKO	O
_	_	_	O
추진하	추진하	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
배출	배출	NNG	O
권	권	XSN	O
_	_	_	O
거래	거래	NNG	O
제	제	XSN	O
를	를	JKO	O
_	_	_	O
조속히	조속히	MAG	O
_	_	_	O
개선하	개선하	VV	O
는	는	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
‘	‘	SS	O
정책	정책	NNG	O
_	_	_	O
신뢰	신뢰	NNG	O
’	’	SS	O
를	를	JKO	O
_	_	_	O
높이	높이	VV	O
는	는	ETM	O
_	_	_	O
방안	방안	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 유환익 전국경제인연합회 산업본부장
## <유환익:PER> <전국경제인연합회:ORG> 산업본부장
유환익	유환익	NNP	B-PER
_	_	_	O
전국경제인연합회	전국경제인연합회	NNP	B-ORG
_	_	_	O
산업	산업	NNG	O
본부	본부	NNG	O
장	장	XSN	O

## 4
## 차유람 이지성 결혼 “봉사가 중심이 되는 삶을 살겠다”…14살 나이 차이 극복당구선수 차유람(27)이 이지성(41) 작가와 결혼한다.
## <차유람:PER> <이지성:PER> 결혼 “봉사가 중심이 되는 삶을 살겠다”…<14살:NOH> 나이 차이 극복당구선수 <차유람:PER>(<27:NOH>)이 <이지성:PER>(<41:NOH>) 작가와 결혼한다.
차	차	NNB	B-PER
유람	유람	NNG	I-PER
_	_	_	O
이지성	이지성	NNP	B-PER
_	_	_	O
결혼	결혼	NNG	O
_	_	_	O
“	“	SS	O
봉사	봉사	NNG	O
가	가	JKS	O
_	_	_	O
중심	중심	NNG	O
이	이	JKC	O
_	_	_	O
되	되	VV	O
는	는	ETM	O
_	_	_	O
삶	삶	NNG	O
을	을	JKO	O
_	_	_	O
살	살	VV	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O
…	…	SE	O
14	14	SN	B-NOH
살	살	NNB	I-NOH
_	_	_	O
나이	나이	NNG	O
_	_	_	O
차이	차이	NNG	O
_	_	_	O
극복	극복	NNG	O
당구	당구	NNG	O
선수	선수	NNG	O
_	_	_	O
차	차	NNB	B-PER
유람	유람	NNG	I-PER
(	(	SS	O
27	27	SN	B-NOH
)	)	SS	O
이	이	JKS	O
_	_	_	O
이지성	이지성	NNP	B-PER
(	(	SS	O
41	41	SN	B-NOH
)	)	SS	O
_	_	_	O
작가	작가	NNG	O
와	와	JKB	O
_	_	_	O
결혼한다	결혼하+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 차유람과 이지성 작가 측은 1일 “이달 20일 웨딩마치를 올린다”고 밝혔다.
## <차유람:PER>과 <이지성:PER> 작가 측은 <1일:DAT> “이달 <20일:DAT> 웨딩마치를 올린다”고 밝혔다.
차	차	NNB	B-PER
유람	유람	NNG	I-PER
과	과	JC	O
_	_	_	O
이지성	이지성	NNP	B-PER
_	_	_	O
작가	작가	NNG	O
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
1	1	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
“	“	SS	O
이달	이달	NNG	O
_	_	_	O
20	20	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
웨딩	웨딩	NNG	O
마치	마치	NNG	O
를	를	JKO	O
_	_	_	O
올린다	올리+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 박 씨 부부는 ‘참 안전인’ 제도 도입 후 첫 수상자다.
## <박:PER> 씨 부부는 ‘참 안전인’ 제도 도입 후 첫 수상자다.
박	박	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
_	_	_	O
부부	부부	NNG	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
참	참	MAG	O
_	_	_	O
안전	안전	NNG	O
인	이+ㄴ	VCP+ETM	O
’	’	SS	O
_	_	_	O
제도	제도	NNG	O
_	_	_	O
도입	도입	NNG	O
_	_	_	O
후	후	NNG	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
수상자	수상자	NNG	O
다	다	NNG	O
.	.	SF	O

## 7
## 20~30대 주부 중 남편이 가사일을 돕는다고 답한 비율은 60%가 넘었으나 40~50대 주부들의 응답률은 고작 40%에 불과했다.
## <20:NOH>~<30대:NOH> 주부 중 남편이 가사일을 돕는다고 답한 비율은 <60%:PNT>가 넘었으나 <40:NOH>~<50대:NOH> 주부들의 응답률은 고작 <40%:PNT>에 불과했다.
20	20	SN	B-NOH
~	~	SO	O
30	30	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
주부	주부	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
남편	남편	NNG	O
이	이	JKS	O
_	_	_	O
가사일	가사일	NNG	O
을	을	JKO	O
_	_	_	O
돕	돕	VV	O
는다고	는다고	EC	O
_	_	_	O
답한	답하+ㄴ	VV+ETM	O
_	_	_	O
비율	비율	NNG	O
은	은	JX	O
_	_	_	O
60	60	SN	B-PNT
%	%	SW	I-PNT
가	가	JKS	O
_	_	_	O
