## 1
## 문 전 대표는 '박근혜 대통령 탄핵' 야권 공조 균열 논란으로 50대 이상과 새누리당 지지층 등 여권 성향에서 지지율이 일부 이탈했다.
## <문:PER> 전 대표는 '<박근혜:PER> 대통령 탄핵' 야권 공조 균열 논란으로 <50대:NOH> 이상과 <새누리당:ORG> 지지층 등 여권 성향에서 지지율이 일부 이탈했다.
문	문	NNG	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
'	'	SS	O
박근혜	박근혜	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
_	_	_	O
탄핵	탄핵	NNG	O
'	'	SS	O
_	_	_	O
야권	야권	NNG	O
_	_	_	O
공조	공조	NNG	O
_	_	_	O
균열	균열	NNG	O
_	_	_	O
논란	논란	NNG	O
으로	으로	JKB	O
_	_	_	O
50	50	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
이상	이상	NNG	O
과	과	JC	O
_	_	_	O
새누리당	새누리당	NNP	B-ORG
_	_	_	O
지지	지지	NNG	O
층	층	XSN	O
_	_	_	O
등	등	NNB	O
_	_	_	O
여권	여권	NNG	O
_	_	_	O
성향	성향	NNG	O
에서	에서	JKB	O
_	_	_	O
지지율	지지율	NNG	O
이	이	JKS	O
_	_	_	O
일부	일부	NNG	O
_	_	_	O
이탈	이탈하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 저희 같은 강사들은 수업을 조금만 잘못해도 평가가 나빠질 수 있으니까 항상 긴장하고 있어요. 수업 하나만 하고 나도 기진맥진하고. 그런데 학생들은 수업 끝나면 사진도 찍고, 자기 얘기도 하고, 질문도 하잖아요. 힘들지만 또 응해야죠. 그래서 저는 수업 시작 전엔 절대로 교무실이나 교실에 올라가지 않습니다.
## 저희 같은 강사들은 수업을 조금만 잘못해도 평가가 나빠질 수 있으니까 항상 긴장하고 있어요. 수업 <하나:NOH>만 하고 나도 기진맥진하고. 그런데 학생들은 수업 끝나면 사진도 찍고, 자기 얘기도 하고, 질문도 하잖아요. 힘들지만 또 응해야죠. 그래서 저는 수업 시작 전엔 절대로 교무실이나 교실에 올라가지 않습니다.
저희	저희	NP	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
강사	강사	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
수업	수업	NNG	O
을	을	JKO	O
_	_	_	O
조금	조금	NNG	O
만	만	JX	O
_	_	_	O
잘못해도	잘못하+여도	VV+EC	O
_	_	_	O
평가	평가	NNG	O
가	가	JKS	O
_	_	_	O
나빠	나쁘+어	VA+EC	O
질	지+ㄹ	VX+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
으니까	으니까	EC	O
_	_	_	O
