## 1
## 대학생 윤한석(27)씨도 “향수에 관심이 많은데 정품 향수들을 다 사서 모으기엔 용돈으로 감당이 안 돼 온라인에서 거래되는 ‘소분 향수’를 즐겨 구매한다”고 했다.
## 대학생 <윤한석:PER>(<27:NOH>)씨도 “향수에 관심이 많은데 정품 향수들을 다 사서 모으기엔 용돈으로 감당이 안 돼 온라인에서 거래되는 ‘소분 향수’를 즐겨 구매한다”고 했다.
대학생	대학생	NNG	O
_	_	_	O
윤한석	윤한석	NNP	B-PER
(	(	SS	O
27	27	SN	B-NOH
)	)	SS	O
씨	씨	NNB	O
도	도	JX	O
_	_	_	O
“	“	SS	O
향수	향수	NNG	O
에	에	JKB	O
_	_	_	O
관심	관심	NNG	O
이	이	JKS	O
_	_	_	O
많	많	VA	O
은데	은데	EC	O
_	_	_	O
정품	정품	NNG	O
_	_	_	O
향수	향수	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
다	다	MAG	O
_	_	_	O
사서	사+아서	VV+EC	O
_	_	_	O
모으	모으	VV	O
기	기	ETN	O
엔	에+ㄴ	JKB+JX	O
_	_	_	O
용돈	용돈	NNG	O
으로	으로	JKB	O
_	_	_	O
감당	감당	NNG	O
이	이	JKC	O
_	_	_	O
안	안	MAG	O
_	_	_	O
돼	되+어	VV+EC	O
_	_	_	O
온라인	온라인	NNG	O
에서	에서	JKB	O
_	_	_	O
거래되	거래되	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
소분	소분	NNG	O
_	_	_	O
향수	향수	NNG	O
’	’	SS	O
를	를	JKO	O
_	_	_	O
즐겨	즐기+어	VV+EC	O
_	_	_	O
구매한다	구매하+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 팬들이 간절히 원하는 아이유와 지드래곤이 함께 노래 부르는 모습
## 팬들이 간절히 원하는 <아이유:PER>와 <지드래곤:PER>이 함께 노래 부르는 모습
팬	팬	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
간절히	간절히	MAG	O
_	_	_	O
원하	원하	VV	O
는	는	ETM	O
_	_	_	O
아이유	아이유	NNP	B-PER
와	와	JC	O
_	_	_	O
지드래곤	지드래곤	NNP	B-PER
이	이	JKS	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
노래	노래	NNG	O
_	_	_	O
부르	부르	VV	O
는	는	ETM	O
_	_	_	O
모습	모습	NNG	O

## 3
## 이곳 26동 등 3곳에 2000명 정도가 수용된 난민수용소가 마련돼 있다.
## 이곳 <26동:NOH> 등 <3곳:NOH>에 <2000명:NOH> 정도가 수용된 난민수용소가 마련돼 있다.
이곳	이곳	NP	O
_	_	_	O
26	26	SN	B-NOH
동	동	NNG	I-NOH
_	_	_	O
등	등	NNB	O
_	_	_	O
3	3	SN	B-NOH
곳	곳	NNG	I-NOH
에	에	JKB	O
_	_	_	O
2000	2000	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
정도	정도	NNG	O
가	가	JKS	O
_	_	_	O
수용된	수용되+ㄴ	VV+ETM	O
_	_	_	O
난민	난민	NNG	O
수용소	수용소	NNG	O
가	가	JKS	O
_	_	_	O
마련돼	마련되+어	VV+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 성씨는 경찰 검거 당시 방탄복을 착용했던 것으로 확인됐다.
## <성:PER>씨는 경찰 검거 당시 방탄복을 착용했던 것으로 확인됐다.
성	성	NNP	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
경찰	경찰	NNG	O
_	_	_	O
검거	검거	NNG	O
_	_	_	O
당시	당시	NNG	O
_	_	_	O
방탄복	방탄복	NNG	O
을	을	JKO	O
_	_	_	O
착용	착용하	VV	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
