## 1
## ‘메이메이더’는 중국 진출을 희망하는 한국의 제조-유통 사업자와 중국인 바이어 회원들을 연결시키는 플랫폼으로, 경쟁력 있는 우수 상품과 콘텐츠를 초기 비용 없이 중국시장에 브랜딩과 판매를 지원하는 회원제 B2B 플랫폼이다.
## ‘<메이메이더:ORG>’는 <중국:ORG> 진출을 희망하는 <한국:ORG>의 제조-유통 사업자와 중국인 바이어 회원들을 연결시키는 플랫폼으로, 경쟁력 있는 우수 상품과 콘텐츠를 초기 비용 없이 <중국:ORG>시장에 브랜딩과 판매를 지원하는 회원제 B2B 플랫폼이다.
‘	‘	SS	O
메이	메이	NNP	B-ORG
메이더	메이더	NNP	I-ORG
’	’	SS	O
는	는	JX	O
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	O
진출	진출	NNG	O
을	을	JKO	O
_	_	_	O
희망하	희망하	VV	O
는	는	ETM	O
_	_	_	O
한국	한국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
제조	제조	NNG	O
-	-	SO	O
유통	유통	NNG	O
_	_	_	O
사업자	사업자	NNG	O
와	와	JC	O
_	_	_	O
중국인	중국인	NNG	O
_	_	_	O
바이어	바이어	NNG	O
_	_	_	O
회원	회원	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
연결	연결	NNG	O
시키	시키	XSV	O
는	는	ETM	O
_	_	_	O
플랫폼	플랫폼	NNG	O
으로	으로	JKB	O
,	,	SP	O
_	_	_	O
경쟁력	경쟁력	NNG	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
우수	우수	NNG	O
_	_	_	O
상품	상품	NNG	O
과	과	JC	O
_	_	_	O
콘텐츠	콘텐츠	NNG	O
를	를	JKO	O
_	_	_	O
초기	초기	NNG	O
_	_	_	O
비용	비용	NNG	O
_	_	_	O
없이	없이	MAG	O
_	_	_	O
중국	중국	NNP	B-ORG
시장	시장	NNG	O
에	에	JKB	O
_	_	_	O
브랜딩	브랜딩	NNG	O
과	과	JC	O
_	_	_	O
판매	판매	NNG	O
를	를	JKO	O
_	_	_	O
지원하	지원하	VV	O
는	는	ETM	O
_	_	_	O
회원	회원	NNG	O
제	제	XSN	O
_	_	_	O
B	B	SL	O
2	2	SN	O
B	B	SL	O
_	_	_	O
플랫폼	플랫폼	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 하얼빈항록길상무유한공사는 중국 하얼빈을 대상으로 지역 내 200여개의 판매 네트워크를 보유한 한국 매거진 “한류지” 를 발행, 배포하는 현지 한국 화장품 유통회사이다.
## <하얼빈항록길상무유한공사:ORG>는 <중국 하얼빈:LOC>을 대상으로 지역 내 <200여개:NOH>의 판매 네트워크를 보유한 <한국:ORG> 매거진 “<한류지:POH>” 를 발행, 배포하는 현지 <한국:ORG> 화장품 유통회사이다.
하얼빈항록길상무유한공사	하얼빈항록길상무유한공사	NNG	B-ORG
는	는	JX	O
_	_	_	O
중국	중국	NNP	B-LOC
_	_	_	I-LOC
하얼빈	하얼빈	NNP	I-LOC
을	을	JKO	O
_	_	_	O
대상	대상	NNG	O
으로	으로	JKB	O
_	_	_	O
지역	지역	NNG	O
_	_	_	O
내	내	NNB	O
_	_	_	O
200	200	SN	B-NOH
여	여	XSN	I-NOH
개	개	NNB	I-NOH
의	의	JKG	O
_	_	_	O
판매	판매	NNG	O
_	_	_	O
네트워크	네트워크	NNG	O
를	를	JKO	O
_	_	_	O
보유한	보유하+ㄴ	VV+ETM	O
_	_	_	O
한국	한국	NNP	B-ORG
_	_	_	O
매거진	매거진	NNG	O
_	_	_	O
“	“	SS	O
한류	한류	NNG	B-POH
지	지	XSN	I-POH
”	”	SS	O
_	_	_	O
를	를	JKO	O
_	_	_	O
발행	발행	NNG	O
,	,	SP	O
_	_	_	O
