## 1
## 입국이 금지된 국제테러분자는 1만738명이고 우리 국민 중에서도 10명이 인터넷을 통해 과격 이슬람무장단체인 이슬람국가(IS)를 공개 지지한 것으로 확인됐다.
## 입국이 금지된 국제테러분자는 <1만738명:NOH>이고 우리 국민 중에서도 <10명:NOH>이 인터넷을 통해 과격 이슬람무장단체인 <이슬람국가:ORG>(<IS:ORG>)를 공개 지지한 것으로 확인됐다.
입국	입국	NNG	O
이	이	JKS	O
_	_	_	O
금지된	금지되+ㄴ	VV+ETM	O
_	_	_	O
국제	국제	NNG	O
테러	테러	NNG	O
분자	분자	NNG	O
는	는	JX	O
_	_	_	O
1	1	SN	B-NOH
만	만	NR	I-NOH
738	738	SN	I-NOH
명	명	NNB	I-NOH
이	이	VCP	O
고	고	EC	O
_	_	_	O
우리	우리	NP	O
_	_	_	O
국민	국민	NNG	O
_	_	_	O
중	중	NNB	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
10	10	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
인터넷	인터넷	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
과격	과격	NNG	O
_	_	_	O
이슬람	이슬람	NNG	O
무장	무장	NNG	O
단체	단체	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
이슬람	이슬람	NNG	B-ORG
국가	국가	NNG	I-ORG
(	(	SS	O
IS	IS	SL	B-ORG
)	)	SS	O
를	를	JKO	O
_	_	_	O
공개	공개	NNG	O
_	_	_	O
지지한	지지하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
확인	확인되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 니 변호사는 2002년 도시정비 계획으로 살 집을 잃은 철거민들의 인권 옹호 투쟁을 벌이다
## <니:PER> 변호사는 <2002년:DAT> 도시정비 계획으로 살 집을 잃은 철거민들의 인권 옹호 투쟁을 벌이다
니	니	NP	B-PER
_	_	_	O
변호사	변호사	NNG	O
는	는	JX	O
_	_	_	O
2002	2002	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
도시	도시	NNG	O
정비	정비	NNG	O
_	_	_	O
계획	계획	NNG	O
으로	으로	JKB	O
_	_	_	O
살	살+ㄹ	VV+ETM	O
_	_	_	O
집	집	NNG	O
을	을	JKO	O
_	_	_	O
잃	잃	VV	O
은	은	ETM	O
_	_	_	O
철거민	철거민	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
인권	인권	NNG	O
_	_	_	O
옹호	옹호	NNG	O
_	_	_	O
