## 1
## 금감원은 다른 계좌로부터 입금된 돈을 찾을 경우 30분 정도 기다려야 인출할 수 있도록 하는 방안, 현금자동입출금기(ATM) 인출 한도를 축소하는 방안 등을 검토하고 있다.
## <금감원:ORG>은 다른 계좌로부터 입금된 돈을 찾을 경우 <30분:NOH> 정도 기다려야 인출할 수 있도록 하는 방안, 현금자동입출금기(ATM) 인출 한도를 축소하는 방안 등을 검토하고 있다.
금감원	금감원	NNG	B-ORG
은	은	JX	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
계좌	계좌	NNG	O
로부터	로부터	JKB	O
_	_	_	O
입금된	입금되+ㄴ	VV+ETM	O
_	_	_	O
돈	돈	NNG	O
을	을	JKO	O
_	_	_	O
찾	찾	VV	O
을	을	ETM	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
30	30	SN	B-NOH
분	분	NNB	I-NOH
_	_	_	O
정도	정도	NNG	O
_	_	_	O
기다려야	기다리+어야	VV+EC	O
_	_	_	O
인출할	인출하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
도록	도록	EC	O
_	_	_	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
방안	방안	NNG	O
,	,	SP	O
_	_	_	O
현금	현금	NNG	O
자동	자동	NNG	O
입출금	입출금	NNG	O
기	기	XSN	O
(	(	SS	O
ATM	ATM	SL	O
)	)	SS	O
_	_	_	O
인출	인출	NNG	O
_	_	_	O
한도	한도	NNG	O
를	를	JKO	O
_	_	_	O
축소하	축소하	VV	O
는	는	ETM	O
_	_	_	O
방안	방안	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
검토하	검토하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 해외에 한국 소식을 알리는 영어방송을 하는 아리랑TV는 문체부 산하기관이다.
## 해외에 <한국:ORG> 소식을 알리는 영어방송을 하는 <아리랑TV:POH>는 <문체부:ORG> 산하기관이다.
해외	해외	NNG	O
에	에	JKB	O
_	_	_	O
한국	한국	NNP	B-ORG
_	_	_	O
소식	소식	NNG	O
을	을	JKO	O
_	_	_	O
알리	알리	VV	O
는	는	ETM	O
_	_	_	O
영어	영어	NNP	O
방송	방송	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
는	는	ETM	O
_	_	_	O
아리랑	아리랑	NNG	B-POH
TV	TV	SL	I-POH
는	는	JX	O
_	_	_	O
문체부	문체부	NNG	B-ORG
_	_	_	O
산하	산하	NNG	O
기관	기관	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 현재 국내에서 공부하는 외국인 유학생들은 한국 유학이 비용이 많이 드는 반면 교육적으로 얻을 것이 별로 없다고 지적한다.
