## 1
## 로널드 레이건 행정부는 “비용이 많이 든다”라며 철거했지만 2013년 버락 오바마 대통령이 다시 설치했다.
## <로널드 레이건:PER> 행정부는 “비용이 많이 든다”라며 철거했지만 <2013년:DAT> <버락 오바마:PER> 대통령이 다시 설치했다.
로널드	로널드	NNP	B-PER
_	_	_	I-PER
레이건	레이건	NNP	I-PER
_	_	_	O
행정부	행정부	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
비용	비용	NNG	O
이	이	JKS	O
_	_	_	O
많이	많이	MAG	O
_	_	_	O
든다	들+ㄴ다	VV+EF	O
”	”+이	SS+VCP	O
라며	라며	EC	O
_	_	_	O
철거	철거하	VV	O
했	였	EP	O
지만	지만	EC	O
_	_	_	O
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
버락	버락	NNP	B-PER
_	_	_	I-PER
오바마	오바마	NNP	I-PER
_	_	_	O
대통령	대통령	NNG	O
이	이	JKS	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
설치	설치하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 또한, 국제적 분석능력을 인정받은 농산물안정성분석센터와 친환경농산물인증기관을 활용한 친환경 과학영농 확대, 봉화은어축제 3년 연속 대한민국 우수축제 선정 등 군민편익 향상에 크게 기여했다.
## 또한, 국제적 분석능력을 인정받은 농산물안정성분석센터와 친환경농산물인증기관을 활용한 친환경 과학영농 확대, <봉화은어축제:POH> <3년:DUR> 연속 <대한민국:LOC> 우수축제 선정 등 군민편익 향상에 크게 기여했다.
또한	또한	MAG	O
,	,	SP	O
_	_	_	O
국제적	국제적	NNG	O
_	_	_	O
분석	분석	NNG	O
능력	능력	NNG	O
을	을	JKO	O
_	_	_	O
인정받	인정받	VV	O
은	은	ETM	O
_	_	_	O
농산물	농산물	NNG	O
안정성	안정성	NNG	O
분석	분석	NNG	O
센터	센터	NNG	O
와	와	JC	O
_	_	_	O
친환경	친환경	NNG	O
농산물	농산물	NNG	O
인증	인증	NNG	O
기관	기관	NNG	O
을	을	JKO	O
_	_	_	O
활용한	활용하+ㄴ	VV+ETM	O
_	_	_	O
친환경	친환경	NNG	O
_	_	_	O
과학	과학	NNG	O
영농	영농	NNG	O
_	_	_	O
확대	확대	NNG	O
,	,	SP	O
_	_	_	O
봉화	봉화	NNG	B-POH
은어	은어	NNG	I-POH
축제	축제	NNG	I-POH
_	_	_	O
3	3	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	O
연속	연속	NNG	O
_	_	_	O
대한민국	대한민국	NNP	B-LOC
_	_	_	O
우수	우수	NNG	O
축제	축제	NNG	O
_	_	_	O
선정	선정	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
군민	군민	NNG	O
편익	편익	NNG	O
_	_	_	O
향상	향상	NNG	O
에	에	JKB	O
_	_	_	O
크	크	VA	O
게	게	EC	O
_	_	_	O
기여	기여하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 모든 절차를 5분 안에 가능하도록 했다.
## 모든 절차를 <5분:DUR> 안에 가능하도록 했다.
모든	모든	MM	O
_	_	_	O
절차	절차	NNG	O
를	를	JKO	O
_	_	_	O
5	5	SN	B-DUR
분	분	NNB	I-DUR
_	_	_	O
안	안	NNG	O
에	에	JKB	O
_	_	_	O
가능하	가능하	VA	O
도록	도록	EC	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 써니뱅크 하면 가장 먼저 떠오르는 것이 바로 ‘Sunny 스피드업 누구나환전’이다.
## <써니뱅크:ORG> 하면 가장 먼저 떠오르는 것이 바로 ‘Sunny 스피드업 누구나환전’이다.
써니	써니	NNP	B-ORG
뱅크	뱅크	NNG	I-ORG
_	_	_	O
하	하	VV	O
면	면	EC	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
먼저	먼저	MAG	O
_	_	_	O
떠오르	떠오르	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
바로	바로	MAG	O
_	_	_	O
‘	‘	SS	O
Sunny	Sunny	SL	O
_	_	_	O
스피드	스피드	NNG	O
업	업	XSN	O
_	_	_	O
누구	누구	NP	O
나	나	NNG	O
환전	환전	NNG	O
’	’	SS	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 2007년 소아 알레르기 호흡기학회지에는 ‘특발성 간질성 폐렴 15례의 임상적 고찰’이라는 제목의 논문이 발표됐다.
## <2007년:DAT> 소아 알레르기 호흡기학회지에는 ‘특발성 간질성 폐렴 <15례:NOH>의 임상적 고찰’이라는 제목의 논문이 발표됐다.
2007	2007	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
소아	소아	NNG	O
_	_	_	O
알레르기	알레르기	NNG	O
_	_	_	O
호흡기	호흡기	NNG	O
학회	학회	NNG	O
지	지	XSN	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
특발성	특발성	NNG	O
_	_	_	O
간질성	간질성	NNG	O
_	_	_	O
폐렴	폐렴	NNG	O
_	_	_	O
15	15	SN	B-NOH
례	례	NNG	I-NOH
의	의	JKG	O
_	_	_	O
임상	임상	NNG	O
적	적	XSN	O
_	_	_	O
고찰	고찰	NNG	O
’	’	SS	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
제목	제목	NNG	O
의	의	JKG	O
_	_	_	O
논문	논문	NNG	O
이	이	JKS	O
_	_	_	O
발표	발표되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 이 대형 부실회사는 이미 8년전에 산업합리화 업체로 지정될 만큼 진작부터 부실화된바 있었다.
## 이 대형 부실회사는 이미 <8년:DUR>전에 산업합리화 업체로 지정될 만큼 진작부터 부실화된바 있었다.
이	이	MM	O
_	_	_	O
대형	대형	NNG	O
_	_	_	O
부실	부실	NNG	O
회사	회사	NNG	O
는	는	JX	O
_	_	_	O
이미	이미	MAG	O
_	_	_	O
8	8	SN	B-DUR
년	년	NNB	I-DUR
전	전	NNG	O
에	에	JKB	O
_	_	_	O
산업	산업	NNG	O
합리화	합리화	NNG	O
_	_	_	O
업체	업체	NNG	O
로	로	JKB	O
_	_	_	O
지정될	지정되+ㄹ	VV+ETM	O
_	_	_	O
만큼	만큼	NNB	O
_	_	_	O
진작	진작	MAG	O
부터	부터	JX	O
_	_	_	O
부실화된	부실화되+ㄴ	VV+ETM	O
바	바	NNB	O
_	_	_	O
있	있	VA	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 동복호 상류에 뿌려지는 농약이 연간 9천38㎏.
## 동복호 상류에 뿌려지는 농약이 연간 <9천38㎏:NOH>.
동복	동복	NNG	O
호	호	NNB	O
_	_	_	O
상류	상류	NNG	O
에	에	JKB	O
_	_	_	O
뿌려	뿌리+어	VV+EC	O
지	지	VX	O
는	는	ETM	O
_	_	_	O
농약	농약	NNG	O
이	이	JKS	O
_	_	_	O
연간	연간	NNG	O
_	_	_	O
9	9	SN	B-NOH
천	천	NR	I-NOH
38	38	SN	I-NOH
㎏	㎏	SW	I-NOH
.	.	SF	O

## 8
## 포스코 1%나눔재단은 17일 인천 화수동에서 스틸하우스 영유아복지시설 기공식을 개최했다.
## <포스코 1%나눔재단:ORG>은 <17일:DAT> <인천:LOC> <화수동:LOC>에서 <스틸하우스 영유아복지시설:LOC> 기공식을 개최했다.
포스코	포스코	NNP	B-ORG
_	_	_	I-ORG
1	1	SN	I-ORG
%	%	SW	I-ORG
나눔	나눔	NNP	I-ORG
재단	재단	NNG	I-ORG
은	은	JX	O
_	_	_	O
17	17	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
인천	인천	NNP	B-LOC
_	_	_	O
화수동	화수동	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
스틸하우스	스틸하우스	NNG	B-LOC
_	_	_	I-LOC
영	영	NNG	I-LOC
유아	유아	NNG	I-LOC
복지	복지	NNG	I-LOC
시설	시설	NNG	I-LOC
_	_	_	O
기공식	기공식	NNG	O
을	을	JKO	O
_	_	_	O
개최	개최하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 박명수 작곡가 유재환 “‘무도’ 출연 후 인기에 어머니 오열”…울컥한 사연은? 박명수 작곡가 유재환작곡가 유재환이 방송 출연 후 얻은 인기에 어머니가 눈물을 흘렸다고 전했다.
## <박명수:PER> 작곡가 <유재환:PER> “‘<무도:POH>’ 출연 후 인기에 어머니 오열”…울컥한 사연은? <박명수:PER> 작곡가 <유재환:PER>작곡가 <유재환:PER>이 방송 출연 후 얻은 인기에 어머니가 눈물을 흘렸다고 전했다.
박명수	박명수	NNP	B-PER
_	_	_	O
작곡가	작곡가	NNG	O
_	_	_	O
유재환	유재환	NNP	B-PER
_	_	_	O
“	“	SS	O
‘	‘	SS	O
무도	무도	NNG	B-POH
’	’	SS	O
_	_	_	O
출연	출연	NNG	O
_	_	_	O
후	후	NNG	O
_	_	_	O
인기	인기	NNG	O
에	에	JKB	O
_	_	_	O
어머니	어머니	NNG	O
_	_	_	O
오열	오열	NNG	O
”	”	SS	O
…	…	SE	O
울컥한	울컥하+ㄴ	VV+ETM	O
_	_	_	O
사연	사연	NNG	O
은	은	JX	O
?	?	SF	O
_	_	_	O
박명수	박명수	NNP	B-PER
_	_	_	O
작곡가	작곡가	NNG	O
_	_	_	O
유재환	유재환	NNP	B-PER
작곡가	작곡가	NNG	O
_	_	_	O
유재환	유재환	NNP	B-PER
이	이	JKS	O
_	_	_	O
방송	방송	NNG	O
_	_	_	O
출연	출연	NNG	O
_	_	_	O
후	후	NNG	O
_	_	_	O
얻	얻	VV	O
은	은	ETM	O
_	_	_	O
인기	인기	NNG	O
에	에	JKB	O
_	_	_	O
어머니	어머니	NNG	O
가	가	JKS	O
_	_	_	O
눈물	눈물	NNG	O
을	을	JKO	O
_	_	_	O
흘	흘리	VV	O
렸	었	EP	O
다고	다고	EC	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 지난달 20일 방송한 KBS 쿨 FM ‘박명수의 라디오쇼’에는 ‘무한도전 가요제’에 출연해 화제를 모은 유재환이 게스트로 출연했다.
## 지난달 <20일:DAT> 방송한 <KBS 쿨 FM:POH> ‘<박명수의 라디오쇼:POH>’에는 ‘<무한도전 가요제:POH>’에 출연해 화제를 모은 <유재환:PER>이 게스트로 출연했다.
지난달	지난달	NNG	O
