## 1
## 추 의원은 이날 “선심성 공약이 아닌 국토교통부 주관으로 중장기 계획이 진행되고 있는 사업”이라고 밝혔다.
## <추:PER> 의원은 이날 “선심성 공약이 아닌 <국토교통부:ORG> 주관으로 중장기 계획이 진행되고 있는 사업”이라고 밝혔다.
추	추	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
“	“	SS	O
선심성	선심성	NNG	O
_	_	_	O
공약	공약	NNG	O
이	이	JKC	O
_	_	_	O
아닌	아니+ㄴ	VCN+ETM	O
_	_	_	O
국토	국토	NNG	B-ORG
교통	교통	NNG	I-ORG
부	부	XSN	I-ORG
_	_	_	O
주관	주관	NNG	O
으로	으로	JKB	O
_	_	_	O
중	중	NNG	O
장기	장기	NNG	O
_	_	_	O
계획	계획	NNG	O
이	이	JKS	O
_	_	_	O
진행되	진행되	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
사업	사업	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## “두 살 어린 동생(현재 10세, 2012년 10월 당시 18㎏)보다 가벼웠다”고 어머니 한씨는 진술했다.
## “<두 살:NOH> 어린 동생(현재 <10세:NOH>, <2012년 10월:DAT> 당시 <18㎏:NOH>)보다 가벼웠다”고 어머니 한씨는 진술했다.
“	“	SS	O
두	두	MM	B-NOH
_	_	_	I-NOH
살	살	NNB	I-NOH
_	_	_	O
어린	어리+ㄴ	VA+ETM	O
_	_	_	O
동생	동생	NNG	O
(	(	SS	O
현재	현재	MAG	O
_	_	_	O
10	10	SN	B-NOH
세	세	NNB	I-NOH
,	,	SP	O
_	_	_	O
2012	2012	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
10	10	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
당시	당시	NNG	O
_	_	_	O
18	18	SN	B-NOH
㎏	㎏	SW	I-NOH
)	)	SS	O
보다	보다	JKB	O
_	_	_	O
가벼	가볍	VA	O
웠	었	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
어머니	어머니	NNG	O
_	_	_	O
한	한	NNP	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
진술	진술하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 경찰 관계자는 “최씨는 살인 혐의를 부인하고 있지만 아들의 사망 가능성을 예상하면서도 치명상을 입을 만큼 폭력을 가했고, 처벌을 받을까봐 다친 아들을 방치했으며, 시신을 잔혹하게 훼손하는 등 살인의 ‘미필적 고의’를 인정하기에 충분하다”고 강조했다.
## 경찰 관계자는 “<최:PER>씨는 살인 혐의를 부인하고 있지만 아들의 사망 가능성을 예상하면서도 치명상을 입을 만큼 폭력을 가했고, 처벌을 받을까봐 다친 아들을 방치했으며, 시신을 잔혹하게 훼손하는 등 살인의 ‘미필적 고의’를 인정하기에 충분하다”고 강조했다.
경찰	경찰	NNG	O
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
최	최	NNP	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
살인	살인	NNG	O
_	_	_	O
혐의	혐의	NNG	O
를	를	JKO	O
_	_	_	O
부인하	부인하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
지만	지만	EC	O
_	_	_	O
아들	아들	NNG	O
의	의	JKG	O
_	_	_	O
사망	사망	NNG	O
_	_	_	O
가능성	가능성	NNG	O
을	을	JKO	O
_	_	_	O
예상하	예상하	VV	O
면서	면서	EC	O
도	도	JX	O
_	_	_	O
치명상	치명상	NNG	O
을	을	JKO	O
_	_	_	O
입	입	VV	O
을	을	ETM	O
_	_	_	O
만큼	만큼	NNB	O
_	_	_	O
폭력	폭력	NNG	O
을	을	JKO	O
_	_	_	O
가	가하	VV	O
했	였	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
처벌	처벌	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
을까	을까	EC	O
봐	보+아	VX+EC	O
_	_	_	O
다친	다치+ㄴ	VV+ETM	O
_	_	_	O
아들	아들	NNG	O
을	을	JKO	O
_	_	_	O
방치	방치하	VV	O
했	였	EP	O
으며	으며	EC	O
,	,	SP	O
_	_	_	O
시신	시신	NNG	O
을	을	JKO	O
_	_	_	O
잔혹하	잔혹하	VA	O
게	게	EC	O
_	_	_	O
훼손하	훼손하	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
살인	살인	NNG	O
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
미필	미필	NNG	O
적	적	XSN	O
_	_	_	O
고의	고의	NNG	O
’	’	SS	O
를	를	JKO	O
_	_	_	O
인정하	인정하	VV	O
기	기	ETN	O
에	에	JKB	O
_	_	_	O
충분하	충분하	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
강조	강조하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## KGC인삼공사도 알레나 버그스마(25득점)~최수빈(14득점)~한수지(10득점·4블로킹)의 삼각편대로 맞섰지만, 역부족이었다.
