## 1
## 도올 김용옥, 국정화 교과서 맹비난 “헬조선 탈출하는 방법 아니다”
## <도올:PER> <김용옥:PER>, 국정화 교과서 맹비난 “헬조선 탈출하는 방법 아니다”
도올	도올	NNP	B-PER
_	_	_	O
김용옥	김용옥	NNP	B-PER
,	,	SP	O
_	_	_	O
국정	국정	NNG	O
화	화	XSN	O
_	_	_	O
교과서	교과서	NNG	O
_	_	_	O
맹	맹	XPN	O
비난	비난	NNG	O
_	_	_	O
“	“	SS	O
헬	헬	NNG	O
조선	조선	NNP	O
_	_	_	O
탈출하	탈출하	VV	O
는	는	ETM	O
_	_	_	O
방법	방법	NNG	O
_	_	_	O
아니	아니	VCN	O
다	다	EF	O
”	”	SS	O

## 2
## 메이지(明治)대 국제일본학부 후지모토 유카리(藤本由香里) 교수는 “예전엔 ‘손을 잡는다’가 연애의 첫걸음이었던 것처럼 이젠 가베동이 그런 상징이 됐다”고 풀이했다.
## <메이지:ORG>(<明治:ORG>)대 국제일본학부 <후지모토 유카리:PER>(<藤本由香里:PER>) 교수는 “예전엔 ‘손을 잡는다’가 연애의 첫걸음이었던 것처럼 이젠 가베동이 그런 상징이 됐다”고 풀이했다.
메이지	메이지	NNP	B-ORG
(	(	SS	O
明治	明治	SH	B-ORG
)	)	SS	O
대	대	NNG	O
_	_	_	O
국제	국제	NNG	O
일본	일본	NNP	O
학부	학부	NNG	O
_	_	_	O
후지모토	후지모토	NNP	B-PER
_	_	_	I-PER
유카리	유카리	NNG	I-PER
(	(	SS	O
藤本由香里	藤本由香里	SH	B-PER
)	)	SS	O
_	_	_	O
교수	교수	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
예전	예전	NNG	O
엔	에+ㄴ	JKB+JX	O
_	_	_	O
‘	‘	SS	O
손	손	NNG	O
을	을	JKO	O
_	_	_	O
잡	잡	VV	O
는다	는다	EF	O
’	’	SS	O
가	가	JKS	O
_	_	_	O
연애	연애	NNG	O
의	의	JKG	O
_	_	_	O
첫걸음	첫걸음	NNG	O
이	이	VCP	O
었	었	EP	O
던	던	ETM	O
_	_	_	O
것	것	NNB	O
처럼	처럼	JKB	O
_	_	_	O
