## 1
## 이태훈 원장
## <이태훈:PER> 원장
이태훈	이태훈	NNP	B-PER
_	_	_	O
원장	원장	NNG	O

## 2
## 또한 미슐랭 2스타를 받은 임정식 셰프의 레스토랑 ‘정식’에서는 5명이 모여 한식 중심의 프리 갈라 디너도 연다.
## 또한 <미슐랭 2스타:NOH>를 받은 <임정식:PER> 셰프의 레스토랑 ‘<정식:ORG>’에서는 <5명:NOH>이 모여 한식 중심의 프리 갈라 디너도 연다.
또한	또한	MAG	O
_	_	_	O
미슐랭	미슐랭	NNP	B-NOH
_	_	_	I-NOH
2	2	SN	I-NOH
스타	스타	NNG	I-NOH
를	를	JKO	O
_	_	_	O
받	받	VV	O
은	은	ETM	O
_	_	_	O
임정식	임정식	NNP	B-PER
_	_	_	O
셰프	셰프	NNG	O
의	의	JKG	O
_	_	_	O
레스토랑	레스토랑	NNG	O
_	_	_	O
‘	‘	SS	O
정식	정식	NNG	B-ORG
’	’	SS	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
5	5	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
모	모이	VV	O
여	어	EC	O
_	_	_	O
한식	한식	NNG	O
_	_	_	O
중심	중심	NNG	O
의	의	JKG	O
_	_	_	O
프리	프리	NNG	O
_	_	_	O
갈	가르	VV	O
라	아	EC	O
_	_	_	O
디너	디너	NNG	O
도	도	JX	O
_	_	_	O
연다	열+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 사드가 현재로서는 북의 핵미사일을 탐지, 요격할 수 있는 최상의 수단이라는 점을 알리며 설득해야 한다.
## <사드:POH>가 현재로서는 <북:LOC>의 핵미사일을 탐지, 요격할 수 있는 최상의 수단이라는 점을 알리며 설득해야 한다.
사드	사드	NNP	B-POH
가	가	JKS	O
_	_	_	O
현재	현재	NNG	O
로서	로서	JKB	O
는	는	JX	O
_	_	_	O
북	북	NNP	B-LOC
의	의	JKG	O
_	_	_	O
핵	핵	NNG	O
미사일	미사일	NNG	O
을	을	JKO	O
_	_	_	O
탐지	탐지	NNG	O
,	,	SP	O
_	_	_	O
요격할	요격하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
최상	최상	NNG	O
의	의	JKG	O
_	_	_	O
수단	수단	NNG	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
점	점	NNG	O
을	을	JKO	O
_	_	_	O
알리	알리	VV	O
며	며	EC	O
_	_	_	O
설득해야	설득하+여야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
.	.	SF	O

## 4
## 미국 증시의 폭락(1929년 10월 24일)으로 대공황이 시작된 지 얼마 되지 않아 뉴욕현대미술관(MoMA·모마)이 문을 열었다.
## <미국:LOC> 증시의 폭락(<1929년 10월 24일:DAT>)으로 대공황이 시작된 지 얼마 되지 않아 <뉴욕현대미술관:ORG>(<MoMA:ORG>·<모마:ORG>)이 문을 열었다.
미국	미국	NNP	B-LOC
_	_	_	O
증시	증시	NNG	O
의	의	JKG	O
_	_	_	O
폭락	폭락	NNG	O
(	(	SS	O
1929	1929	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
10	10	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
24	24	SN	I-DAT
일	일	NNB	I-DAT
)	)	SS	O
으로	으로	JKB	O
_	_	_	O
대공황	대공황	NNG	O
이	이	JKS	O
_	_	_	O
시작된	시작되+ㄴ	VV+ETM	O
_	_	_	O
지	지	NNB	O
_	_	_	O
얼마	얼마	NNG	O
_	_	_	O
되	되	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
아	아	EC	O
_	_	_	O
뉴욕현대미술관	뉴욕현대미술관	NNP	B-ORG
(	(	SS	O
MoMA	MoMA	SL	B-ORG
·	·	SP	O
모마	모마	NNG	B-ORG
)	)	SS	O
이	이	JKS	O
_	_	_	O
문	문	NNG	O
을	을	JKO	O
_	_	_	O
열	열	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## '2016 전국 장애학생 e페스티벌' 지역예선 성료
## '<2016:DAT> <전국 장애학생 e페스티벌:POH>' 지역예선 성료
'	'	SS	O
2016	2016	SN	B-DAT
_	_	_	O
전국	전국	NNG	B-POH
_	_	_	I-POH
장애	장애	NNG	I-POH
학생	학생	NNG	I-POH
_	_	_	I-POH
e	e	SL	I-POH
페스티벌	페스티벌	NNG	I-POH
'	'	SS	O
_	_	_	O
지역	지역	NNG	O
예선	예선	NNG	O
_	_	_	O
성료	성료	NNG	O

## 6
## 실무에 밝은 중도노선으로 당내 개혁파와 보수파 양쪽으로부터 지지를 받았던 그는 89년 6·4 천안문 사태 때 강경 진압에 적극 동의하지 않고 의견 표명을 보류했다.
## 실무에 밝은 중도노선으로 당내 개혁파와 보수파 <양:NOH>쪽으로부터 지지를 받았던 그는 <89년:DAT> <6·4 천안문 사태:POH> 때 강경 진압에 적극 동의하지 않고 의견 표명을 보류했다.
실무	실무	NNG	O
에	에	JKB	O
_	_	_	O
밝	밝	VA	O
은	은	ETM	O
_	_	_	O
중도	중도	NNG	O
노선	노선	NNG	O
으로	으로	JKB	O
_	_	_	O
당내	당내	NNG	O
_	_	_	O
개혁파	개혁파	NNG	O
와	와	JC	O
_	_	_	O
보수파	보수파	NNG	O
_	_	_	O
양쪽	양쪽	NNG	O
으로부터	으로부터	JKB	O
_	_	_	O
지지	지지	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
았	았	EP	O
던	던	ETM	O
_	_	_	O
그	그	NP	O
는	는	JX	O
_	_	_	O
89	89	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
6	6	SN	B-POH
·	·	SP	I-POH
4	4	SN	I-POH
_	_	_	I-POH
천안문	천안문	NNP	I-POH
_	_	_	I-POH
사태	사태	NNG	I-POH
_	_	_	O
때	때	NNG	O
_	_	_	O
강경	강경	NNG	O
_	_	_	O
진압	진압	NNG	O
에	에	JKB	O
_	_	_	O
적극	적극	NNG	O
_	_	_	O
동의하	동의하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
고	고	EC	O
_	_	_	O
의견	의견	NNG	O
_	_	_	O
표명	표명	NNG	O
을	을	JKO	O
_	_	_	O
