## 1
## 박 대통령은 “대화를 위해 줬던 돈이 핵 개발 자금이 됐고, 협상하겠다고 시간을 보내는 동안 북한은 핵 능력을 고도화했다”고 지적했다.
## <박:PER> 대통령은 “대화를 위해 줬던 돈이 핵 개발 자금이 됐고, 협상하겠다고 시간을 보내는 동안 <북한:ORG>은 핵 능력을 고도화했다”고 지적했다.
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
대화	대화	NNG	O
를	를	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
줬	+었	+EP	O
던	던	ETM	O
_	_	_	O
돈	돈	NNG	O
이	이	JKS	O
_	_	_	O
핵	핵	NNG	O
_	_	_	O
개발	개발	NNG	O
_	_	_	O
자금	자금	NNG	O
이	이	JKC	O
_	_	_	O
됐	+었	+EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
협상하	협상하	VV	O
겠	겠	EP	O
다	다	EC	O
고	고	JKQ	O
_	_	_	O
시간	시간	NNG	O
을	을	JKO	O
_	_	_	O
보내	보내	VV	O
는	는	ETM	O
_	_	_	O
동안	동안	NNG	O
_	_	_	O
북한	북한	NNP	B-ORG
은	은	JX	O
_	_	_	O
핵	핵	NNG	O
_	_	_	O
능력	능력	NNG	O
을	을	JKO	O
_	_	_	O
고도화	고도화하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
지적	지적하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 김대중 정부가 2000년 남북정상회담 당시 비밀리에 북한에 4억5000만 달러를 전달한 ‘대북 송금 사건’을 가리킨 발언이었다.
## <김대중:PER> 정부가 <2000년:DAT> <남북정상회담:POH> 당시 비밀리에 <북한:ORG>에 <4억5000만 달러:MNY>를 전달한 ‘<대북 송금 사건:POH>’을 가리킨 발언이었다.
김대중	김대중	NNP	B-PER
_	_	_	O
정부	정부	NNG	O
가	가	JKS	O
