## 1
## 부산시는 “부산∼창원 간 민자도로 중 3단계 구간인 율하∼녹산영업소∼미음∼세산나들목을 잇는 5.48km를 개통한다”고 3일 밝혔다.
## <부산시:ORG>는 “<부산:LOC>∼<창원:LOC> 간 민자도로 중 <3단계:NOH> 구간인 <율하:LOC>∼<녹산영업소:LOC>∼<미음:LOC>∼<세산나들목:LOC>을 잇는 <5.48km:NOH>를 개통한다”고 <3일:DAT> 밝혔다.
부산시	부산시	NNP	B-ORG
는	는	JX	O
_	_	_	O
“	“	SS	O
부산	부산	NNP	B-LOC
∼	∼	SO	O
창원	창원	NNP	B-LOC
_	_	_	O
간	간	NNB	O
_	_	_	O
민자	민자	NNG	O
도로	도로	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
3	3	SN	B-NOH
단계	단계	NNG	I-NOH
_	_	_	O
구간	구간	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
율	율	NNG	B-LOC
하	하	XSN	I-LOC
∼	∼	SO	O
녹산	녹산	NNP	B-LOC
영업소	영업소	NNG	I-LOC
∼	∼	SO	O
미음	미음	NNG	B-LOC
∼	∼	SO	O
세산	세산	NNP	B-LOC
나들목	나들목	NNG	I-LOC
을	을	JKO	O
_	_	_	O
잇	잇	VV	O
는	는	ETM	O
_	_	_	O
5.48	5.48	SN	B-NOH
km	km	SL	I-NOH
를	를	JKO	O
_	_	_	O
개통한다	개통하+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
3	3	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이는 2015년 1분기 월 평균 선물하기 이용 건 수 178만건 대비 크게 증가한 수치다.
## 이는 <2015년:DAT> <1분기:NOH> 월 평균 선물하기 이용 건 수 <178만건:NOH> 대비 크게 증가한 수치다.
이	이	NP	O
는	는	JX	O
_	_	_	O
2015	2015	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
1	1	SN	B-NOH
분기	분기	NNG	I-NOH
_	_	_	O
월	월	NNG	O
_	_	_	O
평균	평균	NNG	O
_	_	_	O
선물하	선물하	VV	O
기	기	ETN	O
_	_	_	O
이용	이용	NNG	O
_	_	_	O
건	것+ㄴ	NNB+JX	O
_	_	_	O
수	수	NNG	O
_	_	_	O
178	178	SN	B-NOH
만	만	NR	I-NOH
건	건	NNB	I-NOH
_	_	_	O
대비	대비	NNG	O
_	_	_	O
크	크	VA	O
게	게	EC	O
_	_	_	O
증가한	증가하+ㄴ	VV+ETM	O
_	_	_	O
수치	수치+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 한편 SK텔레콤이 ‘밴드 데이터 요금제’로 변경한 고객 1,000 명을 대상으로 설문 조사를 한 결과, 요금제를 변경한 가장 큰 이유는 ‘유·무선 무제한 통화(51%)’로 나타났다.
## 한편 <SK텔레콤:ORG>이 ‘<밴드 데이터 요금제:POH>’로 변경한 고객 <1,000 명:NOH>을 대상으로 설문 조사를 한 결과, 요금제를 변경한 가장 큰 이유는 ‘유·무선 무제한 통화(<51%:PNT>)’로 나타났다.
한편	한편	MAG	O
_	_	_	O
SK	SK	SL	B-ORG
텔레콤	텔레콤	NNG	I-ORG
이	이	JKS	O
_	_	_	O
‘	‘	SS	O
밴드	밴드	NNG	B-POH
_	_	_	I-POH
데이터	데이터	NNG	I-POH
_	_	_	I-POH
