## 1
## 국민생활체육회는 2012년부터 매년 새로운 대학생 명예기자단을 선발해 운영하고 있다.
## <국민생활체육회:ORG>는 <2012년:DAT>부터 매년 새로운 대학생 명예기자단을 선발해 운영하고 있다.
국민	국민	NNG	B-ORG
생활	생활	NNG	I-ORG
체육	체육	NNG	I-ORG
회	회	XSN	I-ORG
는	는	JX	O
_	_	_	O
2012	2012	SN	B-DAT
년	년	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
매년	매년	MAG	O
_	_	_	O
새로	새롭	VA	O
운	ㄴ	ETM	O
_	_	_	O
대학	대학	NNG	O
생	생	NNG	O
_	_	_	O
명예	명예	NNG	O
기자	기자	NNG	O
단	단	XSN	O
을	을	JKO	O
_	_	_	O
선발해	선발하+여	VV+EC	O
_	_	_	O
운영하	운영하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 대구·경북 지역 부동산중개업소의 84%가, 충청에서는 59%가 내년 집값 하락을 예상했다.
## <대구:LOC>·<경북:LOC> 지역 부동산중개업소의 <84%:PNT>가, <충청:LOC>에서는 <59%:PNT>가 내년 집값 하락을 예상했다.
대구	대구	NNP	B-LOC
·	·	SP	O
경북	경북	NNP	B-LOC
_	_	_	O
지역	지역	NNG	O
_	_	_	O
부동산	부동산	NNG	O
중개	중개	NNG	O
업소	업소	NNG	O
의	의	JKG	O
_	_	_	O
84	84	SN	B-PNT
%	%	SW	I-PNT
가	가	JKS	O
,	,	SP	O
_	_	_	O
충청	충청	NNP	B-LOC
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
59	59	SN	B-PNT
%	%	SW	I-PNT
가	가	JKS	O
_	_	_	O
내년	내년	NNG	O
_	_	_	O
집값	집값	NNG	O
_	_	_	O
하락	하락	NNG	O
을	을	JKO	O
_	_	_	O
예상	예상하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 월드컵대교 건설 배경에는 성산대교 통행량 증가에 따른 교통량 분산 목적이 있다.
## <월드컵대교:LOC> 건설 배경에는 <성산대교:LOC> 통행량 증가에 따른 교통량 분산 목적이 있다.
월드컵	월드컵	NNG	B-LOC
대교	대교	NNG	I-LOC
_	_	_	O
건설	건설	NNG	O
_	_	_	O
배경	배경	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
성산대교	성산대교	NNP	B-LOC
_	_	_	O
통행	통행	NNG	O
량	량	NNG	O
_	_	_	O
증가	증가	NNG	O
에	에	JKB	O
_	_	_	O
따른	따르+ㄴ	VV+ETM	O
_	_	_	O
교통	교통	NNG	O
량	량	NNG	O
_	_	_	O
분산	분산	NNG	O
_	_	_	O
목적	목적	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 4
## 수도자-국내외 수십만 봉사자들, 노숙인-장애인 등 4000여명 돌봐
## 수도자-국내외 <수십만:NOH> 봉사자들, 노숙인-장애인 등 <4000여명:NOH> 돌봐
수도자	수도자	NNG	O
-	-	SO	O
국내외	국내외	NNG	O
_	_	_	O
수십만	수십만	NR	B-NOH
_	_	_	O
봉사자	봉사자	NNG	O
들	들	XSN	O
,	,	SP	O
_	_	_	O
노숙	노숙	NNG	O
인	이+ㄴ	VCP+ETM	O
-	-	SO	O
장애인	장애인	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
4000	4000	SN	B-NOH
여	여	XSN	I-NOH
명	명	NNB	I-NOH
_	_	_	O
돌봐	돌보+아	VV+EC	O

## 5
## 5일 출국한 전북은 UAE 캠프에 이재성을 동행시키지 않았다.
## <5일:DAT> 출국한 <전북:ORG>은 <UAE 캠프:ORG>에 <이재성:PER>을 동행시키지 않았다.
5	5	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
출국한	출국하+ㄴ	VV+ETM	O
_	_	_	O
전북	전북	NNP	B-ORG
은	은	JX	O
_	_	_	O
UAE	UAE	SL	B-ORG
_	_	_	I-ORG
캠프	캠프	NNG	I-ORG
에	에	JKB	O
_	_	_	O
이재성	이재성	NNP	B-PER
을	을	JKO	O
_	_	_	O
동행	동행	NNG	O
시키	시키	XSV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 특히 한 자녀에 대해 부모가 순차적으로 육아휴직을 쓰는 경우, 두 번째 육아휴직자(대개 아빠)도 석 달 치 육아휴직 급여를 통상임금의 100%(월 최대 150만 원)까지 받을 수 있게 됐다.
## 특히 <한:NOH> 자녀에 대해 부모가 순차적으로 육아휴직을 쓰는 경우, 두 번째 육아휴직자(대개 아빠)도 <석 달:DUR> 치 육아휴직 급여를 통상임금의 <100%:PNT>(월 최대 <150만 원:MNY>)까지 받을 수 있게 됐다.
특히	특히	MAG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	O
자녀	자녀	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
부모	부모	NNG	O
가	가	JKS	O
_	_	_	O
순차적	순차적	NNG	O
으로	으로	JKB	O
_	_	_	O
육아	육아	NNG	O
휴직	휴직	NNG	O
을	을	JKO	O
_	_	_	O
쓰	쓰	VV	O
는	는	ETM	O
_	_	_	O
경우	경우	NNG	O
,	,	SP	O
_	_	_	O
두	두	MM	O
_	_	_	O
번째	번째	NNB	O
_	_	_	O
육아	육아	NNG	O
휴직	휴직	NNG	O
자	자	XSN	O
(	(	SS	O
대개	대개	MAG	O
_	_	_	O
아빠	아빠	NNG	O
)	)	SS	O
도	도	JX	O
_	_	_	O
석	석	MM	B-DUR
_	_	_	I-DUR
달	달	NNB	I-DUR
_	_	_	O
치	치	NNB	O
_	_	_	O
육아	육아	NNG	O
휴직	휴직	NNG	O
_	_	_	O
급여	급여	NNG	O
를	를	JKO	O
_	_	_	O
통상	통상	NNG	O
임금	임금	NNG	O
의	의	JKG	O
_	_	_	O
100	100	SN	B-PNT
%	%	SW	I-PNT
(	(	SS	O
월	월	NNG	O
_	_	_	O
최대	최대	NNG	O
_	_	_	O
150	150	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
)	)	SS	O
까지	까지	JX	O
_	_	_	O
