## 1
## SK텔레콤에서는 15만6000원의 지원금을 받을 수 있다.
## <SK텔레콤:ORG>에서는 <15만6000원:NOH>의 지원금을 받을 수 있다.
SK	SK	SL	B-ORG
텔레콤	텔레콤	NNG	I-ORG
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
15	15	SN	B-NOH
만	만	NR	I-NOH
6000	6000	SN	I-NOH
원	원	NNB	I-NOH
의	의	JKG	O
_	_	_	O
지원금	지원금	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 2
## 중고가 요금제에서는 지원금을 받는 것보다 2년간 20% 선택 약정 할인을 받는 것이 더 유리하다.
## 중고가 요금제에서는 지원금을 받는 것보다 <2년간:DUR> <20%:PNT> 선택 약정 할인을 받는 것이 더 유리하다.
중	중	NNG	O
고가	고가	NNG	O
_	_	_	O
요금	요금	NNG	O
제	제	XSN	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
지원금	지원금	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
보다	보다	JKB	O
_	_	_	O
2	2	SN	B-DUR
년	년	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
20	20	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
선택	선택	NNG	O
_	_	_	O
약정	약정	NNG	O
_	_	_	O
할인	할인	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
더	더	MAG	O
_	_	_	O
유리하	유리하	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 월 6만원대 요금제를 선택할 경우 이통사 공시지원금은 26만~29만원 수준이다.
## 월 <6만원:MNY>대 요금제를 선택할 경우 이통사 공시지원금은 <26만:NOH>~<29만원:NOH> 수준이다.
월	월	NNG	O
_	_	_	O
6	6	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
대	대	XSN	O
_	_	_	O
요금	요금	NNG	O
제	제	XSN	O
를	를	JKO	O
_	_	_	O
선택할	선택하+ㄹ	VV+ETM	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
이통	이통	NNG	O
사	사	XSN	O
_	_	_	O
공시	공시	NNG	O
지원금	지원금	NNG	O
은	은	JX	O
_	_	_	O
26	26	SN	B-NOH
만	만	NR	I-NOH
~	~	SO	O
29	29	SN	B-NOH
만	만	NR	I-NOH
원	원	NNB	I-NOH
_	_	_	O
수준	수준	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 공단이 다시 문을 연다면 67%의 기업이 재입주할 의향이 있는 것으로 나타났다.
## 공단이 다시 문을 연다면 <67%:PNT>의 기업이 재입주할 의향이 있는 것으로 나타났다.
공단	공단	NNG	O
이	이	JKS	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
문	문	NNG	O
을	을	JKO	O
_	_	_	O
연다면	열+ㄴ다면	VV+EC	O
_	_	_	O
67	67	SN	B-PNT
%	%	SW	I-PNT
의	의	JKG	O
_	_	_	O
기업	기업	NNG	O
이	이	JKS	O
_	_	_	O
재	재	XPN	O
입주할	입주하+ㄹ	VV+ETM	O
_	_	_	O
의향	의향	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
나타났	나타나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 5
## 서울호텔관광전문학교(학장 이형근, 이하 서호관)가 전국 고교 2,3학년 학생을 대상으로 제4회 서호관 전국 고교 요리왕 대회를 개최한다.
## <서울호텔관광전문학교:ORG>(학장 <이형근:PER>, 이하 <서호관:LOC>)가 전국 고교 <2:NOH>,<3학년:NOH> 학생을 대상으로 <제4회:NOH> <서호관 전국 고교 요리왕 대회:POH>를 개최한다.
서울	서울	NNP	B-ORG
호텔	호텔	NNG	I-ORG
관광	관광	NNG	I-ORG
전문학교	전문학교	NNG	I-ORG
(	(	SS	O
학장	학장	NNG	O
_	_	_	O
이형근	이형근	NNP	B-PER
,	,	SP	O
_	_	_	O
이하	이하	NNG	O
_	_	_	O
서호관	서호관	NNP	B-LOC
)	)	SS	O
가	가	JKS	O
_	_	_	O
전국	전국	NNG	O
_	_	_	O
고교	고교	NNG	O
_	_	_	O
2	2	SN	B-NOH
,	,	SP	O
3	3	SN	B-NOH
학년	학년	NNG	I-NOH
_	_	_	O
학생	학생	NNG	O
을	을	JKO	O
_	_	_	O
대상	대상	NNG	O
으로	으로	JKB	O
_	_	_	O
제	제	XPN	B-NOH
4	4	SN	I-NOH
회	회	NNB	I-NOH
_	_	_	O
서호관	서호관	NNP	B-POH
_	_	_	I-POH
전국	전국	NNG	I-POH
_	_	_	I-POH
고교	고교	NNG	I-POH
_	_	_	I-POH
요리왕	요리왕	NNP	I-POH
_	_	_	I-POH
대회	대회	NNG	I-POH
를	를	JKO	O
_	_	_	O
개최한다	개최하+ㄴ다	VV+EF	O
.	.	SF	O

## 6
## 그는 이어 『김정일동지는 놀라울 정도로 진취적이고 박력도 있을 것이라고 북한고관들이 이야기하더라』고 거듭 강조했다.
## 그는 이어 『<김정일:PER>동지는 놀라울 정도로 진취적이고 박력도 있을 것이라고 <북한:ORG>고관들이 이야기하더라』고 거듭 강조했다.
그	그	NP	O
는	는	JX	O
_	_	_	O
이어	이어	MAG	O
_	_	_	O
『	『	SS	O
김정일	김정일	NNP	B-PER
동지	동지	NNG	O
는	는	JX	O
_	_	_	O
놀라	놀랍	VA	O
울	ㄹ	ETM	O
_	_	_	O
정도	정도	NNG	O
로	로	JKB	O
_	_	_	O
진취적	진취적	NNG	O
이	이	VCP	O
고	고	EC	O
_	_	_	O
박력	박력	NNG	O
도	도	JX	O
_	_	_	O
있	있	VA	O
을	을	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
북한	북한	NNP	B-ORG
고관	고관	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
이야기하	이야기하	VV	O
더라	더라	EF	O
』	』	SS	O
고	고	JKQ	O
_	_	_	O
거듭	거듭	MAG	O
_	_	_	O
강조	강조하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 더불어민주당 문재인 대선 후보 측은 부산 서면 ‘젊음의 거리’에서 진행된 문 후보의 집중 유세와 관련, “부산이 디비졌다”고 23일 평가했다.
## <더불어민주당:ORG> <문재인:PER> 대선 후보 측은 <부산:LOC> <서면:LOC> ‘젊음의 거리’에서 진행된 <문:PER> 후보의 집중 유세와 관련, “<부산:LOC>이 디비졌다”고 <23일:DAT> 평가했다.
더불	더불	VV	B-ORG
어	어	EC	I-ORG
민주당	민주당	NNP	I-ORG
_	_	_	O
문재인	문재인	NNP	B-PER
_	_	_	O
대선	대선	NNG	O
_	_	_	O
후보	후보	NNG	O
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
부산	부산	NNP	B-LOC
_	_	_	O
서면	서면	NNP	B-LOC
_	_	_	O
‘	‘	SS	O
젊음	젊음	NNG	O
의	의	JKG	O
_	_	_	O
거리	거리	NNG	O
’	’	SS	O
에서	에서	JKB	O
_	_	_	O
진행된	진행되+ㄴ	VV+ETM	O
_	_	_	O
문	문	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
의	의	JKG	O
_	_	_	O
집중	집중	NNG	O
_	_	_	O
유세	유세	NNG	O
와	와	JKB	O
_	_	_	O
관련	관련	NNG	O
,	,	SP	O
_	_	_	O
“	“	SS	O
부산	부산	NNP	B-LOC
이	이	JKS	O
_	_	_	O
디비	디비지	VV	O
졌	었	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
23	23	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
평가	평가하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 문재인 후보 측 유은혜 수석대변인은 이날 “부산이 디비졌다”는 제목의 논평을 통해 이같이 밝혔다.
## <문재인:PER> 후보 측 <유은혜:PER> 수석대변인은 이날 “<부산:LOC>이 디비졌다”는 제목의 논평을 통해 이같이 밝혔다.
문재인	문재인	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
_	_	_	O
측	측	NNB	O
_	_	_	O
유은혜	유은혜	NNP	B-PER
_	_	_	O
수석	수석	NNG	O
대변인	대변인	NNG	O
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
“	“	SS	O
부산	부산	NNP	B-LOC
이	이	JKS	O
_	_	_	O
디비	디비지	VV	O
졌	었	EP	O
다	다	EF	O
”	”	SS	O
는	는	JX	O
_	_	_	O
제목	제목	NNG	O
의	의	JKG	O
_	_	_	O
논평	논평	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
이같이	이같이	MAG	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 유 수석대변인은 문재인 후보를 두고 “전국의 고른 지지를 받는 첫 통합 대통령”이라면서 “어제(22일) 문재인 더불어민주당 대선 후보가 서면에 섰다.
## <유:PER> 수석대변인은 <문재인:PER> 후보를 두고 “전국의 고른 지지를 받는 첫 통합 대통령”이라면서 “어제(<22일:DAT>) <문재인:PER> <더불어민주당:ORG> 대선 후보가 서면에 섰다.
유	유	NNP	B-PER
_	_	_	O
수석	수석	NNG	O
대변인	대변인	NNG	O
은	은	JX	O
_	_	_	O
문재인	문재인	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
를	를	JKO	O
_	_	_	O
두	두	VV	O
고	고	EC	O
_	_	_	O
“	“	SS	O
전국	전국	NNG	O
의	의	JKG	O
_	_	_	O
고른	고르+ㄴ	VA+ETM	O
_	_	_	O
지지	지지	NNG	O
