## 1
## 동계 훈련은 어떻게 하고 있나.“집이 인천이라 오전에 팔당팀 선수들과 스피돔에서 트랙훈련을 하고 오후에는 아라뱃길 도로훈련을 한다.
## 동계 훈련은 어떻게 하고 있나.“집이 <인천:LOC>이라 오전에 <팔당팀:ORG> 선수들과 <스피돔:LOC>에서 트랙훈련을 하고 오후에는 아라뱃길 도로훈련을 한다.
동계	동계	NNG	O
_	_	_	O
훈련	훈련	NNG	O
은	은	JX	O
_	_	_	O
어떻	어떻	VA	O
게	게	EC	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
나	나	EF	O
.	.	SF	O
“	“	SS	O
집	집	NNG	O
이	이	JKS	O
_	_	_	O
인천	인천	NNP	B-LOC
이	이	VCP	O
라	라	EC	O
_	_	_	O
오전	오전	NNG	O
에	에	JKB	O
_	_	_	O
팔당	팔당	NNP	B-ORG
팀	팀	NNG	I-ORG
_	_	_	O
선수	선수	NNG	O
들	들	XSN	O
과	과	JKB	O
_	_	_	O
스피돔	스피돔	NNG	B-LOC
에서	에서	JKB	O
_	_	_	O
트랙	트랙	NNG	O
훈련	훈련	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
오후	오후	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
아라	아라	NNP	O
뱃길	뱃길	NNG	O
_	_	_	O
도로	도로	NNG	O
훈련	훈련	NNG	O
을	을	JKO	O
_	_	_	O
한다	하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 키라 라우쉬는 키 173㎝에 초록 눈동자와 금발이 매력적인 러시아 출신의 모델이다.
## <키라 라우쉬:PER>는 키 <173㎝:NOH>에 초록 눈동자와 금발이 매력적인 <러시아:LOC> 출신의 모델이다.
키라	키라	NNP	B-PER
_	_	_	I-PER
라우	라우	NNP	I-PER
쉬	쉬	VV	I-PER
는	는	ETM	O
_	_	_	O
키	키	NNG	O
_	_	_	O
173	173	SN	B-NOH
㎝	㎝	SW	I-NOH
에	에	JKB	O
_	_	_	O
초록	초록	NNG	O
_	_	_	O
눈동자	눈동자	NNG	O
와	와	JC	O
_	_	_	O
금발	금발	NNG	O
이	이	JKS	O
_	_	_	O
매력적	매력적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
러시아	러시아	NNP	B-LOC
_	_	_	O
출신	출신	NNG	O
의	의	JKG	O
_	_	_	O
모델	모델	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 오나미는 지난 12일 방송된 JTBC ‘님과 함께 시즌2-최고(高)의 사랑’에서 “꿈을 이루었다”고 밝혔다.오나미는 “8년 간 허경환 씨를 짝사랑했다.
## <오나미:PER>는 지난 <12일:NOH> 방송된 <JTBC:ORG> ‘<님과 함께 시즌2-최고(高)의 사랑:POH>’에서 “꿈을 이루었다”고 밝혔다.<오나미:PER>는 “<8년 간:DUR> <허경환:PER> 씨를 짝사랑했다.
오나미	오나미	NNP	B-PER
는	는	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
12	12	SN	B-NOH
일	일	NNB	I-NOH
_	_	_	O
방송된	방송되+ㄴ	VV+ETM	O
_	_	_	O
JTBC	JTBC	SL	B-ORG
_	_	_	O
‘	‘	SS	O
님	님	NNG	B-POH
과	과	JKB	I-POH
_	_	_	I-POH
함께	함께	MAG	I-POH
_	_	_	I-POH
시즌	시즌	NNG	I-POH
2	2	SN	I-POH
-	-	SO	I-POH
최고	최고	NNG	I-POH
(	(	SS	I-POH
高	高	SH	I-POH
)	)	SS	I-POH
의	의	JKG	I-POH
_	_	_	I-POH
사랑	사랑	NNG	I-POH
’	’	SS	O
에서	에서	JKB	O
_	_	_	O
“	“	SS	O
꿈	꿈	NNG	O
을	을	JKO	O
_	_	_	O
이루	이루	VV	O
었	었	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O
오나미	오나미	NNP	B-PER
는	는	JX	O
_	_	_	O
“	“	SS	O
8	8	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	I-DUR
간	간	NNB	I-DUR
_	_	_	O
허경환	허경환	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
를	를	JKO	O
_	_	_	O
짝사랑	짝사랑하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 또한 전시가 이뤄지는 기간동안 사전 시승 예약된 고객은 물론 VIP 고객을 대상으로 DB9 볼란테에 대한 시승 체험 행사도 펼쳐진다.크레송 오토모티브가 참여하고 있는 행사는 롯데백화점 에비뉴얼 월드타워점이 11일까지 펼쳐지는 브리티시 위크를 맞이해 펼쳐지는 행사와 함께 하는 전시일환으로 영국 전통 스포츠카를 럭셔리 브랜드를 찾는 고객들과 함께 하는 영국의 멋을 알 수 있는 공간으로 구성을 했다.
## 또한 전시가 이뤄지는 기간동안 사전 시승 예약된 고객은 물론 VIP 고객을 대상으로 <DB9 볼란테:POH>에 대한 시승 체험 행사도 펼쳐진다.<크레송 오토모티브:ORG>가 참여하고 있는 행사는 <롯데백화점 에비뉴얼 월드타워점:LOC>이 <11일:DAT>까지 펼쳐지는 브리티시 위크를 맞이해 펼쳐지는 행사와 함께 하는 전시일환으로 <영국:LOC> 전통 스포츠카를 럭셔리 브랜드를 찾는 고객들과 함께 하는 <영국:LOC>의 멋을 알 수 있는 공간으로 구성을 했다.
또한	또한	MAG	O
_	_	_	O
전시	전시	NNG	O
가	가	JKS	O
_	_	_	O
이뤄지	이루어지	VV	O
는	는	ETM	O
_	_	_	O
기간	기간	NNG	O
동안	동안	NNG	O
_	_	_	O
사전	사전	NNG	O
_	_	_	O
시승	시승	NNG	O
_	_	_	O
예약된	예약되+ㄴ	VV+ETM	O
_	_	_	O
고객	고객	NNG	O
은	은	JX	O
_	_	_	O
물론	물론	MAG	O
_	_	_	O
VIP	VIP	SL	O
_	_	_	O
고객	고객	NNG	O
을	을	JKO	O
_	_	_	O
대상	대상	NNG	O
으로	으로	JKB	O
_	_	_	O
DB	DB	SL	B-POH
9	9	SN	I-POH
_	_	_	I-POH
볼란테	볼란테	NNG	I-POH
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
시승	시승	NNG	O
_	_	_	O
체험	체험	NNG	O
_	_	_	O
행사	행사	NNG	O
도	도	JX	O
_	_	_	O
펼쳐진다	펼쳐지+ㄴ다	VV+EF	O
.	.	SF	O
크레송	크레송	NNP	B-ORG
_	_	_	I-ORG
오토모티브	오토모티브	NNP	I-ORG
가	가	JKS	O
_	_	_	O
참여하	참여하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
행사	행사	NNG	O
는	는	JX	O
_	_	_	O
롯데백화점	롯데백화점	NNP	B-LOC
_	_	_	I-LOC
에비	에비	NNG	I-LOC
뉴얼	뉴얼	NNP	I-LOC
_	_	_	I-LOC
월드	월드	NNG	I-LOC
타워	타워	NNG	I-LOC
점	점	NNG	I-LOC
이	이	JKS	O
_	_	_	O
11	11	SN	B-DAT
일	일	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
펼쳐지	펼쳐지	VV	O
는	는	ETM	O
_	_	_	O
브리티시	브리티시	NNP	O
_	_	_	O
위크	위크	NNG	O
를	를	JKO	O
_	_	_	O
맞이해	맞이하+여	VV+EC	O
_	_	_	O
펼쳐지	펼쳐지	VV	O
는	는	ETM	O
_	_	_	O
행사	행사	NNG	O
와	와	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
하	하	VV	O
는	는	ETM	O
_	_	_	O
전시	전시	NNG	O
일환	일환	NNG	O
으로	으로	JKB	O
_	_	_	O
영국	영국	NNP	B-LOC
_	_	_	O
전통	전통	NNG	O
_	_	_	O
스포츠카	스포츠카	NNG	O
를	를	JKO	O
_	_	_	O
럭셔리	럭셔리	NNG	O
_	_	_	O
브랜드	브랜드	NNG	O
를	를	JKO	O
_	_	_	O
찾	찾	VV	O
