## 1
## 전날 윤상현 의원의 일부 언론 인터뷰 때문이다.
## <전날:DAT> <윤상현:PER> 의원의 일부 언론 인터뷰 때문이다.
전날	전날	NNG	B-DAT
_	_	_	O
윤상현	윤상현	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
의	의	JKG	O
_	_	_	O
일부	일부	NNG	O
_	_	_	O
언론	언론	NNG	O
_	_	_	O
인터뷰	인터뷰	NNG	O
_	_	_	O
때문	때문	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 광주지법 형사합의 11부(부장판사 박용우)는 도장에서 가르치던 초등학생 A 양을 성폭행한 혐의(성폭력범죄의 처벌 등에 관한 특례법 위반)로 구속 기소된 신모 씨(26)에 대해 징역 7년을 선고했다고 밝혔다.
## <광주지법 형사합의 11부:ORG>(부장판사 <박용우:PER>)는 도장에서 가르치던 초등학생 <A:PER> 양을 성폭행한 혐의(성폭력범죄의 처벌 등에 관한 특례법 위반)로 구속 기소된 <신모:PER> 씨(<26:NOH>)에 대해 징역 <7년:NOH>을 선고했다고 밝혔다.
광주	광주	NNP	B-ORG
지법	지법	NNG	I-ORG
_	_	_	I-ORG
형사	형사	NNG	I-ORG
합의	합의	NNG	I-ORG
_	_	_	I-ORG
11	11	SN	I-ORG
부	부	NNB	I-ORG
(	(	SS	O
부장판사	부장판사	NNG	O
_	_	_	O
박용우	박용우	NNP	B-PER
)	)	SS	O
는	는	JX	O
_	_	_	O
도장	도장	NNG	O
에서	에서	JKB	O
_	_	_	O
가르치	가르치	VV	O
던	던	ETM	O
_	_	_	O
초등학생	초등학생	NNG	O
_	_	_	O
A	A	SL	B-PER
_	_	_	O
양	양	NNG	O
을	을	JKO	O
_	_	_	O
성폭행한	성폭행하+ㄴ	VV+ETM	O
_	_	_	O
혐의	혐의	NNG	O
(	(	SS	O
성폭력	성폭력	NNG	O
범죄	범죄	NNG	O
의	의	JKG	O
_	_	_	O
처벌	처벌	NNG	O
_	_	_	O
등	등	NNB	O
에	에	JKB	O
_	_	_	O
관한	관하+ㄴ	VV+ETM	O
_	_	_	O
특례법	특례법	NNG	O
_	_	_	O
위반	위반	NNG	O
)	)	SS	O
로	로	JKB	O
_	_	_	O
구속	구속	NNG	O
_	_	_	O
기소된	기소되+ㄴ	VV+ETM	O
_	_	_	O
신	신	XPN	B-PER
모	모	NNG	I-PER
_	_	_	O
씨	씨	NNB	O
(	(	SS	O
26	26	SN	B-NOH
)	)	SS	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
징역	징역	NNG	O
_	_	_	O
7	7	SN	B-NOH
년	년	NNB	I-NOH
을	을	JKO	O
_	_	_	O
선고	선고하	VV	O
했	었	EP	O
다고	다고	EC	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 지난해 영국 로열필하모니 오케스트라와 협연을 펼쳐 큰 화제를 불러일으키기도 한 티 스퀘어는 78년 첫 앨범 「럭키 서머 레이디」로 데뷔, 80년 4번째 앨범 「로쿤」이 대중적으로 폭발적 반응을 얻으며 정상의 인기를 누려온 재즈연주 그룹.
## 지난해 <영국 로열필하모니 오케스트라:ORG>와 협연을 펼쳐 큰 화제를 불러일으키기도 한 <티 스퀘어:ORG>는 <78년:DAT> 첫 앨범 「<럭키 서머 레이디:POH>」로 데뷔, <80년:DAT> <4번:NOH>째 앨범 「<로쿤:POH>」이 대중적으로 폭발적 반응을 얻으며 정상의 인기를 누려온 재즈연주 그룹.
지난해	지난해	NNG	O
_	_	_	O
영국	영국	NNP	B-ORG
_	_	_	I-ORG
로열	로열	NNG	I-ORG
필하모니	필하모니	NNG	I-ORG
_	_	_	I-ORG
오케스트라	오케스트라	NNG	I-ORG
와	와	JKB	O
_	_	_	O
협연	협연	NNG	O
을	을	JKO	O
_	_	_	O
펼쳐	펼치+어	VV+EC	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
화제	화제	NNG	O
를	를	JKO	O
_	_	_	O
불러일으키	불러일으키	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
한	하+ㄴ	VX+ETM	O
_	_	_	O
티	티	NNG	B-ORG
_	_	_	I-ORG
스퀘어	스퀘어	NNG	I-ORG
는	는	JX	O
_	_	_	O
78	78	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
첫	첫	MM	O
_	_	_	O
앨범	앨범	NNG	O
_	_	_	O
「	「	SS	O
럭키	럭키	NNP	B-POH
_	_	_	I-POH
서머	서머	NNG	I-POH
_	_	_	I-POH
레이디	레이디	NNG	I-POH
」	」	SS	O
로	로	JKB	O
_	_	_	O
데뷔	데뷔	NNG	O
,	,	SP	O
_	_	_	O
80	80	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
4	4	SN	B-NOH
번째	번째	NNB	O
_	_	_	O
앨범	앨범	NNG	O
_	_	_	O
「	「	SS	O
로쿤	로쿤	NNG	B-POH
」	」	SS	O
이	이	JKS	O
_	_	_	O
대중적	대중적	NNG	O
으로	으로	JKB	O
_	_	_	O
폭발적	폭발적	NNG	O
_	_	_	O
반응	반응	NNG	O
을	을	JKO	O
_	_	_	O
얻	얻	VV	O
으며	으며	EC	O
_	_	_	O
정상	정상	NNG	O
의	의	JKG	O
_	_	_	O
인기	인기	NNG	O
를	를	JKO	O
_	_	_	O
누려	누리+어	VV+EC	O
온	오+ㄴ	VX+ETM	O
_	_	_	O
재즈	재즈	NNG	O
연주	연주	NNG	O
_	_	_	O
그룹	그룹	NNG	O
.	.	SF	O

## 4
## 또 같은 해 4월에는 한 40대 남성이 채팅사이트에서 만난 여중생을 속여 만난 뒤 네 차례나 성폭행해 법원에서 징역 12년을 선고받기도 했다.
## 또 같은 해 <4월:DAT>에는 한 <40대:NOH> 남성이 채팅사이트에서 만난 여중생을 속여 만난 뒤 네 차례나 성폭행해 법원에서 징역 <12년:NOH>을 선고받기도 했다.
또	또	MAG	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
해	해	NNG	O
_	_	_	O
4	4	SN	B-DAT
월	월	NNB	I-DAT
에	에	JKB	O
는	는	JX	O
_	_	_	O
한	한	MM	O
_	_	_	O
40	40	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
남성	남성	NNG	O
이	이	JKS	O
_	_	_	O
채팅	채팅	NNG	O
사이트	사이트	NNG	O
에서	에서	JKB	O
_	_	_	O
만난	만나+ㄴ	VV+ETM	O
_	_	_	O
여중생	여중생	NNG	O
을	을	JKO	O
_	_	_	O
속	속이	VV	O
여	어	EC	O
_	_	_	O
만난	만나+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
네	네	MM	O
_	_	_	O
