## 1
## 정치인 출신의 한 인사가 “조직 구성이 부족하다”고 비판하자 공식 실무지원팀인 이른바 ‘마포캠프’ 측은 “전문가들을 영입해서 준비하고 있는데 무슨 소리냐”고 목소리를 높였다고 한다.
## 정치인 출신의 <한:NOH> 인사가 “조직 구성이 부족하다”고 비판하자 공식 실무지원팀인 이른바 ‘<마포캠프:ORG>’ 측은 “전문가들을 영입해서 준비하고 있는데 무슨 소리냐”고 목소리를 높였다고 한다.
정치인	정치인	NNG	O
_	_	_	O
출신	출신	NNG	O
의	의	JKG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	O
인사	인사	NNG	O
가	가	JKS	O
_	_	_	O
“	“	SS	O
조직	조직	NNG	O
_	_	_	O
구성	구성	NNG	O
이	이	JKS	O
_	_	_	O
부족하	부족하	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
비판하	비판하	VV	O
자	자	EC	O
_	_	_	O
공식	공식	NNG	O
_	_	_	O
실무	실무	NNG	O
지원	지원	NNG	O
팀	팀	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
이른바	이른바	MAG	O
_	_	_	O
‘	‘	SS	O
마포	마포	NNP	B-ORG
캠프	캠프	NNG	I-ORG
’	’	SS	O
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
“	“	SS	O
전문가	전문가	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
영입해서	영입하+여서	VV+EC	O
_	_	_	O
준비하	준비하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는데	는데	EC	O
_	_	_	O
무슨	무슨	MM	O
_	_	_	O
소리	소리+이	NNG+VCP	O
냐	냐	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
목소리	목소리	NNG	O
를	를	JKO	O
_	_	_	O
높	높이	VV	O
였	었	EP	O
다고	다고	EC	O
_	_	_	O
한다	하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 팀에서 이정철 감독이 엄한 아버지라면 그는 자상한 어머니 역할을 했다.
## 팀에서 <이정철:PER> 감독이 엄한 아버지라면 그는 자상한 어머니 역할을 했다.
팀	팀	NNG	O
에서	에서	JKB	O
_	_	_	O
이정철	이정철	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
이	이	JKS	O
_	_	_	O
엄한	엄하+ㄴ	VA+ETM	O
_	_	_	O
아버지	아버지+이	NNG+VCP	O
라면	라면	EC	O
_	_	_	O
그	그	NP	O
는	는	JX	O
_	_	_	O
자상한	자상하+ㄴ	VA+ETM	O
_	_	_	O
어머니	어머니	NNG	O
_	_	_	O
역할	역할	NNG	O
을	을	JKO	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 3
