## 1
## “장예원 박태환 열애설 해명, 박태환 반응은 어떨지 궁금하다” 등의 반응을 보였다.
## “<장예원:PER> <박태환:PER> 열애설 해명, <박태환:PER> 반응은 어떨지 궁금하다” 등의 반응을 보였다.
“	“	SS	O
장예원	장예원	NNG	B-PER
_	_	_	O
박태환	박태환	NNP	B-PER
_	_	_	O
열애	열애	NNG	O
설	설	XSN	O
_	_	_	O
해명	해명	NNG	O
,	,	SP	O
_	_	_	O
박태환	박태환	NNP	B-PER
_	_	_	O
반응	반응	NNG	O
은	은	JX	O
_	_	_	O
어떨지	어떻+ㄹ지	VA+EC	O
_	_	_	O
궁금하	궁금하	VA	O
다	다	EF	O
”	”	SS	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
반응	반응	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## ▷서울시여성능력개발원이 어제 발표한 여대생(500명) 설문조사에 따르면 서울에 사는 여대생 10명 중 3명은 취업의 가장 큰 장애물을 ‘인맥’이라고 답했다.
## ▷<서울시여성능력개발원:ORG>이 어제 발표한 여대생(<500명:NOH>) 설문조사에 따르면 <서울:LOC>에 사는 여대생 <10명:NOH> 중 <3명:NOH>은 취업의 가장 큰 장애물을 ‘인맥’이라고 답했다.
▷	▷	SW	O
서울시	서울시	NNP	B-ORG
여성	여성	NNG	I-ORG
능력	능력	NNG	I-ORG
개발	개발	NNG	I-ORG
원	원	XSN	I-ORG
이	이	JKS	O
_	_	_	O
어제	어제	MAG	O
_	_	_	O
발표한	발표하+ㄴ	VV+ETM	O
_	_	_	O
여대생	여대생	NNG	O
(	(	SS	O
500	500	SN	B-NOH
명	명	NNB	I-NOH
)	)	SS	O
_	_	_	O
설문	설문	NNG	O
조사	조사	NNG	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
서울	서울	NNP	B-LOC
에	에	JKB	O
_	_	_	O
사	살	VV	O
는	는	ETM	O
_	_	_	O
여대생	여대생	NNG	O
_	_	_	O
10	10	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
중	중	NNB	O
_	_	_	O
3	3	SN	B-NOH
명	명	NNB	I-NOH
은	은	JX	O
_	_	_	O
취업	취업	NNG	O
의	의	JKG	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
장애물	장애물	NNG	O
을	을	JKO	O
_	_	_	O
‘	‘	SS	O
인맥	인맥	NNG	O
’	’	SS	O
이라고	이라고	JKQ	O
_	_	_	O
답	답하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이런 분석은 유럽 경제위기로 사회적·경제적 약자인 무슬림들이 갈수록 압박받고 있는 상황에서 설득력을 얻고 있다.
## 이런 분석은 <유럽:ORG> 경제위기로 사회적·경제적 약자인 무슬림들이 갈수록 압박받고 있는 상황에서 설득력을 얻고 있다.
이런	이런	MM	O
_	_	_	O
분석	분석	NNG	O
은	은	JX	O
_	_	_	O
유럽	유럽	NNP	B-ORG
_	_	_	O
경제	경제	NNG	O
위기	위기	NNG	O
로	로	JKB	O
_	_	_	O
사회적	사회적	NNG	O
·	·	SP	O
경제적	경제적	NNG	O
_	_	_	O
약자	약자	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
무슬림	무슬림	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
갈수록	갈수록	MAG	O
_	_	_	O
압박	압박	NNG	O
받	받	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
상황	상황	NNG	O
에서	에서	JKB	O
_	_	_	O
설득력	설득력	NNG	O
을	을	JKO	O
_	_	_	O
얻	얻	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 여관(북한 상식:2)
## 여관(<북한:ORG> 상식:<2:NOH>)
여관	여관	NNG	O
(	(	SS	O
북한	북한	NNP	B-ORG
_	_	_	O
상식	상식	NNG	O
:	:	SP	O
2	2	SN	B-NOH
)	)	SS	O

## 5
## 2차 출시에 맞춰서도 멕시코시티의 베니토 후아레스 국제공항에서 두 제품의 이미지를 랩핑한 에어로멕시코 비행기를 공개하는 등 마케팅을 강화했다.
## <2차:NOH> 출시에 맞춰서도 <멕시코시티:LOC>의 <베니토 후아레스:LOC> 국제공항에서 두 제품의 이미지를 랩핑한 <에어로멕시코:ORG> 비행기를 공개하는 등 마케팅을 <강화:LOC>했다.
2	2	SN	B-NOH
차	차	NNB	I-NOH
_	_	_	O
출시	출시	NNG	O
에	에	JKB	O
_	_	_	O
맞춰서	맞추+어서	VV+EC	O
도	도	JX	O
_	_	_	O
멕시코시티	멕시코시티	NNP	B-LOC
의	의	JKG	O
_	_	_	O
베니토	베니토	NNP	B-LOC
_	_	_	I-LOC
후아레스	후아레스	NNP	I-LOC
_	_	_	O
국제공항	국제공항	NNG	O
에서	에서	JKB	O
_	_	_	O
두	두	MM	O
_	_	_	O
제품	제품	NNG	O
의	의	JKG	O
_	_	_	O
이미지	이미지	NNG	O
를	를	JKO	O
_	_	_	O
랩핑	랩핑	NNG	O
한	하+ㄴ	XSV+ETM	O
_	_	_	O
에어로	에어로	NNP	B-ORG
멕시코	멕시코	NNP	I-ORG
_	_	_	O
비행기	비행기	NNG	O
를	를	JKO	O
_	_	_	O
공개하	공개하	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
마케팅	마케팅	NNG	O
을	을	JKO	O
_	_	_	O
강화	강화하	VV	B-LOC
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 25년 전 시작된 고(故) 천경자 화백의 ‘미인도’ 진위 여부가 결국 외국인 손으로 넘어갔다.
## <25년:NOH> 전 시작된 고(故) <천경자:PER> 화백의 ‘<미인도:POH>’ 진위 여부가 결국 외국인 손으로 넘어갔다.
25	25	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
전	전	NNG	O
_	_	_	O
시작된	시작되+ㄴ	VV+ETM	O
_	_	_	O
고	고	JKQ	O
(	(	SS	O
故	故	SH	O
)	)	SS	O
_	_	_	O
천경자	천경자	NNP	B-PER
_	_	_	O
화백	화백	NNG	O
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
미인도	미인도	NNG	B-POH
’	’	SS	O
_	_	_	O
진위	진위	NNG	O
_	_	_	O
여부	여부	NNG	O
가	가	JKS	O
_	_	_	O
결국	결국	NNG	O
_	_	_	O
외국인	외국인	NNG	O
_	_	_	O
손	손	NNG	O
으로	으로	JKB	O
_	_	_	O
넘어갔	넘어가+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 7
## 미인도 위작 여부를 수사 중인 검찰은 오는 19일부터 10일간 프랑스 뤼미에르 테크놀로지 연구소팀 2명을 한국으로 초청했다.
## <미인도:POH> 위작 여부를 수사 중인 검찰은 오는 <19일:DAT>부터 <10일간:DAT> <프랑스:ORG> <뤼미에르 테크놀로지 연구소:ORG>팀 <2명:NOH>을 <한국:LOC>으로 초청했다.
미인	미인	NNG	B-POH
도	도	JX	I-POH
_	_	_	O
위작	위작	NNG	O
_	_	_	O
여부	여부	NNG	O
를	를	JKO	O
_	_	_	O
수사	수사	NNG	O
_	_	_	O
중	중	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
검찰	검찰	NNG	O
은	은	JX	O
_	_	_	O
오	오	VV	O
는	는	ETM	O
_	_	_	O
19	19	SN	B-DAT
일	일	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
10	10	SN	B-DAT
일	일	NNB	I-DAT
간	간	XSN	I-DAT
_	_	_	O
프랑스	프랑스	NNP	B-ORG
_	_	_	O
뤼미에르	뤼미에르	NNP	B-ORG
_	_	_	I-ORG
테크놀로지	테크놀로지	NNG	I-ORG
_	_	_	I-ORG
연구소	연구소	NNG	I-ORG
