## 1
## 사진·글 = 임현동 기자
## 사진·글 = <임현동:PER> 기자
사진	사진	NNG	O
·	·	SP	O
글	글	NNG	O
_	_	_	O
=	=	SW	O
_	_	_	O
임현동	임현동	NNP	B-PER
_	_	_	O
기자	기자	NNG	O

## 2
## 소추위원단이 “(세월호 참사 당일 시장에서 고영태 씨와) 통화한 적이 있다고 하는데 (기억이 나지 않느냐)”라고 재차 묻자 최 씨는 “기억이 안 난다.
## <소추위원단:ORG>이 “(<세월호 참사:POH> 당일 시장에서 <고영태:PER> 씨와) 통화한 적이 있다고 하는데 (기억이 나지 않느냐)”라고 재차 묻자 <최:PER> 씨는 “기억이 안 난다.
소추	소추	NNG	B-ORG
위원단	위원단	NNG	I-ORG
이	이	JKS	O
_	_	_	O
“	“	SS	O
(	(	SS	O
세월호	세월호	NNP	B-POH
_	_	_	I-POH
참사	참사	NNG	I-POH
_	_	_	O
당일	당일	NNG	O
_	_	_	O
시장	시장	NNG	O
에서	에서	JKB	O
_	_	_	O
고영태	고영태	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
와	와	JC	O
)	)	SS	O
_	_	_	O
통화한	통화하+ㄴ	VV+ETM	O
_	_	_	O
적	적	NNB	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다고	다고	EC	O
_	_	_	O
하	하	VV	O
는데	는데	EC	O
_	_	_	O
(	(	SS	O
기억	기억	NNG	O
이	이	JKS	O
_	_	_	O
나	나	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
느냐	느냐	EF	O
)	)	SS	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
재차	재차	MAG	O
_	_	_	O
묻	묻	VV	O
자	자	EC	O
_	_	_	O
최	최	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
기억	기억	NNG	O
이	이	JKS	O
_	_	_	O
안	안	MAG	O
_	_	_	O
난다	나+ㄴ다	VV+EF	O
.	.	SF	O

## 3
