## 1
## 한미약품이 5조원대 기술 수출에 이어 또다시 1조원 규모 기술 수출에 성공했다.
## <한미약품:ORG>이 <5조원:MNY>대 기술 수출에 이어 또다시 <1조원:MNY> 규모 기술 수출에 성공했다.
한미약품	한미약품	NNP	B-ORG
이	이	JKS	O
_	_	_	O
5	5	SN	B-MNY
조	조	NR	I-MNY
원	원	NNB	I-MNY
대	대	XSN	O
_	_	_	O
기술	기술	NNG	O
_	_	_	O
수출	수출	NNG	O
에	에	JKB	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
_	_	_	O
또다시	또다시	MAG	O
_	_	_	O
1	1	SN	B-MNY
조	조	NR	I-MNY
원	원	NNB	I-MNY
_	_	_	O
규모	규모	NNG	O
_	_	_	O
기술	기술	NNG	O
_	_	_	O
수출	수출	NNG	O
에	에	JKB	O
_	_	_	O
성공	성공하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 어머니의 별세 소식은 10월 19일 한국의 모은행으로부터 유족들에게 천경자 화백의 은행계좌 해지 동의를 요구하는 전화를 받고서야 그제사 알게 되었습니다.
## 어머니의 별세 소식은 <10월 19일:DAT> <한국:LOC>의 모은행으로부터 유족들에게 천경자 화백의 은행계좌 해지 동의를 요구하는 전화를 받고서야 그제사 알게 되었습니다.
어머니	어머니	NNG	O
의	의	JKG	O
_	_	_	O
별세	별세	NNG	O
_	_	_	O
소식	소식	NNG	O
은	은	JX	O
_	_	_	O
10	10	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
19	19	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
한국	한국	NNP	B-LOC
의	의	JKG	O
_	_	_	O
모은행	모은행	NNG	O
으로부터	으로부터	JKB	O
_	_	_	O
유족	유족	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
천경자	천경자	NNP	O
_	_	_	O
화백	화백	NNG	O
의	의	JKG	O
_	_	_	O
은행	은행	NNG	O
계좌	계좌	NNG	O
_	_	_	O
해지	해지	NNG	O
_	_	_	O
동의	동의	NNG	O
를	를	JKO	O
_	_	_	O
요구하	요구하	VV	O
는	는	ETM	O
_	_	_	O
전화	전화	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
고서	고서	EC	O
야	야	JX	O
_	_	_	O
그제사	그제사	MAG	O
_	_	_	O
알	알	VV	O
게	게	EC	O
_	_	_	O
되	되	VV	O
었	었	EP	O
습니다	습니다	EF	O
.	.	SF	O

## 3
