## 1
## 오늘날에 와서 에르메스의 오렌지색은 유행에 휩쓸리지 않는 클래식하고 고급스러운 색으로 바뀌었죠. 주얼리 브랜드 '티파니'의 에메랄드 그린색 상자는 상자만으로도 청혼을 떠올리게 할 정도입니다.
## 오늘날에 와서 <에르메스:ORG>의 오렌지색은 유행에 휩쓸리지 않는 클래식하고 고급스러운 색으로 바뀌었죠. 주얼리 브랜드 '<티파니:ORG>'의 에메랄드 그린색 상자는 상자만으로도 청혼을 떠올리게 할 정도입니다.
오늘날	오늘날	NNG	O
에	에	JKB	O
_	_	_	O
와서	+아서	+EC	O
_	_	_	O
에르메스	에르메스	NNP	B-ORG
의	의	JKG	O
_	_	_	O
오렌지색	오렌지색	NNG	O
은	은	JX	O
_	_	_	O
유행	유행	NNG	O
에	에	JKB	O
_	_	_	O
휩쓸리	휩쓸리	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는	는	ETM	O
_	_	_	O
클래식	클래식	NNG	O
하	하	XSV	O
고	고	EC	O
_	_	_	O
고급스러	고급스럽	VA	O
운	ㄴ	ETM	O
_	_	_	O
색	색	NNG	O
으로	으로	JKB	O
_	_	_	O
바뀌	바뀌	VV	O
었	었	EP	O
죠	죠	EF	O
.	.	SF	O
_	_	_	O
주얼리	주얼리	NNG	O
_	_	_	O
브랜드	브랜드	NNG	O
_	_	_	O
'	'	SS	O
티파니	티파니	NNP	B-ORG
'	'	SS	O
의	의	JKG	O
_	_	_	O
에메랄드	에메랄드	NNG	O
_	_	_	O
그린	그린	NNG	O
색	색	NNG	O
_	_	_	O
상자	상자	NNG	O
는	는	JX	O
_	_	_	O
상자	상자	NNG	O
만	만	JX	O
으로	으로	JKB	O
도	도	JX	O
_	_	_	O
청혼	청혼	NNG	O
을	을	JKO	O
_	_	_	O
떠올리	떠올리	VV	O
게	게	EC	O
_	_	_	O
할	하+ㄹ	VX+ETM	O
_	_	_	O
정도	정도	NNG	O
입니다	이+ㅂ니다	VCP+EF	O
.	.	SF	O

## 2
## 나노신소재 분야에서는 고분자공학과가 전국 16개 동일 학과 중 최초로 공학인증을 받았다.
## 나노신소재 분야에서는 고분자공학과가 전국 <16개:NOH> 동일 학과 중 최초로 공학인증을 받았다.
나노	나노	NNG	O
신소재	신소재	NNG	O
_	_	_	O
분야	분야	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
고분자	고분자	NNG	O
공학	공학	NNG	O
과	과	NNG	O
가	가	JKS	O
_	_	_	O
전국	전국	NNG	O
_	_	_	O
16	16	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
동일	동일	NNG	O
_	_	_	O
학과	학과	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
최초	최초	NNG	O
로	로	JKB	O
_	_	_	O
공학	공학	NNG	O
인증	인증	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 전세가, 집값 84% 전국 최고 … “또 짐싸나” 군포의 한숨
## 전세가, 집값 <84%:PNT> 전국 최고 … “또 짐싸나” <군포:ORG>의 한숨
전세	전세	NNG	O
가	가	JKS	O
,	,	SP	O
_	_	_	O
집값	집값	NNG	O
_	_	_	O
84	84	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
전국	전국	NNG	O
_	_	_	O
최고	최고	NNG	O
_	_	_	O
…	…	SE	O
_	_	_	O
“	“	SS	O
또	또	MAG	O
_	_	_	O
짐싸	짐싸	NNP	O
나	나	JC	O
”	”	SS	O
_	_	_	O
군포	군포	NNG	B-ORG
의	의	JKG	O
_	_	_	O
한숨	한숨	NNG	O

## 4
## “중3 때 아버지가 요들 클럽 활동을 하는데 아코디언 연주자가 없다며 피아노를 해본 제게 연주해 달라고 하더군요.
## “<중3:NOH> 때 아버지가 요들 클럽 활동을 하는데 아코디언 연주자가 없다며 피아노를 해본 제게 연주해 달라고 하더군요.
“	“	SS	O
중	중	NNG	B-NOH
3	3	SN	I-NOH
_	_	_	O
때	때	NNG	O
_	_	_	O
아버지	아버지	NNG	O
가	가	JKS	O
_	_	_	O
요들	요들	NNG	O
_	_	_	O
클럽	클럽	NNG	O
_	_	_	O
활동	활동	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
는데	는데	EC	O
_	_	_	O
아코디언	아코디언	NNG	O
_	_	_	O
연주자	연주자	NNG	O
가	가	JKS	O
_	_	_	O
없	없	VA	O
다며	다며	EC	O
_	_	_	O
피아노	피아노	NNG	O
를	를	JKO	O
_	_	_	O
해	하+여	VV+EC	O
본	보+ㄴ	VX+ETM	O
_	_	_	O
제게	+에게	+JKB	O
_	_	_	O
연주해	연주하+여	VV+EC	O
_	_	_	O
달	달	VX	O
라고	라고	EC	O
_	_	_	O
하	하	VV	O
더군	더군	EC	O
요	요	JX	O
