## 1
## 우리은행 위성우 감독은 슈팅가드 박혜진을 포인트가드로 돌리고, 포워드 임영희에게는 슈팅가드 역할까지 맡길 계획이다.
## <우리은행:ORG> <위성우:PER> 감독은 슈팅가드 <박혜진:PER>을 포인트가드로 돌리고, 포워드 <임영희:PER>에게는 슈팅가드 역할까지 맡길 계획이다.
우리은행	우리은행	NNP	B-ORG
_	_	_	O
위성우	위성우	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
은	은	JX	O
_	_	_	O
슈팅	슈팅	NNG	O
가드	가드	NNG	O
_	_	_	O
박혜진	박혜진	NNP	B-PER
을	을	JKO	O
_	_	_	O
포인트	포인트	NNG	O
가드	가드	NNG	O
로	로	JKB	O
_	_	_	O
돌리	돌리	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
포워드	포워드	NNG	O
_	_	_	O
임영희	임영희	NNP	B-PER
에게	에게	JKB	O
는	는	JX	O
_	_	_	O
슈팅	슈팅	NNG	O
가드	가드	NNG	O
_	_	_	O
역할	역할	NNG	O
까지	까지	JX	O
_	_	_	O
맡길	맡기+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 경희대의 구태회, 윤무부교수, 제주대의 박행신교수, 경남대의 민병윤교수등이 그의 제자들.
## <경희대:ORG>의 <구태회:PER>, <윤무부:PER>교수, <제주대:ORG>의 <박행신:PER>교수, <경남대:LOC>의 <민병윤:PER>교수등이 그의 제자들.
경희대	경희대	NNP	B-ORG
의	의	JKG	O
_	_	_	O
구태회	구태회	NNP	B-PER
,	,	SP	O
_	_	_	O
윤무부	윤무부	NNP	B-PER
교수	교수	NNG	O
,	,	SP	O
_	_	_	O
제주대	제주대	NNP	B-ORG
의	의	JKG	O
_	_	_	O
박행신	박행신	NNP	B-PER
교수	교수	NNG	O
,	,	SP	O
_	_	_	O
경남대	경남대	NNP	B-LOC
의	의	JKG	O
_	_	_	O
