## 1
## CJ제일제당의 ‘백설 군만두’는 3위에 머물렀다.
## <CJ제일제당:ORG>의 ‘<백설 군만두:POH>’는 <3위:NOH>에 머물렀다.
CJ	CJ	SL	B-ORG
제일제당	제일제당	NNP	I-ORG
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
백설	백설	NNG	B-POH
_	_	_	I-POH
군만두	군만두	NNG	I-POH
’	’	SS	O
는	는	JX	O
_	_	_	O
3	3	SN	B-NOH
위	위	NNB	I-NOH
에	에	JKB	O
_	_	_	O
머물	머무르	VV	O
렀	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 그러나 바둑 4000년의 전설은 허무하게 무너졌다.
## 그러나 바둑 <4000년:DUR>의 전설은 허무하게 무너졌다.
그러나	그러나	MAJ	O
_	_	_	O
바둑	바둑	NNG	O
_	_	_	O
4000	4000	SN	B-DUR
년	년	NNB	I-DUR
의	의	JKG	O
_	_	_	O
전설	전설	NNG	O
은	은	JX	O
_	_	_	O
허무하	허무하	VA	O
게	게	EC	O
_	_	_	O
무너	무너지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이 과정에서 얼굴이 알려진 최 씨에게 협박이 이어졌다.
## 이 과정에서 얼굴이 알려진 <최:PER> 씨에게 협박이 이어졌다.
이	이	MM	O
_	_	_	O
과정	과정	NNG	O
에서	에서	JKB	O
_	_	_	O
얼굴	얼굴	NNG	O
이	이	JKS	O
_	_	_	O
알려진	알려지+ㄴ	VV+ETM	O
_	_	_	O
최	최	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
에게	에게	JKB	O
_	_	_	O
협박	협박	NNG	O
이	이	JKS	O
_	_	_	O
이어	이어지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 수능전형은 수능 100%를, 일반전형은 수능 60%, 학생부 40%를 각각 반영한다.
## 수능전형은 수능 <100%:PNT>를, 일반전형은 수능 <60%:PNT>, 학생부 <40%:PNT>를 각각 반영한다.
수능	수능	NNG	O
전형	전형	NNG	O
은	은	JX	O
_	_	_	O
수능	수능	NNG	O
_	_	_	O
100	100	SN	B-PNT
%	%	SW	I-PNT
를	를	JKO	O
,	,	SP	O
_	_	_	O
일반	일반	NNG	O
전형	전형	NNG	O
은	은	JX	O
_	_	_	O
수능	수능	NNG	O
_	_	_	O
60	60	SN	B-PNT
%	%	SW	I-PNT
,	,	SP	O
_	_	_	O
학생부	학생부	NNG	O
_	_	_	O
40	40	SN	B-PNT
%	%	SW	I-PNT
를	를	JKO	O
_	_	_	O
각각	각각	MAG	O
_	_	_	O
반영한다	반영하+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 60세 퇴직을 가정할 때 40년 동안 어떻게 살 것인지는 평생학습을 통해 어떤 준비를 했느냐에 따라 결정된다고 봅니다.
## <60세:NOH> 퇴직을 가정할 때 <40년 동안:DUR> 어떻게 살 것인지는 평생학습을 통해 어떤 준비를 했느냐에 따라 결정된다고 봅니다.
60	60	SN	B-NOH
세	세	NNB	I-NOH
_	_	_	O
퇴직	퇴직	NNG	O
을	을	JKO	O
_	_	_	O
가정할	가정하+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
40	40	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	I-DUR
동안	동안	NNG	I-DUR
_	_	_	O
어떻	어떻	VA	O
게	게	EC	O
_	_	_	O
살	살+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
인지	이+ㄴ지	VCP+EC	O
는	는	JX	O
_	_	_	O
평생	평생	NNG	O
