## 1
## 성남은 탄천종합운동장에서 벌어진 안방경기에서 티아고와 황의조의 골로 2-0으로 이겼다.
## <성남:LOC>은 <탄천종합운동장:LOC>에서 벌어진 안방경기에서 티아고와 황의조의 골로 <2-0:NOH>으로 이겼다.
성남	성남	NNP	B-LOC
은	은	JX	O
_	_	_	O
탄천	탄천	NNP	B-LOC
종합	종합	NNG	I-LOC
운동장	운동장	NNG	I-LOC
에서	에서	JKB	O
_	_	_	O
벌어진	벌어지+ㄴ	VV+ETM	O
_	_	_	O
안방	안방	NNG	O
경기	경기	NNG	O
에서	에서	JKB	O
_	_	_	O
티아고	티아고	NNP	O
와	와	JC	O
_	_	_	O
황의조	황의조	NNP	O
의	의	JKG	O
_	_	_	O
골	골	NNG	O
로	로	JKB	O
_	_	_	O
2	2	SN	B-NOH
-	-	SO	I-NOH
0	0	SN	I-NOH
으로	으로	JKB	O
_	_	_	O
이	이기	VV	O
겼	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이벤트 참여 신청은 오는 19일까지 하림 공식 페이스북과 블로그를 통해 가능하다.
## 이벤트 참여 신청은 오는 <19일:DAT>까지 <하림:ORG> 공식 <페이스북:POH>과 블로그를 통해 가능하다.
이벤트	이벤트	NNG	O
_	_	_	O
참여	참여	NNG	O
_	_	_	O
신청	신청	NNG	O
은	은	JX	O
_	_	_	O
오	오	VV	O
는	는	ETM	O
_	_	_	O
19	19	SN	B-DAT
일	일	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
하림	하림	NNP	B-ORG
_	_	_	O
공식	공식	NNG	O
_	_	_	O
페이스북	페이스북	NNP	B-POH
과	과	JC	O
_	_	_	O
블로그	블로그	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
가능하	가능하	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 광저우 대한민국 임시정부 청사, 79년 만에 현존 확인…헐린 줄 알았는데
## <광저우:LOC> <대한민국 임시정부 청사:LOC>, <79년:DAT> 만에 현존 확인…헐린 줄 알았는데
광저우	광저우	NNP	B-LOC
_	_	_	O
대한민국	대한민국	NNP	B-LOC
_	_	_	I-LOC
임시	임시	NNG	I-LOC
정부	정부	NNG	I-LOC
_	_	_	I-LOC
청사	청사	NNG	I-LOC
,	,	SP	O
_	_	_	O
79	79	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
만	만	NNB	O
에	에	JKB	O
_	_	_	O
현존	현존	NNG	O
_	_	_	O
확인	확인	NNG	O
…	…	SE	O
헐린	헐리+ㄴ	VV+ETM	O
_	_	_	O
줄	줄	NNB	O
_	_	_	O
알	알	VV	O
았	았	EP	O
는데	는데	EC	O

## 4
## 녹십자는 2019년까지 퀘백주 몬트리올에 연간 최대 100만 L의 혈장 처리 능력을 갖춘 공장을 세운다는 계획이다.
