## 1
## NBCI 평균은 72점으로 전년에 비해 전체적으로 2점 상승했다.
## <NBCI:ORG> 평균은 <72점:NOH>으로 전년에 비해 전체적으로 <2점:NOH> 상승했다.
NBCI	NBCI	SL	B-ORG
_	_	_	O
평균	평균	NNG	O
은	은	JX	O
_	_	_	O
72	72	SN	B-NOH
점	점	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
전년	전년	NNG	O
에	에	JKB	O
_	_	_	O
비해	비하+여	VV+EC	O
_	_	_	O
전체적	전체적	NNG	O
으로	으로	JKB	O
_	_	_	O
2	2	SN	B-NOH
점	점	NNB	I-NOH
_	_	_	O
상승	상승하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 동훈 전 국토통일원(현 통일부) 차관은 “‘마이웨이’ 일변도로 가는 북한 정권을 길들이기 위해서라도 필요한 조치”라며 “지금까지의 악순환을 끊기 위해선 강한 인식을 줄 필요가 있다”고 말했다.
## <동훈:PER> 전 <국토통일원:ORG>(현 <통일부:ORG>) 차관은 “‘마이웨이’ 일변도로 가는 <북한:ORG> 정권을 길들이기 위해서라도 필요한 조치”라며 “지금까지의 악순환을 끊기 위해선 강한 인식을 줄 필요가 있다”고 말했다.
동훈	동훈	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
국토	국토	NNG	B-ORG
통일원	통일원	NNG	I-ORG
(	(	SS	O
현	현	MM	O
_	_	_	O
통일부	통일부	NNG	B-ORG
)	)	SS	O
_	_	_	O
차관	차관	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
‘	‘	SS	O
마이	마이	NNG	O
웨이	웨이	NNG	O
’	’	SS	O
_	_	_	O
일변도	일변도	NNG	O
로	로	JKB	O
_	_	_	O
가	가	VV	O
는	는	ETM	O
_	_	_	O
북한	북한	NNP	B-ORG
_	_	_	O
정권	정권	NNG	O
을	을	JKO	O
_	_	_	O
길들이	길들이	VV	O
기	기	ETN	O
_	_	_	O
위해서	위하+여서	VV+EC	O
라도	라도	JX	O
_	_	_	O
필요한	필요하+ㄴ	VA+ETM	O
_	_	_	O
조치	조치	NNG	O
”	”+이	SS+VCP	O
라며	라며	EC	O
_	_	_	O
“	“	SS	O
지금	지금	NNG	O
까지	까지	JX	O
의	의	JKG	O
_	_	_	O
악순환	악순환	NNG	O
을	을	JKO	O
_	_	_	O
끊	끊	VV	O
기	기	ETN	O
_	_	_	O
위해선	위하+여서+ㄴ	VV+EC+JX	O
_	_	_	O
강한	강하+ㄴ	VA+ETM	O
_	_	_	O
인식	인식	NNG	O
을	을	JKO	O
_	_	_	O
줄	주+ㄹ	VV+ETM	O
_	_	_	O
필요	필요	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 정세현 전 통일부 장관은 “압박만으로 북한의 비핵화라는 목표를 달성하는 것은 현실적으로 어렵다”고 우려했다.
## <정세현:PER> 전 <통일부:ORG> 장관은 “압박만으로 <북한:ORG>의 비핵화라는 목표를 달성하는 것은 현실적으로 어렵다”고 우려했다.
정세현	정세현	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
통일부	통일부	NNG	B-ORG
_	_	_	O
장관	장관	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
압박	압박	NNG	O
만	만	JX	O
으로	으로	JKB	O
_	_	_	O
북한	북한	NNP	B-ORG
의	의	JKG	O
_	_	_	O
비	비	XPN	O
핵	핵	NNG	O
화	화+이	XSN+VCP	O
라는	라는	ETM	O
_	_	_	O
목표	목표	NNG	O
를	를	JKO	O
_	_	_	O
달성하	달성하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
현실적	현실적	NNG	O
으로	으로	JKB	O
_	_	_	O
어렵	어렵	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
우려	우려하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 박 대통령은 우간다를 비롯해 에티오피아와 케냐 등 아프리카 3개국을 국빈 방문하고 프랑스를 방문할 예정이다.
## <박:PER> 대통령은 <우간다:LOC>를 비롯해 <에티오피아:LOC>와 <케냐:LOC> 등 <아프리카:LOC> <3개:NOH>국을 국빈 방문하고 <프랑스:LOC>를 방문할 예정이다.
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
우간다	우간다	NNP	B-LOC
를	를	JKO	O
_	_	_	O
비롯해	비롯하+여	VV+EC	O
_	_	_	O
에티오피아	에티오피아	NNP	B-LOC
와	와	JC	O
_	_	_	O
케냐	케냐	NNP	B-LOC
_	_	_	O
등	등	NNB	O
_	_	_	O
아프리카	아프리카	NNP	B-LOC
_	_	_	O
3	3	SN	B-NOH
개국	개국	NNB	O
을	을	JKO	O
_	_	_	O
