## 1
## 그는 최근 베스트셀러의 제목과 반대되는 『아프니까 청춘은 아니다』란 책을 냈다.
## 그는 최근 베스트셀러의 제목과 반대되는 『<아프니까 청춘은 아니다:POH>』란 책을 냈다.
그	그	NP	O
는	는	JX	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
베스트셀러	베스트셀러	NNG	O
의	의	JKG	O
_	_	_	O
제목	제목	NNG	O
과	과	JC	O
_	_	_	O
반대되	반대되	VV	O
는	는	ETM	O
_	_	_	O
『	『	SS	O
아프	아프	VA	B-POH
니까	니까	EC	I-POH
_	_	_	I-POH
청춘	청춘	NNG	I-POH
은	은	JX	I-POH
_	_	_	I-POH
아니	아니	VCN	I-POH
다	다	EF	I-POH
』	』+이	SS+VCP	O
란	란	ETM	O
_	_	_	O
책	책	NNG	O
을	을	JKO	O
_	_	_	O
냈	내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 2
## “5년 전부터 사람들이 스마트폰으로 웹툰을 보기 시작했는데, 성인을 위한 작품은 부족하다고 생각했어요.
## “<5년:DUR> 전부터 사람들이 스마트폰으로 웹툰을 보기 시작했는데, 성인을 위한 작품은 부족하다고 생각했어요.
“	“	SS	O
5	5	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	O
전	전	NNG	O
부터	부터	JX	O
_	_	_	O
사람	사람	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
스마트폰	스마트폰	NNG	O
으로	으로	JKB	O
_	_	_	O
웹	웹	NNG	O
툰	툰	NNP	O
을	을	JKO	O
_	_	_	O
보	보	VV	O
기	기	ETN	O
_	_	_	O
시작	시작하	VV	O
했	였	EP	O
는데	는데	EC	O
,	,	SP	O
_	_	_	O
성인	성인	NNG	O
을	을	JKO	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
작품	작품	NNG	O
은	은	JX	O
_	_	_	O
부족하	부족하	VA	O
다고	다고	EC	O
_	_	_	O
생각	생각하	VV	O
했	었	EP	O
어요	어요	EF	O
.	.	SF	O

## 3
## 다빈크 소속사 오드아이앤씨는 20일 “다빈크가 2013년 2월 발표한 ‘모멘트 플라잉’ 이후 2년 만에 새 미니앨범 ‘터뷸런스’를 선보인다”고 밝혔다.
## <다빈크:PER> 소속사 <오드아이앤씨:ORG>는 <20일:DAT> “<다빈크:PER>가 <2013년 2월:DAT> 발표한 ‘<모멘트 플라잉:POH>’ 이후 <2년:DUR> 만에 새 미니앨범 ‘<터뷸런스:POH>’를 선보인다”고 밝혔다.
다빈	다빈	NNP	B-PER
크	크	VA	I-PER
_	_	_	O
소속	소속	NNG	O
사	사	XSN	O
_	_	_	O
오드	오드	NNG	B-ORG
아이	아이	NNG	I-ORG
앤	앤	NNG	I-ORG
씨	씨	NNB	I-ORG
는	는	JX	O
_	_	_	O
20	20	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
“	“	SS	O
다빈크	다빈크	NNG	B-PER
가	가	JKS	O
_	_	_	O
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
2	2	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
발표한	발표하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
모멘트	모멘트	NNG	B-POH
_	_	_	I-POH
플라잉	플라잉	NNG	I-POH
’	’	SS	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
2	2	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	O
