## 1
## 소니는 13일 긴자 미쓰코시 백화점 인근 지상 8층 지하 5층 빌딩을 내년 3월 해체한다고 발표했다.
## <소니:ORG>는 <13일:DAT> <긴자 미쓰코시 백화점:LOC> 인근 지상 <8층:NOH> 지하 <5층:NOH> 빌딩을 내년 <3월:DAT> 해체한다고 발표했다.
소니	소니	NNP	B-ORG
는	는	JX	O
_	_	_	O
13	13	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
긴자	긴자	NNP	B-LOC
_	_	_	I-LOC
미쓰코시	미쓰코시	NNP	I-LOC
_	_	_	I-LOC
백화점	백화점	NNG	I-LOC
_	_	_	O
인근	인근	NNG	O
_	_	_	O
지상	지상	NNG	O
_	_	_	O
8	8	SN	B-NOH
층	층	NNG	I-NOH
_	_	_	O
지하	지하	NNG	O
_	_	_	O
5	5	SN	B-NOH
층	층	NNG	I-NOH
_	_	_	O
빌딩	빌딩	NNG	O
을	을	JKO	O
_	_	_	O
내년	내년	NNG	O
_	_	_	O
3	3	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
해체한다고	해체하+ㄴ다고	VV+EC	O
_	_	_	O
발표	발표하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 매주 월요일은 휴관이다.
## 매주 <월요일:DAT>은 휴관이다.
매주	매주	MAG	O
_	_	_	O
월요일	월요일	NNG	B-DAT
은	은	JX	O
_	_	_	O
휴관	휴관	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 송 교수는 “인간의 의식세계는 컴퓨터가 계산할 수 없는 부분을 가지고 있다”며 “AI가 인간의 지능을 흉내낸다고 하더라도 생각·의식 자체를 가지는 것은 근본적으로 불가능하다”고 강조했다.
## <송:PER> 교수는 “인간의 의식세계는 컴퓨터가 계산할 수 없는 부분을 가지고 있다”며 “AI가 인간의 지능을 흉내낸다고 하더라도 생각·의식 자체를 가지는 것은 근본적으로 불가능하다”고 강조했다.
송	송	NNP	B-PER
_	_	_	O
교수	교수	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
인간	인간	NNG	O
의	의	JKG	O
_	_	_	O
의식	의식	NNG	O
세계	세계	NNG	O
는	는	JX	O
_	_	_	O
컴퓨터	컴퓨터	NNG	O
가	가	JKS	O
_	_	_	O
계산할	계산하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
부분	부분	NNG	O
을	을	JKO	O
_	_	_	O
가지	가지	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
AI	AI	SL	O
가	가	JKS	O
_	_	_	O
인간	인간	NNG	O
의	의	JKG	O
_	_	_	O
지능	지능	NNG	O
을	을	JKO	O
_	_	_	O
흉내	흉내	NNG	O
낸다고	내+ㄴ다고	VV+EC	O
_	_	_	O
하	하	VV	O
더라도	더라도	EC	O
_	_	_	O
생각	생각	NNG	O
·	·	SP	O
의식	의식	NNG	O
_	_	_	O
자체	자체	NNG	O
를	를	JKO	O
_	_	_	O
가지	가지	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
근본적	근본적	NNG	O
으로	으로	JKB	O
_	_	_	O
불가능하	불가능하	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
강조	강조하	VV	O
