## 1
## 카나브는 한국에서 1만4000여 명의 대규모 임상 4상을 진행했다.
## <카나브:ORG>는 <한국:LOC>에서 <1만4000여 명:NOH>의 대규모 임상 <4상:NOH>을 진행했다.
카나	카나	NNP	B-ORG
브	브	NNG	I-ORG
는	는	JX	O
_	_	_	O
한국	한국	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
1	1	SN	B-NOH
만	만	NR	I-NOH
4000	4000	SN	I-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
대규모	대규모	NNG	O
_	_	_	O
임상	임상	NNG	O
_	_	_	O
4	4	SN	B-NOH
상	상	NNG	I-NOH
을	을	JKO	O
_	_	_	O
진행	진행하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 청와대 관계자는 “최근 여야 협상 과정에서 청와대는 야당 뿐 아니라 여당의 눈치까지 살펴야 했다”며 “당청 사이에 ‘진실공방’이 되풀이되면서 정부의 신뢰가 떨어지는 상황을 방치할 수 없는 것 아니냐”고 말했다.
## <청와대:ORG> 관계자는 “최근 여야 협상 과정에서 <청와대:ORG>는 야당 뿐 아니라 여당의 눈치까지 살펴야 했다”며 “당청 사이에 ‘진실공방’이 되풀이되면서 정부의 신뢰가 떨어지는 상황을 방치할 수 없는 것 아니냐”고 말했다.
청와대	청와대	NNP	B-ORG
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
최근	최근	NNG	O
_	_	_	O
여야	여야	NNG	O
_	_	_	O
협상	협상	NNG	O
_	_	_	O
과정	과정	NNG	O
에서	에서	JKB	O
_	_	_	O
청와대	청와대	NNP	B-ORG
는	는	JX	O
_	_	_	O
야당	야당	NNG	O
_	_	_	O
뿐	뿐	JX	O
_	_	_	O
아니	아니	VCN	O
라	라	EC	O
_	_	_	O
여당	여당	NNG	O
의	의	JKG	O
_	_	_	O
눈치	눈치	NNG	O
까지	까지	JX	O
_	_	_	O
살펴야	살피+어야	VV+EC	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
당	당	NNG	O
청	청	NNG	O
_	_	_	O
사이	사이	NNG	O
에	에	JKB	O
_	_	_	O
‘	‘	SS	O
진실	진실	NNG	O
공방	공방	NNG	O
’	’	SS	O
이	이	JKS	O
_	_	_	O
되풀이되	되풀이되	VV	O
면서	면서	EC	O
_	_	_	O
정부	정부	NNG	O
의	의	JKG	O
_	_	_	O
신뢰	신뢰	NNG	O
가	가	JKS	O
_	_	_	O
떨어지	떨어지	VV	O
는	는	ETM	O
_	_	_	O
상황	상황	NNG	O
을	을	JKO	O
_	_	_	O
방치할	방치하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
_	_	_	O
아니	아니	VCN	O
냐	냐	EF	O
