## 1
## 이번 강의는 서울을 시작으로 인천, 수원, 부산, 대전, 광주 등 전국 주요 도시 투어 형식으로 진행할 예정이다.
## 이번 강의는 <서울:LOC>을 시작으로 <인천:LOC>, <수원:LOC>, <부산:LOC>, <대전:LOC>, <광주:LOC> 등 전국 주요 도시 투어 형식으로 진행할 예정이다.
이번	이번	NNG	O
_	_	_	O
강의	강의	NNG	O
는	는	JX	O
_	_	_	O
서울	서울	NNP	B-LOC
을	을	JKO	O
_	_	_	O
시작	시작	NNG	O
으로	으로	JKB	O
_	_	_	O
인천	인천	NNP	B-LOC
,	,	SP	O
_	_	_	O
수원	수원	NNP	B-LOC
,	,	SP	O
_	_	_	O
부산	부산	NNP	B-LOC
,	,	SP	O
_	_	_	O
대전	대전	NNP	B-LOC
,	,	SP	O
_	_	_	O
광주	광주	NNP	B-LOC
_	_	_	O
등	등	NNB	O
_	_	_	O
전국	전국	NNG	O
_	_	_	O
주요	주요	NNG	O
_	_	_	O
도시	도시	NNG	O
_	_	_	O
투어	투어	NNG	O
_	_	_	O
형식	형식	NNG	O
으로	으로	JKB	O
_	_	_	O
진행할	진행하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 참석자 전원에게 전국15일 경매정보이용권과 추천도서 1권이 제공된다.
## 참석자 전원에게 전국<15일:DAT> 경매정보이용권과 추천도서 <1권:NOH>이 제공된다.
참석자	참석자	NNG	O
_	_	_	O
전원	전원	NNG	O
에게	에게	JKB	O
_	_	_	O
전국	전국	NNG	O
15	15	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
경매	경매	NNG	O
정보	정보	NNG	O
이용	이용	NNG	O
권	권	XSN	O
과	과	JC	O
_	_	_	O
추천	추천	NNG	O
도서	도서	NNG	O
_	_	_	O
1	1	SN	B-NOH
권	권	NNB	I-NOH
이	이	JKS	O
_	_	_	O
제공된다	제공되+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 보고서는 2030년이면 이곳의 60세 이상 인구가 전체 선진국 도시 지출의 51%, 전 세계 도시 지출의 19%를 차지할 것으로 예측했다.
## 보고서는 <2030년:DAT>이면 이곳의 <60세:NOH> 이상 인구가 전체 선진국 도시 지출의 <51%:PNT>, 전 세계 도시 지출의 <19%:PNT>를 차지할 것으로 예측했다.
보고서	보고서	NNG	O
는	는	JX	O
_	_	_	O
2030	2030	SN	B-DAT
년	년	NNB	I-DAT
이	이	VCP	O
면	면	EC	O
_	_	_	O
이곳	이곳	NP	O
의	의	JKG	O
_	_	_	O
60	60	SN	B-NOH
세	세	NNB	I-NOH
_	_	_	O
이상	이상	NNG	O
_	_	_	O
인구	인구	NNG	O
가	가	JKS	O
_	_	_	O
전체	전체	NNG	O
_	_	_	O
선진국	선진국	NNG	O
_	_	_	O
도시	도시	NNG	O
_	_	_	O
지출	지출	NNG	O
의	의	JKG	O
_	_	_	O
51	51	SN	B-PNT
%	%	SW	I-PNT
,	,	SP	O
_	_	_	O
전	전	MM	O
_	_	_	O
세계	세계	NNG	O
_	_	_	O
도시	도시	NNG	O
_	_	_	O
지출	지출	NNG	O
의	의	JKG	O
_	_	_	O
19	19	SN	B-PNT
%	%	SW	I-PNT
를	를	JKO	O
_	_	_	O
차지할	차지하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
예측	예측하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 홍준표 ‘서문시장’ 발언에 박사모 발끈 “막말 말고 김진태에 양보하라”
## <홍준표:PER> ‘<서문시장:LOC>’ 발언에 <박사모:ORG> 발끈 “막말 말고 <김진태:PER>에 양보하라”
홍준표	홍준표	NNP	B-PER
_	_	_	O
‘	‘	SS	O
서문시장	서문시장	NNP	B-LOC
’	’	SS	O
_	_	_	O
발언	발언	NNG	O
에	에	JKB	O
_	_	_	O
박사모	박사모	NNP	B-ORG
_	_	_	O
