## 1
## 파예즈 사라즈 리비아 총리는 “군이 시르테에 들어섰다.
## <파예즈 사라즈:PER> <리비아:ORG> 총리는 “군이 <시르테:LOC>에 들어섰다.
파예즈	파예즈	NNP	B-PER
_	_	_	I-PER
사	사	NNG	I-PER
라즈	라즈	NNP	I-PER
_	_	_	O
리비아	리비아	NNP	B-ORG
_	_	_	O
총리	총리	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
군	군	NNG	O
이	이	JKS	O
_	_	_	O
시르테	시르테	NNP	B-LOC
에	에	JKB	O
_	_	_	O
들어섰	들어서+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 경기 종료 1분40초를 남기고 벤치로 들어가 휴식을 취한 그는 오리온이 100-85로 승리를 확정지은 뒤 코트로 나가다
## 경기 종료 <1분40초:NOH>를 남기고 벤치로 들어가 휴식을 취한 그는 <오리온:ORG>이 <100-85:NOH>로 승리를 확정지은 뒤 코트로 나가다
경기	경기	NNG	O
_	_	_	O
종료	종료	NNG	O
_	_	_	O
1	1	SN	B-NOH
분	분	NNB	I-NOH
40	40	SN	I-NOH
초	초	NNB	I-NOH
를	를	JKO	O
_	_	_	O
남기	남기	VV	O
고	고	EC	O
_	_	_	O
벤치	벤치	NNG	O
로	로	JKB	O
_	_	_	O
들어가	들어가+아	VV+EC	O
_	_	_	O
휴식	휴식	NNG	O
을	을	JKO	O
_	_	_	O
취한	취하+ㄴ	VV+ETM	O
_	_	_	O
그	그	NP	O
는	는	JX	O
_	_	_	O
오리온	오리온	NNP	B-ORG
이	이	JKC	O
_	_	_	O
100	100	SN	B-NOH
-	-	SO	I-NOH
85	85	SN	I-NOH
로	로	JKB	O
_	_	_	O
승리	승리	NNG	O
를	를	JKO	O
_	_	_	O
확정	확정	NNG	O
지	짓	VV	O
은	은	ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
코트	코트	NNG	O
로	로	JKB	O
_	_	_	O
나가	나가	VV	O
다	다	EF	O

## 3
## [사진] 이연희, 주변 환하게 하는 미소 눈길
## [사진] <이연희:PER>, 주변 환하게 하는 미소 눈길
[	[	SS	O
사진	사진	NNG	O
]	]	SS	O
_	_	_	O
이연희	이연희	NNP	B-PER
,	,	SP	O
_	_	_	O
주변	주변	NNG	O
_	_	_	O
환하	환하	VA	O
게	게	EC	O
_	_	_	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
미소	미소	NNG	O
_	_	_	O
눈길	눈길	NNG	O

## 4
## ‘61년 늦은 입학’61년 늦은 입학을 하게 된 할머니의 사연이 네티즌들에게 잔잔한 울림을 주고 있다.
## ‘<61년:NOH> 늦은 입학’<61년:NOH> 늦은 입학을 하게 된 할머니의 사연이 네티즌들에게 잔잔한 울림을 주고 있다.
‘	‘	SS	O
61	61	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
늦	늦	VA	O
은	은	ETM	O
_	_	_	O
입학	입학	NNG	O
’	’	SS	O
61	61	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
늦	늦	VA	O
은	은	ETM	O
_	_	_	O
입학	입학	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
게	게	EC	O
_	_	_	O
된	되+ㄴ	VV+ETM	O
_	_	_	O
할머니	할머니	NNG	O
의	의	JKG	O
_	_	_	O
사연	사연	NNG	O
이	이	JKS	O
_	_	_	O
네티즌	네티즌	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
잔잔한	잔잔하+ㄴ	VA+ETM	O
_	_	_	O
울림	울림	NNG	O
을	을	JKO	O
_	_	_	O
주	주	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 5
## 이들은 차량폭탄을 이용해 정문을 부수고 호텔에 진입한 뒤 로비에서 총격전을 벌여 경비원을 최소 3명 사살했으며 여러 명을 인질로 잡았다고 현지 보안 소식통은 전했다.
## 이들은 차량폭탄을 이용해 정문을 부수고 호텔에 진입한 뒤 로비에서 총격전을 벌여 경비원을 최소 <3명:NOH> 사살했으며 여러 명을 인질로 잡았다고 현지 보안 소식통은 전했다.
이	이	NP	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
차량	차량	NNG	O
폭탄	폭탄	NNG	O
을	을	JKO	O
_	_	_	O
이용해	이용하+여	VV+EC	O
_	_	_	O
정문	정문	NNG	O
을	을	JKO	O
_	_	_	O
부수	부수	VV	O
고	고	EC	O
_	_	_	O
호텔	호텔	NNG	O
에	에	JKB	O
_	_	_	O
진입한	진입하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
로비	로비	NNG	O
에서	에서	JKB	O
_	_	_	O
총격전	총격전	NNG	O
을	을	JKO	O
_	_	_	O
벌	벌이	VV	O
여	어	EC	O
_	_	_	O
경비원	경비원	NNG	O
을	을	JKO	O
_	_	_	O
최소	최소	NNG	O
_	_	_	O
3	3	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
사살	사살하	VV	O
했	였	EP	O
으며	으며	EC	O
_	_	_	O
여러	여러	MM	O
_	_	_	O
명	명	NNB	O
을	을	JKO	O
_	_	_	O
인질	인질	NNG	O
로	로	JKB	O
_	_	_	O
잡	잡	VV	O
았	았	EP	O
다고	다고	EC	O
_	_	_	O
현지	현지	NNG	O
_	_	_	O
보안	보안	NNG	O
_	_	_	O
소식통	소식통	NNG	O
은	은	JX	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

