## 1
## 검찰은 러시아 캄차카 석유탐사 정부융자금 횡령 의혹과 관련해 3월 18일 경남기업과 한국석유공사를 압수수색하고 해외개발사업 과정에서 비자금 조성 여부를 확인 중이지만, MB정권 실세와의 연관성을 밝힐 물증은 찾지 못한 상태다.
## 검찰은 <러시아:LOC> <캄차카:LOC> 석유탐사 정부융자금 횡령 의혹과 관련해 <3월 18일:DAT> <경남기업:ORG>과 <한국석유공사:ORG>를 압수수색하고 해외개발사업 과정에서 비자금 조성 여부를 확인 중이지만, <MB:PER>정권 실세와의 연관성을 밝힐 물증은 찾지 못한 상태다.
검찰	검찰	NNG	O
은	은	JX	O
_	_	_	O
러시아	러시아	NNP	B-LOC
_	_	_	O
캄차카	캄차카	NNP	B-LOC
_	_	_	O
석유	석유	NNG	O
탐사	탐사	NNG	O
_	_	_	O
정부	정부	NNG	O
융자금	융자금	NNG	O
_	_	_	O
횡령	횡령	NNG	O
_	_	_	O
의혹	의혹	NNG	O
과	과	JKB	O
_	_	_	O
관련해	관련하+여	VV+EC	O
_	_	_	O
3	3	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
18	18	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
경남기업	경남기업	NNP	B-ORG
과	과	JC	O
_	_	_	O
한국	한국	NNP	B-ORG
석유	석유	NNG	I-ORG
공사	공사	NNG	I-ORG
를	를	JKO	O
_	_	_	O
압수	압수	NNG	O
수색하	수색하	VV	O
고	고	EC	O
_	_	_	O
해외	해외	NNG	O
개발	개발	NNG	O
사업	사업	NNG	O
_	_	_	O
과정	과정	NNG	O
에서	에서	JKB	O
_	_	_	O
비자금	비자금	NNG	O
_	_	_	O
조성	조성	NNG	O
_	_	_	O
여부	여부	NNG	O
를	를	JKO	O
_	_	_	O
확인	확인	NNG	O
_	_	_	O
중	중	NNB	O
이	이	VCP	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
MB	MB	SL	B-PER
정권	정권	NNG	O
_	_	_	O
실세	실세	NNG	O
와	와	JKB	O
의	의	JKG	O
_	_	_	O
연관성	연관성	NNG	O
을	을	JKO	O
_	_	_	O
밝힐	밝히+ㄹ	VV+ETM	O
_	_	_	O
물증	물증	NNG	O
은	은	JX	O
_	_	_	O
찾	찾	VV	O
지	지	EC	O
_	_	_	O
못한	못하+ㄴ	VX+ETM	O
_	_	_	O
상태	상태+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 배우자의 부모 경제력은 결혼생활의 행복지수와 상과없다는 ‘살기 나름’파는 남자의 30.6%, 여성의 25.1%를 각각 차지했다.
## 배우자의 부모 경제력은 결혼생활의 행복지수와 상과없다는 ‘살기 나름’파는 남자의 <30.6%:PNT>, 여성의 <25.1%:PNT>를 각각 차지했다.
배우자	배우자	NNG	O
의	의	JKG	O
_	_	_	O
부모	부모	NNG	O
_	_	_	O
