## 1
## 상·하반기 두 차례 부과하는 자동차세를 모두 내면 2000cc급 신규 승용차의 경우 약 5만원 정도 자동차세를 절감할 수 있다.
## 상·하반기 <두 차례:NOH> 부과하는 자동차세를 모두 내면 <2000cc:NOH>급 신규 승용차의 경우 약 <5만원:MNY> 정도 자동차세를 절감할 수 있다.
상	상	NNG	O
·	·	SP	O
하반기	하반기	NNG	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
차례	차례	NNG	I-NOH
_	_	_	O
부과하	부과하	VV	O
는	는	ETM	O
_	_	_	O
자동차세	자동차세	NNG	O
를	를	JKO	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
내	내	VV	O
면	면	EC	O
_	_	_	O
2000	2000	SN	B-NOH
cc	cc	SL	I-NOH
급	급	NNG	O
_	_	_	O
신규	신규	NNG	O
_	_	_	O
승용차	승용차	NNG	O
의	의	JKG	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
약	약	MM	O
_	_	_	O
5	5	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
_	_	_	O
정도	정도	NNG	O
_	_	_	O
자동차세	자동차세	NNG	O
를	를	JKO	O
_	_	_	O
절감할	절감하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 2
## 2014년 베트남 유통기업 바오람(BAORAM)과 계약을 맺고 베트남 호찌민에 흑삼 브랜드 ‘금흑’을 냈다.
## <2014년:DAT> <베트남:ORG> 유통기업 <바오람:ORG>(<BAORAM:ORG>)과 계약을 맺고 <베트남:LOC> <호찌민:LOC>에 흑삼 브랜드 ‘<금흑:POH>’을 냈다.
2014	2014	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
베트남	베트남	NNP	B-ORG
_	_	_	O
유통	유통	NNG	O
기업	기업	NNG	O
_	_	_	O
바오	바오+이	NNP+VCP	B-ORG
람	람	EF	I-ORG
(	(	SS	O
BAORAM	BAORAM	SL	B-ORG
)	)	SS	O
과	과	JKB	O
_	_	_	O
계약	계약	NNG	O
을	을	JKO	O
_	_	_	O
맺	맺	VV	O
고	고	EC	O
_	_	_	O
베트남	베트남	NNP	B-LOC
_	_	_	O
호찌민	호찌민	NNP	B-LOC
에	에	JKB	O
_	_	_	O
흑삼	흑삼	NNG	O
_	_	_	O
브랜드	브랜드	NNG	O
_	_	_	O
‘	‘	SS	O
금	금	NNG	B-POH
흑	흑	NNG	I-POH
’	’	SS	O
을	을	JKO	O
_	_	_	O
냈	내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 한 주민은 지지통신에 “폭발음이 10차례 이상 들렸다”고 말했다.
## 한 주민은 지지통신에 “폭발음이 <10차례:NOH> 이상 들렸다”고 말했다.
한	한	MM	O
_	_	_	O
주민	주민	NNG	O
은	은	JX	O
_	_	_	O
지지통신	지지통신	NNP	O
에	에	JKB	O
_	_	_	O
“	“	SS	O
폭발음	폭발음	NNG	O
이	이	JKS	O
_	_	_	O
10	10	SN	B-NOH
차례	차례	NNG	I-NOH
_	_	_	O
이상	이상	NNG	O
_	_	_	O
들	들리	VV	O
렸	었	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 미 국방부의 빌 어번 대변인은 성명을 통해 “이날 자정 직후 사가미하라 미군기지의 사가미 보급창 건물에서 폭발이 일어났다”면서 “아직 부상자는 보고되지 않았다”고 밝혔다.
## <미 국방부:ORG>의 <빌 어번:PER> 대변인은 성명을 통해 “이날 자정 직후 <사가미하라:LOC> 미군기지의 사가미 보급창 건물에서 폭발이 일어났다”면서 “아직 부상자는 보고되지 않았다”고 밝혔다.
미	미	NNP	B-ORG
_	_	_	I-ORG
국방부	국방부	NNG	I-ORG
의	의	JKG	O
_	_	_	O
빌	빌	NNP	B-PER
_	_	_	I-PER
어번	어번	NNP	I-PER
_	_	_	O
대변인	대변인	NNG	O
은	은	JX	O
_	_	_	O
성명	성명	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
“	“	SS	O
이날	이날	NNG	O
_	_	_	O
자정	자정	NNG	O
_	_	_	O
직후	직후	NNG	O
_	_	_	O
사가	사가	NNG	B-LOC
미하라	미하라	NNP	I-LOC
_	_	_	O
미군	미군	NNG	O
기지	기지	NNG	O
의	의	JKG	O
_	_	_	O
사가미	사가미	NNP	O
_	_	_	O
보급창	보급창	NNG	O
_	_	_	O
건물	건물	NNG	O
에서	에서	JKB	O
_	_	_	O
폭발	폭발	NNG	O
이	이	JKS	O
_	_	_	O
일어났	일어나+았	VV+EP	O
다	다	EF	O
”	”	SS	O
면서	면서	EC	O
_	_	_	O
“	“	SS	O
아직	아직	MAG	O
_	_	_	O
부상자	부상자	NNG	O
는	는	JX	O
_	_	_	O
보고되	보고되	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
