## 1
## 여기서 우투수는 우타자를 상대로 0.279, 좌타자를 상대로 0.286의 피안타율을 기록했다.
## 여기서 우투수는 우타자를 상대로 <0.279:PNT>, 좌타자를 상대로 <0.286:PNT>의 피안타율을 기록했다.
여기	여기	NP	O
서	서	JKB	O
_	_	_	O
우	우	NNG	O
투수	투수	NNG	O
는	는	JX	O
_	_	_	O
우	우	NNG	O
타자	타자	NNG	O
를	를	JKO	O
_	_	_	O
상대	상대	NNG	O
로	로	JKB	O
_	_	_	O
0.279	0.279	SN	B-PNT
,	,	SP	O
_	_	_	O
좌	좌	NNG	O
타자	타자	NNG	O
를	를	JKO	O
_	_	_	O
상대	상대	NNG	O
로	로	JKB	O
_	_	_	O
0.286	0.286	SN	B-PNT
의	의	JKG	O
_	_	_	O
피	피	XPN	O
안타	안타	NNG	O
율	율	XSN	O
을	을	JKO	O
_	_	_	O
기록	기록하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 위쪽 절반은 빨갛게, 나머지 반은 하얗게 칠해진 단단한 공. 미국과 유럽, 일본 등 전 세계 수천만 명이 스마트폰 안에서 던지고 있는 ‘몬스터 볼’이다.
## 위쪽 절반은 빨갛게, 나머지 반은 하얗게 칠해진 단단한 공. <미국:LOC>과 <유럽:LOC>, <일본:LOC> 등 전 세계 <수천만 명:NOH>이 스마트폰 안에서 던지고 있는 ‘몬스터 볼’이다.
위쪽	위쪽	NNG	O
_	_	_	O
절반	절반	NNG	O
은	은	JX	O
_	_	_	O
빨갛	빨갛	VA	O
게	게	EC	O
,	,	SP	O
_	_	_	O
나머지	나머지	NNG	O
_	_	_	O
반	반	NNG	O
은	은	JX	O
_	_	_	O
하얗	하얗	VA	O
게	게	EC	O
_	_	_	O
칠해	칠하+여	VV+EC	O
진	지+ㄴ	VX+ETM	O
_	_	_	O
단단한	단단하+ㄴ	VA+ETM	O
_	_	_	O
공	공	NNG	O
.	.	SF	O
_	_	_	O
미국	미국	NNP	B-LOC
과	과	JC	O
_	_	_	O
유럽	유럽	NNP	B-LOC
,	,	SP	O
_	_	_	O
일본	일본	NNP	B-LOC
_	_	_	O
등	등	NNB	O
_	_	_	O
전	전	MM	O
_	_	_	O
세계	세계	NNG	O
_	_	_	O
수천만	수천만	NR	B-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
스마트	스마트	NNG	O
폰	폰	NNG	O
_	_	_	O
안	안	NNG	O
에서	에서	JKB	O
_	_	_	O
던지	던지	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
몬스터	몬스터	NNG	O
_	_	_	O
볼	보+ㄹ	VV+ETM	O
’	’	SS	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
