## 1
## 남경필 경기도지사가 6일 오전 바른정당 대선 경선후보로 정식 등록하고 본격적인 경선 레이스를 시작했다.
## <남경필:PER> <경기도:ORG>지사가 <6일:DAT> 오전 <바른정당:ORG> 대선 경선후보로 정식 등록하고 본격적인 경선 레이스를 시작했다.
남경필	남경필	NNP	B-PER
_	_	_	O
경기도	경기도	NNP	B-ORG
지사	지사	NNG	O
가	가	JKS	O
_	_	_	O
6	6	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오전	오전	NNG	O
_	_	_	O
바른	바른	MM	B-ORG
정당	정당	NNG	I-ORG
_	_	_	O
대선	대선	NNG	O
_	_	_	O
경선	경선	NNG	O
후보	후보	NNG	O
로	로	JKB	O
_	_	_	O
정식	정식	NNG	O
_	_	_	O
등록하	등록하	VV	O
고	고	EC	O
_	_	_	O
본격적	본격적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
경선	경선	NNG	O
_	_	_	O
레이스	레이스	NNG	O
를	를	JKO	O
_	_	_	O
시작	시작하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 지금은 2가지의 체인지업을 던질 수 있다”고 했다.
## 지금은 <2가지:NOH>의 체인지업을 던질 수 있다”고 했다.
지금	지금	NNG	O
은	은	JX	O
_	_	_	O
2	2	SN	B-NOH
가지	가지	NNB	I-NOH
의	의	JKG	O
_	_	_	O
체인지업	체인지업	NNG	O
을	을	JKO	O
_	_	_	O
던질	던지+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 또 하나의 이유는 폼 교정이다.
## 또 <하나:NOH>의 이유는 폼 교정이다.
또	또	MAG	O
_	_	_	O
하나	하나	NNG	B-NOH
의	의	JKG	O
_	_	_	O
이유	이유	NNG	O
는	는	JX	O
_	_	_	O
폼	폼	NNG	O
_	_	_	O
교정	교정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 그렇다면 대통령의 말 한마디 한마디가 시스템적 여과과정을 거침이 없이 그대로 외부 세계에 직접 드러나게 될 개연성은 더 클 것이다.
## 그렇다면 대통령의 말 <한마디:NOH> <한마디:NOH>가 시스템적 여과과정을 거침이 없이 그대로 외부 세계에 직접 드러나게 될 개연성은 더 클 것이다.
그렇	그렇	VA	O
다면	다면	EC	O
_	_	_	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
말	말	NNG	O
_	_	_	O
한마디	한마디	NNG	B-NOH
_	_	_	O
한마디	한마디	NNG	B-NOH
가	가	JKS	O
_	_	_	O
시스템	시스템	NNG	O
적	적	XSN	O
_	_	_	O
여과	여과	NNG	O
과정	과정	NNG	O
을	을	JKO	O
_	_	_	O
거침	거치+ㅁ	VV+ETN	O
이	이	JKS	O
_	_	_	O
없이	없이	MAG	O
_	_	_	O
그대로	그대로	MAG	O
_	_	_	O
외부	외부	NNG	O
_	_	_	O
세계	세계	NNG	O
에	에	JKB	O
_	_	_	O
직접	직접	MAG	O
_	_	_	O
드러나	드러나	VV	O
게	게	EC	O
_	_	_	O
될	되+ㄹ	VV+ETM	O
_	_	_	O
개연성	개연성	NNG	O
은	은	JX	O
_	_	_	O
더	더	MAG	O
_	_	_	O
클	크+ㄹ	VA+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O
