## 1
## 도시바 이왕성 과장은 “칸비오 에어로모바일은 스마트폰, 태블릿 등 모바일 디바이스의 저장 공간 한계를 극복하기 위해 고안됐다”면서 “각각의 디바이스에 저장된 콘텐츠를 하나의 드라이브에 저장해 언제 어디서든 최대 8명까지 동시에 콘텐츠를 즐길 수 있는 휴대용 클라우드 제품”이라고 설명했다.
## <도시바:ORG> <이왕성:PER> 과장은 “<칸비오 에어로모바일:POH>은 스마트폰, 태블릿 등 모바일 디바이스의 저장 공간 한계를 극복하기 위해 고안됐다”면서 “각각의 디바이스에 저장된 콘텐츠를 하나의 드라이브에 저장해 언제 어디서든 최대 <8명:NOH>까지 동시에 콘텐츠를 즐길 수 있는 휴대용 클라우드 제품”이라고 설명했다.
도시바	도시바	NNP	B-ORG
_	_	_	O
이왕성	이왕성	NNP	B-PER
_	_	_	O
과장	과장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
칸비	칸비	NNP	B-POH
오	오	NNP	I-POH
_	_	_	I-POH
에어로	에어로	NNP	I-POH
모바일	모바일	NNG	I-POH
은	은	JX	O
_	_	_	O
스마트	스마트	NNG	O
폰	폰	NNG	O
,	,	SP	O
_	_	_	O
태블릿	태블릿	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
모바일	모바일	NNG	O
_	_	_	O
디바이스	디바이스	NNG	O
의	의	JKG	O
_	_	_	O
저장	저장	NNG	O
_	_	_	O
공간	공간	NNG	O
_	_	_	O
한계	한계	NNG	O
를	를	JKO	O
_	_	_	O
극복하	극복하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
고안	고안되	VV	O
됐	었	EP	O
다	다	EF	O
”	”	SS	O
면서	면서	EC	O
_	_	_	O
“	“	SS	O
각각	각각	NNG	O
의	의	JKG	O
_	_	_	O
디바이스	디바이스	NNG	O
에	에	JKB	O
_	_	_	O
저장된	저장되+ㄴ	VV+ETM	O
_	_	_	O
콘텐츠	콘텐츠	NNG	O
를	를	JKO	O
_	_	_	O
하나	하나	NNG	O
의	의	JKG	O
_	_	_	O
드라이브	드라이브	NNG	O
에	에	JKB	O
_	_	_	O
저장해	저장하+여	VV+EC	O
_	_	_	O
언제	언제	MAG	O
_	_	_	O
어디	어디	NP	O
서	서	JKB	O
든	든	JX	O
_	_	_	O
최대	최대	NNG	O
_	_	_	O
8	8	SN	B-NOH
명	명	NNB	I-NOH
까지	까지	JX	O
_	_	_	O
동시	동시	NNG	O
에	에	JKB	O
_	_	_	O
콘텐츠	콘텐츠	NNG	O
를	를	JKO	O
_	_	_	O
즐길	즐기+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
휴대용	휴대용	NNG	O
_	_	_	O
클라우드	클라우드	NNG	O
_	_	_	O
제품	제품	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이밖에도 칸비오 에어로모바일은 인터넷 패스스루 모드를 지원해 무선통신 중에도 인터넷 검색, 이메일 등을 동시에 사용할 수 있다.
## 이밖에도 <칸비오 에어로모바일:POH>은 인터넷 패스스루 모드를 지원해 무선통신 중에도 인터넷 검색, 이메일 등을 동시에 사용할 수 있다.
이	이	MM	O
밖	밖	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
칸비	칸비	NNP	B-POH
오	오	NNP	I-POH
_	_	_	I-POH
에어로	에어로	NNP	I-POH
모바일	모바일	NNG	I-POH
은	은	JX	O
_	_	_	O
인터넷	인터넷	NNG	O
_	_	_	O
패스	패스	NNG	O
스루	스루	NNG	O
_	_	_	O
모드	모드	NNG	O
를	를	JKO	O
_	_	_	O
지원해	지원하+여	VV+EC	O
_	_	_	O
무선	무선	NNG	O
통신	통신	NNG	O
_	_	_	O
중	중	NNB	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
인터넷	인터넷	NNG	O
_	_	_	O
검색	검색	NNG	O
,	,	SP	O
_	_	_	O
이메일	이메일	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
동시	동시	NNG	O
에	에	JKB	O
_	_	_	O
사용할	사용하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 한국은 OECD의 권고와 관련해 추경을 대규모로 편성하고 내년도 일자리 예산을 늘리는 등 재정 부문 권고는 상당 부분 받아들였다.
## <한국:ORG>은 <OECD:ORG>의 권고와 관련해 추경을 대규모로 편성하고 내년도 일자리 예산을 늘리는 등 재정 부문 권고는 상당 부분 받아들였다.
한국	한국	NNP	B-ORG
은	은	JX	O
_	_	_	O
OECD	OECD	SL	B-ORG
의	의	JKG	O
_	_	_	O
권고	권고	NNG	O
와	와	JKB	O
_	_	_	O
관련해	관련하+여	VV+EC	O
_	_	_	O
추경	추경	NNG	O
을	을	JKO	O
_	_	_	O
대규모	대규모	NNG	O
로	로	JKB	O
_	_	_	O
편성하	편성하	VV	O
고	고	EC	O
_	_	_	O
내년	내년	NNG	O
도	도	JX	O
_	_	_	O
일자리	일자리	NNG	O
_	_	_	O
예산	예산	NNG	O
을	을	JKO	O
_	_	_	O
늘리	늘리	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
재정	재정	NNG	O
_	_	_	O
부문	부문	NNG	O
_	_	_	O
권고	권고	NNG	O
는	는	JX	O
_	_	_	O
상당	상당	NNG	O
_	_	_	O
부분	부분	NNG	O
_	_	_	O
받아들	받아들이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 임종룡 금융위원장(사진)이 금융개혁과 관련해 “아프리카의 들소처럼 앞으로 나가야 한다”고 강조했다.
## <임종룡:PER> 금융위원장(사진)이 금융개혁과 관련해 “<아프리카:LOC>의 들소처럼 앞으로 나가야 한다”고 강조했다.
임종룡	임종룡	NNP	B-PER
_	_	_	O
금융	금융	NNG	O
위원장	위원장	NNG	O
(	(	SS	O
사진	사진	NNG	O
)	)	SS	O
이	이	JKS	O
_	_	_	O
금융	금융	NNG	O
개혁	개혁	NNG	O
과	과	JC	O
_	_	_	O
관련해	관련하+여	VV+EC	O
_	_	_	O
“	“	SS	O
아프리카	아프리카	NNP	B-LOC
의	의	JKG	O
_	_	_	O
들소	들소	NNG	O
처럼	처럼	JKB	O
_	_	_	O
앞	앞	NNG	O
으로	으로	JKB	O
_	_	_	O
나가야	나가+아야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
강조	강조하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 하지만 “평상시 300만 마리가 넘는 소 전체를 정기적으로 검사하는 전수조사는 어렵다”고 말했다.
## 하지만 “평상시 <300만 마리:NOH>가 넘는 소 전체를 정기적으로 검사하는 전수조사는 어렵다”고 말했다.
하지만	하지만	MAJ	O
_	_	_	O
“	“	SS	O
평상시	평상시	NNG	O
_	_	_	O
300	300	SN	B-NOH
만	만	NR	I-NOH
_	_	_	I-NOH
마리	마리	NNB	I-NOH
가	가	JKS	O
_	_	_	O
넘	넘	VV	O
는	는	ETM	O
_	_	_	O
소	소	NNG	O
_	_	_	O
전체	전체	NNG	O
를	를	JKO	O
_	_	_	O
정기적	정기적	NNG	O
으로	으로	JKB	O
_	_	_	O
검사하	검사하	VV	O
는	는	ETM	O
_	_	_	O
전수	전수	NNG	O
조사	조사	NNG	O
는	는	JX	O
_	_	_	O
어렵	어렵	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 경기도수의사회 이성식 회장은 “개인 이익을 우선하는 일부 축산 농가의 도덕적 해이를 차단하고 전염병 발생·확산에 책임이 있는 농가에는 보상금 지급에서 불이익을 줘야 한다”고 말했다.
## 경기도수의사회 <이성식:PER> 회장은 “개인 이익을 우선하는 일부 축산 농가의 도덕적 해이를 차단하고 전염병 발생·확산에 책임이 있는 농가에는 보상금 지급에서 불이익을 줘야 한다”고 말했다.
경기도	경기도	NNP	O
수의	수의	NNG	O
사회	사회	NNG	O
_	_	_	O
이성식	이성식	NNP	B-PER
_	_	_	O
회장	회장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
개인	개인	NNG	O
_	_	_	O
이익	이익	NNG	O
