## 1
## 국정원 직원 차량 번호판 색깔이 다르다?
## <국정원:ORG> 직원 차량 번호판 색깔이 다르다?
국정원	국정원	NNG	B-ORG
_	_	_	O
직원	직원	NNG	O
_	_	_	O
차량	차량	NNG	O
_	_	_	O
번호	번호	NNG	O
판	판	NNG	O
_	_	_	O
색깔	색깔	NNG	O
이	이	JKS	O
_	_	_	O
다르	다르	VA	O
다	다	EF	O
?	?	SF	O

## 2
## 이날 MC 김구라는 이동휘에 대해 “유머러스하다고 해서 방송계에서 기대하고 있다.
## 이날 MC <김구라:PER>는 <이동휘:PER>에 대해 “유머러스하다고 해서 방송계에서 기대하고 있다.
이날	이날	NNG	O
_	_	_	O
MC	MC	SL	O
_	_	_	O
김구	김구+이	NNP+VCP	B-PER
라는	라는	ETM	O
_	_	_	O
이동휘	이동휘	NNP	B-PER
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
“	“	SS	O
유머러스하	유머러스하	VA	O
다고	다고	EC	O
_	_	_	O
해서	하+여서	VV+EC	O
_	_	_	O
방송	방송	NNG	O
계	계	XSN	O
에서	에서	JKB	O
_	_	_	O
기대하	기대하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 그는 “일본이 군국주의 침략의 죄행을 감추고 역사의 진상을 왜곡하는 것을 받아들일 수 없다”며 “역사를 깊이 새기는 것은 미래를 열어나가기 위한 것이며 전쟁을 잊지 않는 것은 평화를 수호하기 위한 것”이라고 강조했다.
## 그는 “<일본:ORG>이 군국주의 침략의 죄행을 감추고 역사의 진상을 왜곡하는 것을 받아들일 수 없다”며 “역사를 깊이 새기는 것은 미래를 열어나가기 위한 것이며 전쟁을 잊지 않는 것은 평화를 수호하기 위한 것”이라고 강조했다.
그	그	NP	O
는	는	JX	O
_	_	_	O
“	“	SS	O
일본	일본	NNP	B-ORG
이	이	JKS	O
_	_	_	O
군국주의	군국주의	NNG	O
_	_	_	O
침략	침략	NNG	O
의	의	JKG	O
_	_	_	O
죄행	죄행	NNG	O
을	을	JKO	O
_	_	_	O
감추	감추	VV	O
고	고	EC	O
_	_	_	O
역사	역사	NNG	O
의	의	JKG	O
_	_	_	O
진상	진상	NNG	O
을	을	JKO	O
_	_	_	O
왜곡하	왜곡하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
받아들일	받아들이+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
역사	역사	NNG	O
를	를	JKO	O
_	_	_	O
깊이	깊이	MAG	O
_	_	_	O
새기	새기	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
미래	미래	NNG	O
를	를	JKO	O
_	_	_	O
열	열	VV	O
어	어	EC	O
나가	나가	VX	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
며	며	EC	O
_	_	_	O
전쟁	전쟁	NNG	O
을	을	JKO	O
_	_	_	O
잊	잊	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
평화	평화	NNG	O
를	를	JKO	O
_	_	_	O
수호하	수호하	VV	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
강조	강조하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 최순실(61)씨가 자기 일가의 주치의 역할을 했던 이임순(54) 순천향대 교수를 통해 전방위적인 인사 추천을 받았던 것으로 드러났다.
## <최순실:PER>(<61:NOH>)씨가 자기 일가의 주치의 역할을 했던 <이임순:PER>(<54:NOH>) <순천향대:ORG> 교수를 통해 전방위적인 인사 추천을 받았던 것으로 드러났다.
최순실	최순실	NNP	B-PER
(	(	SS	O
61	61	SN	B-NOH
)	)	SS	O
씨	씨	NNB	O
가	가	JKS	O
_	_	_	O
자기	자기	NNG	O
_	_	_	O
일가	일가	NNG	O
의	의	JKG	O
_	_	_	O
주치의	주치의	NNG	O
_	_	_	O
역할	역할	NNG	O
을	을	JKO	O
_	_	_	O
했	+였	+EP	O
던	던	ETM	O
_	_	_	O
이임순	이임순	NNP	B-PER
(	(	SS	O
54	54	SN	B-NOH
)	)	SS	O
_	_	_	O
순천향대	순천향대	NNP	B-ORG
_	_	_	O
교수	교수	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
전	전	MM	O
방위	방위	NNG	O
적	적	XSN	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
인사	인사	NNG	O
_	_	_	O
추천	추천	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
았	았	EP	O
던	던	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
드러났	드러나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 5
## 대신증권은 금융주치의가 고객의 투자 성향, 투자 목적, 연령별로 세분해 연금저축계좌 고객들에게 맞춤형 포트폴리오를 제시한다.
## <대신증권:ORG>은 금융주치의가 고객의 투자 성향, 투자 목적, 연령별로 세분해 연금저축계좌 고객들에게 맞춤형 포트폴리오를 제시한다.
대신증권	대신증권	NNP	B-ORG
은	은	JX	O
_	_	_	O
금융	금융	NNG	O
주치의	주치의	NNG	O
가	가	JKS	O
_	_	_	O
고객	고객	NNG	O
의	의	JKG	O
_	_	_	O
투자	투자	NNG	O
_	_	_	O
성향	성향	NNG	O
,	,	SP	O
_	_	_	O
투자	투자	NNG	O
_	_	_	O
목적	목적	NNG	O
,	,	SP	O
_	_	_	O
연령	연령	NNG	O
별	별	XSN	O
로	로	JKB	O
_	_	_	O
세분해	세분하+여	VV+EC	O
_	_	_	O
연금	연금	NNG	O
저축	저축	NNG	O
계좌	계좌	NNG	O
_	_	_	O
고객	고객	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
맞춤	맞춤	NNG	O
형	형	XSN	O
_	_	_	O
포트폴리오	포트폴리오	NNG	O
를	를	JKO	O
_	_	_	O
제시한다	제시하+ㄴ다	VV+EF	O
.	.	SF	O

## 6
## 신임 김인호철도청장의 업무보고도중 철도경영의 획기적 발전 구상을 묻는 질문이 나왔다.
## 신임 <김인호:PER>철도청장의 업무보고도중 철도경영의 획기적 발전 구상을 묻는 질문이 나왔다.
신임	신임	NNG	O
_	_	_	O
김인호	김인호	NNP	B-PER
철도청	철도청	NNG	O
장	장	XSN	O
의	의	JKG	O
_	_	_	O
업무	업무	NNG	O
보고	보고	NNG	O
도중	도중	NNG	O
_	_	_	O
철도	철도	NNG	O
경영	경영	NNG	O
의	의	JKG	O
_	_	_	O
획기적	획기적	NNG	O
_	_	_	O
발전	발전	NNG	O
_	_	_	O
구상	구상	NNG	O
을	을	JKO	O
_	_	_	O
묻	묻	VV	O
는	는	ETM	O
_	_	_	O
질문	질문	NNG	O
이	이	JKS	O
_	_	_	O
나	나오	VV	O
왔	았	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 중개 사업자들이 KT가 운영하는 유클라우드 비즈 사이트의 회원 가입과 세부 서비스 이용 및 제어, 요금 산정 등의 기능을 활용할 수 있도록 플랫폼을 제공하는 서비스 포털 사이트다.
## 중개 사업자들이 <KT:ORG>가 운영하는 <유클라우드 비즈 사이트:POH>의 회원 가입과 세부 서비스 이용 및 제어, 요금 산정 등의 기능을 활용할 수 있도록 플랫폼을 제공하는 서비스 포털 사이트다.
중개	중개	NNG	O
_	_	_	O
사업자	사업자	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
KT	KT	SL	B-ORG
가	가	JKS	O
_	_	_	O
운영하	운영하	VV	O
는	는	ETM	O
_	_	_	O
유	유	NNG	B-POH
클라우드	클라우드	NNG	I-POH
_	_	_	I-POH
비즈	비즈	NNG	I-POH
_	_	_	I-POH
사이트	사이트	NNG	I-POH
의	의	JKG	O
_	_	_	O
회원	회원	NNG	O
_	_	_	O
가입	가입	NNG	O
과	과	JC	O
_	_	_	O
세부	세부	NNG	O
_	_	_	O
서비스	서비스	NNG	O
_	_	_	O
이용	이용	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
제어	제어	NNG	O
,	,	SP	O
_	_	_	O
요금	요금	NNG	O
_	_	_	O
산정	산정	NNG	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
기능	기능	NNG	O
을	을	JKO	O
_	_	_	O
활용할	활용하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
도록	도록	EC	O
_	_	_	O
플랫폼	플랫폼	NNG	O
을	을	JKO	O
_	_	_	O
제공하	제공하	VV	O
는	는	ETM	O
_	_	_	O
서비스	서비스	NNG	O
_	_	_	O
포털	포털	NNG	O
_	_	_	O
사이트	사이트+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 8
## [스포츠동아]
## [<스포츠동아:ORG>]
[	[	SS	O
스포츠	스포츠	NNG	B-ORG
동아	동아	NNP	I-ORG
]	]	SS	O

## 9
## LG디스플레이가 유럽법인을 자동차산업 중심지인 독일 프랑크푸르트로 이전한다.
## <LG디스플레이:ORG>가 <유럽:LOC>법인을 자동차산업 중심지인 <독일:LOC> <프랑크푸르트:LOC>로 이전한다.
LG	LG	SL	B-ORG
디스플레이	디스플레이	NNG	I-ORG
가	가	JKS	O
_	_	_	O
유럽	유럽	NNP	B-LOC
법인	법인	NNG	O
을	을	JKO	O
