## 1
## 방어율 2.78인 고메스는 단 한 차례만 블론세이브를 기록했다.
## 방어율 <2.78:PNT>인 <고메스:PER>는 단 <한 차례:NOH>만 블론세이브를 기록했다.
방어율	방어율	NNG	O
_	_	_	O
2.78	2.78	SN	B-PNT
인	인	NNG	O
_	_	_	O
고메스	고메스	NNP	B-PER
는	는	JX	O
_	_	_	O
단	단	MM	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
차례	차례	NNG	I-NOH
만	만	JX	O
_	_	_	O
블론세이브	블론세이브	NNG	O
를	를	JKO	O
_	_	_	O
기록	기록하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## ‘해피투게더’ 임은경, 최다니엘과 어색한 사이 "누나라고 불렀는데 어색…" 배우 임은경과 최다니엘이 ‘해피투게더’에서 어색한 사이라고 말했다.
## ‘<해피투게더:POH>’ <임은경:PER>, <최다니엘:PER>과 어색한 사이 "누나라고 불렀는데 어색…" 배우 <임은경:PER>과 최다니엘이 ‘<해피투게더:POH>’에서 어색한 사이라고 말했다.
‘	‘	SS	O
해피투게더	해피투게더	NNP	B-POH
’	’	SS	O
_	_	_	O
임은경	임은경	NNP	B-PER
,	,	SP	O
_	_	_	O
최	최	XPN	B-PER
다니엘	다니엘	NNP	I-PER
과	과	JC	O
_	_	_	O
어색한	어색하+ㄴ	VA+ETM	O
_	_	_	O
사이	사이	NNG	O
_	_	_	O
"	"	SS	O
누나	누나+이	NNG+VCP	O
라고	라고	EC	O
_	_	_	O
불	부르	VV	O
렀	었	EP	O
는데	는데	EC	O
_	_	_	O
어색	어색	NNG	O
…	…	SE	O
"	"	SS	O
_	_	_	O
배우	배우	NNG	O
_	_	_	O
임은경	임은경	NNP	B-PER
과	과	JC	O
_	_	_	O
최	최	XPN	O
다니엘	다니엘	NNP	O
이	이	JKS	O
_	_	_	O
‘	‘	SS	O
해피투게더	해피투게더	NNP	B-POH
’	’	SS	O
에서	에서	JKB	O
_	_	_	O
어색한	어색하+ㄴ	VA+ETM	O
_	_	_	O
사	사이	NNG	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 네 개의 회전식 좌석이 탑승자의 편리성을 극대화했으며 여러 개의 스테레오 카메라와 레이더 센서를 탑재했다.
## <네 개:NOH>의 회전식 좌석이 탑승자의 편리성을 극대화했으며 여러 개의 <스테레오 카메라:PER>와 레이더 센서를 탑재했다.
네	네	MM	B-NOH
_	_	_	I-NOH
개	개	NNB	I-NOH
의	의	JKG	O
_	_	_	O
회전식	회전식	NNG	O
_	_	_	O
좌석	좌석	NNG	O
이	이	JKS	O
_	_	_	O
탑승자	탑승자	NNG	O
의	의	JKG	O
_	_	_	O
편리성	편리성	NNG	O
을	을	JKO	O
_	_	_	O
