## 1
## 》 국제해사기구(IMO)는 2004년 해양생태계 보호를 위해 선박평형수관리협약을 채택했다.
## 》 <국제해사기구:ORG>(<IMO:ORG>)는 <2004년:DAT> 해양생태계 보호를 위해 선박평형수관리협약을 채택했다.
》	》	SS	O
_	_	_	O
국제해사기구	국제해사기구	NNP	B-ORG
(	(	SS	O
IMO	IMO	SL	B-ORG
)	)	SS	O
는	는	JX	O
_	_	_	O
2004	2004	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
해양	해양	NNG	O
생태계	생태계	NNG	O
_	_	_	O
보호	보호	NNG	O
를	를	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
선박	선박	NNG	O
평형	평형	NNG	O
수	수	NNG	O
관리	관리	NNG	O
협약	협약	NNG	O
을	을	JKO	O
_	_	_	O
채택	채택하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 또한 개인ㆍ교육 등 '노동공급' 측면에선 학교의 취업지원 강화(24.6%)를 첫 손가락에 꼽았다.
## 또한 개인ㆍ교육 등 '노동공급' 측면에선 학교의 취업지원 강화(<24.6%:PNT>)를 첫 손가락에 꼽았다.
또한	또한	MAG	O
_	_	_	O
개인	개인	NNG	O
ㆍ	ㆍ	SP	O
교육	교육	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
'	'	SS	O
노동	노동	NNG	O
공급	공급	NNG	O
'	'	SS	O
_	_	_	O
측면	측면	NNG	O
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
학교	학교	NNG	O
의	의	JKG	O
_	_	_	O
취업	취업	NNG	O
지원	지원	NNG	O
_	_	_	O
강화	강화	NNG	O
(	(	SS	O
24.6	24.6	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
를	를	JKO	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
손가락	손가락	NNG	O
에	에	JKB	O
_	_	_	O
꼽	꼽	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 게다가 류현진의 체인지업은 공끝이 소위 말하는 지저분한 타입도 아닙니다.
## 게다가 <류현진:PER>의 체인지업은 공끝이 소위 말하는 지저분한 타입도 아닙니다.
게다가	게다가	MAG	O
_	_	_	O
류현진	류현진	NNP	B-PER
의	의	JKG	O
_	_	_	O
체인지업	체인지업	NNG	O
은	은	JX	O
_	_	_	O
공	공	NNG	O
끝	끝	NNG	O
이	이	JKS	O
_	_	_	O
소위	소위	MAG	O
_	_	_	O
말하	말하	VV	O
는	는	ETM	O
_	_	_	O
지저분한	지저분하+ㄴ	VA+ETM	O
_	_	_	O
타입	타입	NNG	O
도	도	JX	O
_	_	_	O
아닙니다	아니+ㅂ니다	VCN+EF	O
.	.	SF	O

## 4
## 체인지업 구위만으로 상대 타자를 요리할 수 있는 유형이 아닌 거죠. 그래서 류현진은 체인지업과 빠른 공 사이에 속도 차이가 중요합니다.
## 체인지업 구위만으로 상대 타자를 요리할 수 있는 유형이 아닌 거죠. 그래서 <류현진:PER>은 체인지업과 빠른 공 사이에 속도 차이가 중요합니다.
체인지업	체인지업	NNG	O
_	_	_	O
구위	구위	NNG	O
만	만	JX	O
으로	으로	JKB	O
_	_	_	O
상대	상대	NNG	O
_	_	_	O
타자	타자	NNG	O
를	를	JKO	O
_	_	_	O
요리할	요리하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
유형	유형	NNG	O
이	이	JKC	O
_	_	_	O
아닌	아니+ㄴ	VCN+ETM	O
_	_	_	O
거	것+이	NNB+VCP	O
죠	죠	EF	O
.	.	SF	O
_	_	_	O
그래서	그래서	MAJ	O
_	_	_	O
류현진	류현진	NNP	B-PER
은	은	JX	O
_	_	_	O
체인지업	체인지업	NNG	O
과	과	JC	O
_	_	_	O
빠른	빠르+ㄴ	VA+ETM	O
_	_	_	O
