## 1
## 트럼프의 ‘보호무역 강화’ 틈 노려 中주도 무역블록 구축 의지 드러내
## <트럼프:PER>의 ‘보호무역 강화’ 틈 노려 <中:LOC>주도 무역블록 구축 의지 드러내
트럼프	트럼프	NNG	B-PER
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
보호	보호	NNG	O
무역	무역	NNG	O
_	_	_	O
강화	강화	NNG	O
’	’	SS	O
_	_	_	O
틈	틈	NNG	O
_	_	_	O
노려	노리+어	VV+EC	O
_	_	_	O
中	中	SH	B-LOC
주도	주도	NNG	O
_	_	_	O
무역	무역	NNG	O
블록	블록	NNG	O
_	_	_	O
구축	구축	NNG	O
_	_	_	O
의지	의지	NNG	O
_	_	_	O
드러내	드러내+어	VV+EC	O

## 2
## 그는 “성 회장의 아들(정수 씨)도 여러 차례 비슷한 요청을 해 혼쭐을 냈다”며 “그랬더니 미 뉴욕까지 건너가 내 아들(주현 씨)을 만나 부탁한 모양”이라고 말했다.
## 그는 “<성:PER> 회장의 아들(<정수:PER> 씨)도 여러 차례 비슷한 요청을 해 혼쭐을 냈다”며 “그랬더니 <미 뉴욕:LOC>까지 건너가 내 아들(<주현:PER> 씨)을 만나 부탁한 모양”이라고 말했다.
그	그	NP	O
는	는	JX	O
_	_	_	O
“	“	SS	O
성	성	NNP	B-PER
_	_	_	O
회장	회장	NNG	O
의	의	JKG	O
_	_	_	O
아들	아들	NNG	O
(	(	SS	O
정수	정수	NNG	B-PER
_	_	_	O
씨	씨	NNB	O
)	)	SS	O
도	도	JX	O
_	_	_	O
여러	여러	MM	O
_	_	_	O
차례	차례	NNG	O
_	_	_	O
비슷한	비슷하+ㄴ	VA+ETM	O
_	_	_	O
요청	요청	NNG	O
을	을	JKO	O
_	_	_	O
해	해	NNG	O
_	_	_	O
혼쭐	혼쭐	NNG	O
을	을	JKO	O
_	_	_	O
냈	내+었	VV+EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
그	그렇	VA	O
랬	었	EP	O
더니	더니	EC	O
_	_	_	O
미	미	NNP	B-LOC
_	_	_	I-LOC
뉴욕	뉴욕	NNP	I-LOC
까지	까지	JX	O
_	_	_	O
건너가	건너가+아	VV+EC	O
_	_	_	O
내	나+의	NP+JKG	O
_	_	_	O
아들	아들	NNG	O
(	(	SS	O
주현	주현	NNG	B-PER
_	_	_	O
씨	씨	NNB	O
)	)	SS	O
을	을	JKO	O
_	_	_	O
만나	만나+아	VV+EC	O
_	_	_	O
부탁한	부탁하+ㄴ	VV+ETM	O
_	_	_	O
모양	모양	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 당시 박 대통령은 아시아·유럽정상회의(ASEM) 참석차 이탈리아를 방문 중이었다.
## 당시 <박:PER> 대통령은 <아시아·유럽정상회의(ASEM):ORG> 참석차 <이탈리아:LOC>를 방문 중이었다.
당시	당시	NNG	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
아시아	아시아	NNP	B-ORG
·	·	SP	I-ORG
유럽	유럽	NNP	I-ORG
정상	정상	NNG	I-ORG
회의	회의	NNG	I-ORG
(	(	SS	I-ORG
ASEM	ASEM	SL	I-ORG
)	)	SS	I-ORG
_	_	_	O
참석	참석	NNG	O
차	차	XSN	O
_	_	_	O
이탈리아	이탈리아	NNP	B-LOC
를	를	JKO	O
_	_	_	O
방문	방문	NNG	O
_	_	_	O
중	중	NNB	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 북한의 김정일도 올 여름 이전에 중국을 방문할 예정이라고 홍콩의 외교 소식통들이 25일 말했다.
## <북한:ORG>의 <김정일:PER>도 올 여름 이전에 <중국:LOC>을 방문할 예정이라고 <홍콩:LOC>의 외교 소식통들이 <25일:DAT> 말했다.
북한	북한	NNP	B-ORG
의	의	JKG	O
_	_	_	O
김정일	김정일	NNP	B-PER
도	도	JX	O
_	_	_	O
올	올	NNG	O
_	_	_	O
여름	여름	NNG	O
_	_	_	O
이전	이전	NNG	O
에	에	JKB	O
_	_	_	O
중국	중국	NNP	B-LOC
을	을	JKO	O
_	_	_	O
방문할	방문하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
홍콩	홍콩	NNP	B-LOC
의	의	JKG	O
_	_	_	O
외교	외교	NNG	O
_	_	_	O
소식통	소식통	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
