## 1
## 묵직한 150km대 직구 일품…체인지업·투심도 장착 “홈런을 몇 개 맞더니 확 떨어져서….” 삼성은 지난달 28일 대구구장에서 벌어진 SK와의 개막전을 시작으로 본격적인 대장정에 돌입했지만 불펜은 아직 예년만 못하다.
## 묵직한 <150km:NOH>대 직구 일품…체인지업·투심도 장착 “<홈런:POH>을 몇 개 맞더니 확 떨어져서….” <삼성:ORG>은 지난달 <28일:DAT> <대구구장:LOC>에서 벌어진 <SK:ORG>와의 개막전을 시작으로 본격적인 대장정에 돌입했지만 불펜은 아직 예년만 못하다.
묵직한	묵직하+ㄴ	VA+ETM	O
_	_	_	O
150	150	SN	B-NOH
km	km	SL	I-NOH
대	대	NNG	O
_	_	_	O
직구	직구	NNG	O
_	_	_	O
일품	일품	NNG	O
…	…	SE	O
체인지업	체인지업	NNG	O
·	·	SP	O
투심	투심	NNG	O
도	도	JX	O
_	_	_	O
장착	장착	NNG	O
_	_	_	O
“	“	SS	O
홈런	홈런	NNG	B-POH
을	을	JKO	O
_	_	_	O
몇	몇	MM	O
_	_	_	O
개	개	NNB	O
_	_	_	O
맞	맞	VV	O
더니	더니	EC	O
_	_	_	O
확	확	MAG	O
_	_	_	O
떨어져서	떨어지+어서	VV+EC	O
…	…	SE	O
.	.	SF	O
”	”	SS	O
_	_	_	O
삼성	삼성	NNP	B-ORG
은	은	JX	O
_	_	_	O
지난달	지난달	NNG	O
_	_	_	O
28	28	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
대구구장	대구구장	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
벌어진	벌어지+ㄴ	VV+ETM	O
_	_	_	O
SK	SK	SL	B-ORG
와	와	JKB	O
의	의	JKG	O
_	_	_	O
개막	개막	NNG	O
전	전	XSN	O
을	을	JKO	O
_	_	_	O
시작	시작	NNG	O
으로	으로	JKB	O
_	_	_	O
본격적	본격적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
대장정	대장정	NNG	O
에	에	JKB	O
_	_	_	O
돌입	돌입하	VV	O
했	였	EP	O
지만	지만	EC	O
_	_	_	O
불펜	불펜	NNG	O
은	은	JX	O
_	_	_	O
아직	아직	MAG	O
_	_	_	O
예년	예년	NNG	O
만	만	JX	O
_	_	_	O
못하	못하	VV	O
다	다	EF	O
.	.	SF	O

## 2
## 우승이 확정된 이후 이미림은 ‘왜 챔피언 퍼트를 하지 않았느냐’는 질문에 “언니 (퍼트) 라인에 걸려서…”라고 웃으며 답했다.
## 우승이 확정된 이후 <이미림:PER>은 ‘왜 챔피언 퍼트를 하지 않았느냐’는 질문에 “언니 (퍼트) 라인에 걸려서…”라고 웃으며 답했다.
우승	우승	NNG	O
이	이	JKS	O
_	_	_	O
확정된	확정되+ㄴ	VV+ETM	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
이미림	이미림	NNP	B-PER
은	은	JX	O
_	_	_	O
‘	‘	SS	O
왜	왜	MAG	O
_	_	_	O
챔피언	챔피언	NNG	O
_	_	_	O
퍼트	퍼트	NNG	O
를	를	JKO	O
_	_	_	O
하	하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
느냐	느냐	EF	O
’	’	SS	O
는	는	JX	O
_	_	_	O
