## 1
## 팔레스타인과 오슬로 평화협정 주도
## <팔레스타인:ORG>과 <오슬로:LOC> 평화협정 주도
팔레스타인	팔레스타인	NNP	B-ORG
과	과	JC	O
_	_	_	O
오슬로	오슬로	NNP	B-LOC
_	_	_	O
평화	평화	NNG	O
협정	협정	NNG	O
_	_	_	O
주도	주도	NNG	O

## 2
## 예산 대비 채무비율은 37.5%로 광역시·도 중 가장 높다.
## 예산 대비 채무비율은 <37.5%:PNT>로 광역시·도 중 가장 높다.
예산	예산	NNG	O
_	_	_	O
대비	대비	NNG	O
_	_	_	O
채무	채무	NNG	O
비율	비율	NNG	O
은	은	JX	O
_	_	_	O
37.5	37.5	SN	B-PNT
%	%	SW	I-PNT
로	로	JKB	O
_	_	_	O
광역시	광역시	NNG	O
·	·	SP	O
도	도	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
높	높	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 이번 사태를 계기로 삼성그룹의 체질을 완전히 바꿔야 한다는 생각이 강하다는 것이다.
## 이번 사태를 계기로 <삼성그룹:ORG>의 체질을 완전히 바꿔야 한다는 생각이 강하다는 것이다.
이번	이번	NNG	O
_	_	_	O
사태	사태	NNG	O
를	를	JKO	O
_	_	_	O
계기	계기	NNG	O
로	로	JKB	O
_	_	_	O
삼성그룹	삼성그룹	NNP	B-ORG
의	의	JKG	O
_	_	_	O
체질	체질	NNG	O
을	을	JKO	O
_	_	_	O
완전히	완전히	MAG	O
_	_	_	O
바꿔야	바꾸+어야	VV+EC	O
_	_	_	O
한다는	하+ㄴ다는	VX+ETM	O
_	_	_	O
생각	생각	NNG	O
이	이	JKS	O
_	_	_	O
강하	강하	VA	O
다는	다는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 배크만은 “『오베…』를 출간했던 출판사가 『할머니…』를 출간하려 하지 않아서 출판사를 바꿔 냈다.
## <배크만:PER>은 “『<오베…:POH>』를 출간했던 출판사가 『<할머니…:POH>』를 출간하려 하지 않아서 출판사를 바꿔 냈다.
배크	배크	NNP	B-PER
만	만	JX	I-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
『	『	SS	O
오베	오베	NNP	B-POH
…	…	SE	I-POH
』	』	SS	O
를	를	JKO	O
_	_	_	O
출간	출간하	VV	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
출판사	출판사	NNG	O
가	가	JKS	O
_	_	_	O
『	『	SS	O
할머니	할머니	NNG	B-POH
…	…	SE	I-POH
』	』	SS	O
를	를	JKO	O
_	_	_	O
출간하	출간하	VV	O
려	려	EC	O
_	_	_	O
하	하	VX	O
지	지	EC	O
_	_	_	O
않	않	VX	O
아서	아서	EC	O
_	_	_	O
출판사	출판사	NNG	O
를	를	JKO	O
_	_	_	O
바꿔	바꾸+어	VV+EC	O
_	_	_	O
냈	내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 5
## 유상영 ‘더 블루 K’ 부장과 김수현 고은기획 대표 간 사적 담화에 ‘걔’는 놀랍게도 대통령이었다.
## <유상영:PER> ‘<더 블루 K:ORG>’ 부장과 <김수현:PER> <고은기획:ORG> 대표 간 사적 담화에 ‘걔’는 놀랍게도 대통령이었다.
유상영	유상영	NNP	B-PER
_	_	_	O
‘	‘	SS	O
더	더	MAG	B-ORG
_	_	_	I-ORG
블루	블루	NNG	I-ORG
_	_	_	I-ORG
K	K	SL	I-ORG
’	’	SS	O
_	_	_	O
부장	부장	NNG	O
과	과	JC	O
_	_	_	O
김수현	김수현	NNP	B-PER
_	_	_	O
고은	고은	NNP	B-ORG
기획	기획	NNG	I-ORG
_	_	_	O
대표	대표	NNG	O
_	_	_	O
간	간	NNB	O
_	_	_	O
사적	사적	NNG	O
_	_	_	O
담화	담화	NNG	O
에	에	JKB	O
_	_	_	O
‘	‘	SS	O
걔	걔	NP	O
’	’	SS	O
는	는	JX	O
_	_	_	O
놀랍	놀랍	VA	O
게	게	EC	O
도	도	JX	O
_	_	_	O
대통령	대통령	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 이후 트레이드 밀 위에서 가벼운 러닝을 하는 동안 특별 제작된 센서가 발의 착지 형태 및 쏠림과 기울임을 2차적으로 분석해 러너에게 가장 최적화된 제품을 추천해준다.
## 이후 트레이드 밀 위에서 가벼운 러닝을 하는 동안 특별 제작된 센서가 발의 착지 형태 및 쏠림과 기울임을 <2차:NOH>적으로 분석해 러너에게 가장 최적화된 제품을 추천해준다.
이후	이후	NNG	O
_	_	_	O
트레이드	트레이드	NNG	O
_	_	_	O
밀	밀	NNG	O
_	_	_	O
위	위	NNG	O
에서	에서	JKB	O
_	_	_	O
가벼	가볍	VA	O
운	ㄴ	ETM	O
_	_	_	O
러닝	러닝	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
는	는	ETM	O
_	_	_	O
동안	동안	NNG	O
_	_	_	O
특별	특별	NNG	O
_	_	_	O
제작된	제작되+ㄴ	VV+ETM	O
_	_	_	O
센서	센서	NNG	O
가	가	JKS	O
_	_	_	O
발	발	NNG	O
의	의	JKG	O
_	_	_	O
착지	착지	NNG	O
_	_	_	O
형태	형태	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
쏠림	쏠림	NNG	O
과	과	JC	O
_	_	_	O
기울임	기울임	NNG	O
을	을	JKO	O
_	_	_	O
2	2	SN	B-NOH
차	차	NNB	I-NOH
적	적	XSN	O
으로	으로	JKB	O
