## 1
## 류희인(61·사진) 전 세월호참사특별조사위원회 비상임위원은 “국가재난 책임은 명시적이지 않더라도 대통령에게 있다”며 “청와대가 세월호 재난 컨트롤 타워가 아니라는 주장이 이해할 수 없다”고 말했다.
## <류희인:PER>(<61:NOH>·사진) 전 <세월호참사특별조사위원회:ORG> 비상임위원은 “국가재난 책임은 명시적이지 않더라도 대통령에게 있다”며 “<청와대:ORG>가 <세월호:POH> 재난 컨트롤 타워가 아니라는 주장이 이해할 수 없다”고 말했다.
류희인	류희인	NNP	B-PER
(	(	SS	O
61	61	SN	B-NOH
·	·	SP	O
사진	사진	NNG	O
)	)	SS	O
_	_	_	O
전	전	NNG	O
_	_	_	O
세월호	세월호	NNP	B-ORG
참사	참사	NNG	I-ORG
특별	특별	NNG	I-ORG
조사	조사	NNG	I-ORG
위원회	위원회	NNG	I-ORG
_	_	_	O
비	비	XPN	O
상임	상임	NNG	O
위원	위원	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
국가	국가	NNG	O
재난	재난	NNG	O
_	_	_	O
책임	책임	NNG	O
은	은	JX	O
_	_	_	O
명시적	명시적	NNG	O
이	이	VCP	O
지	지	EC	O
_	_	_	O
않	않	VX	O
더라도	더라도	EC	O
_	_	_	O
대통령	대통령	NNG	O
에게	에게	JKB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
청와대	청와대	NNP	B-ORG
가	가	JKS	O
_	_	_	O
세월호	세월호	NNP	B-POH
_	_	_	O
재난	재난	NNG	O
_	_	_	O
컨트롤	컨트롤	NNG	O
_	_	_	O
타워	타워	NNG	O
가	가	JKC	O
_	_	_	O
아니	아니	VCN	O
라는	라는	ETM	O
_	_	_	O
주장	주장	NNG	O
이	이	JKS	O
_	_	_	O
이해할	이해하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 쓰치야 요시히코(土屋義彦·2008년 작고·사진 왼쪽) 전 일본 참의원 의장의 장녀인 쓰치야 모모코(土屋桃子·65) 여사였다.
## <쓰치야 요시히코:PER>(<土屋義彦:PER>·<2008년:DAT> 작고·사진 왼쪽) 전 <일본 참의원:ORG> 의장의 장녀인 <쓰치야 모모코:PER>(<土屋桃子:PER>·<65:NOH>) 여사였다.
쓰	쓰	NNG	B-PER
치	치	XSN	I-PER
야	야	JX	I-PER
_	_	_	I-PER
요시히코	요시히코	NNP	I-PER
(	(	SS	O
土屋義彦	土屋義彦	SH	B-PER
·	·	SP	O
2008	2008	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
작	작	VA	O
고	고	EC	O
·	·	SP	O
사진	사진	NNG	O
_	_	_	O
왼쪽	왼쪽	NNG	O
)	)	SS	O
_	_	_	O
전	전	NNG	O
_	_	_	O
일본	일본	NNP	B-ORG
_	_	_	I-ORG
참의원	참의원	NNG	I-ORG
_	_	_	O
의장	의장	NNG	O
의	의	JKG	O
_	_	_	O
장녀	장녀	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
쓰	쓰	NNG	B-PER
치	치	XSN	I-PER
야	야	JX	I-PER
_	_	_	I-PER
모모코	모모코	NNP	I-PER
(	(	SS	O
土屋桃子	土屋桃子	SH	B-PER
·	·	SP	O
65	65	SN	B-NOH
)	)	SS	O
_	_	_	O
