## 1
## 김연아-김원중 재결합설, 핑크빛 기류?… 공식 입장은
## <김연아:PER>-<김원중:PER> 재결합설, 핑크빛 기류?… 공식 입장은
김연아	김연아	NNP	B-PER
-	-	SO	O
김원중	김원중	NNP	B-PER
_	_	_	O
재결합	재결합	NNG	O
설	설	XSN	O
,	,	SP	O
_	_	_	O
핑크	핑크	NNG	O
빛	빛	NNG	O
_	_	_	O
기류	기류	NNG	O
?	?	SF	O
…	…	SE	O
_	_	_	O
공식	공식	NNG	O
_	_	_	O
입장	입장	NNG	O
은	은	JX	O

## 2
## 추미애 더불어민주당 대표는 11일 “제7차 촛불민심은 더욱 단단하고 결의에 찼다”면서 “국정정상화를 위해 헌재는 탄핵소추를 조기인용 해야 한다”고 주장했다.
## <추미애:PER> <더불어민주당:ORG> 대표는 <11일:DAT> “<제7차:NOH> 촛불민심은 더욱 단단하고 결의에 찼다”면서 “국정정상화를 위해 헌재는 탄핵소추를 조기인용 해야 한다”고 주장했다.
추미애	추미애	NNP	B-PER
_	_	_	O
더불	더불	VV	B-ORG
어	어	EC	I-ORG
민주당	민주당	NNP	I-ORG
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
11	11	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
“	“	SS	O
제	제	XPN	B-NOH
7	7	SN	I-NOH
차	차	NNB	I-NOH
_	_	_	O
촛불	촛불	NNG	O
민심	민심	NNG	O
은	은	JX	O
_	_	_	O
더욱	더욱	MAG	O
_	_	_	O
단단하	단단하	VA	O
고	고	EC	O
_	_	_	O
결의	결의	NNG	O
에	에	JKB	O
_	_	_	O
찼	차+았	VV+EP	O
다	다	EF	O
”	”	SS	O
면서	면서	EC	O
_	_	_	O
“	“	SS	O
국정	국정	NNG	O
정상화	정상화	NNG	O
를	를	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
헌재	헌재	NNG	O
는	는	JX	O
_	_	_	O
탄핵	탄핵	NNG	O
소추	소추	NNG	O
를	를	JKO	O
_	_	_	O
조기	조기	NNG	O
인용	인용	NNG	O
_	_	_	O
해야	하+여야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
주장	주장하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 추미애 대표는 이날 자신의 소셜미디어에 “중대한 헌법위반을 저지른 박근혜 대통령은 더 이상 헌법을 수호할 자격이 없음이 드러났다”면서 이같이 밝혔다.
## <추미애:PER> 대표는 이날 자신의 소셜미디어에 “중대한 헌법위반을 저지른 <박근혜:PER> 대통령은 더 이상 헌법을 수호할 자격이 없음이 드러났다”면서 이같이 밝혔다.
추미애	추미애	NNP	B-PER
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
소셜	소셜	NNG	O
미디어	미디어	NNG	O
에	에	JKB	O
_	_	_	O
“	“	SS	O
중대한	중대하+ㄴ	VA+ETM	O
_	_	_	O
헌법	헌법	NNG	O
위반	위반	NNG	O
을	을	JKO	O
_	_	_	O
저지른	저지르+ㄴ	VV+ETM	O
_	_	_	O
박근혜	박근혜	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
더	더	MAG	O
_	_	_	O
이상	이상	NNG	O
_	_	_	O
헌법	헌법	NNG	O
을	을	JKO	O
_	_	_	O
수호할	수호하+ㄹ	VV+ETM	O
_	_	_	O
자격	자격	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
음	음	ETN	O
이	이	JKS	O
_	_	_	O
드러났	드러나+았	VV+EP	O
다	다	EF	O
”	”	SS	O
면서	면서	EC	O
_	_	_	O
이같이	이같이	MAG	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 추 대표는 “대통령의 반헌법적 태도에 대한 행상책임을 묻는 탄핵심판의 목적은 빠른 헌정회복에 있음을 헌재에 촉구한다”면서 “특검도 어떤 장애물도 격파한다는 자세로 신속하고 철저한 수사를 촉구한다”고 강조했다.
## <추:PER> 대표는 “대통령의 반헌법적 태도에 대한 행상책임을 묻는 탄핵심판의 목적은 빠른 헌정회복에 있음을 헌재에 촉구한다”면서 “특검도 어떤 장애물도 격파한다는 자세로 신속하고 철저한 수사를 촉구한다”고 강조했다.
추	추	NNP	B-PER
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
반	반	XPN	O
헌법	헌법	NNG	O
적	적	XSN	O
_	_	_	O
태도	태도	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
행상	행상	NNG	O
책임	책임	NNG	O
을	을	JKO	O
_	_	_	O
묻	묻	VV	O
는	는	ETM	O
_	_	_	O
탄핵	탄핵	NNG	O
심판	심판	NNG	O
의	의	JKG	O
_	_	_	O
목적	목적	NNG	O
은	은	JX	O
_	_	_	O
빠른	빠르+ㄴ	VA+ETM	O
_	_	_	O
헌정	헌정	NNG	O
회복	회복	NNG	O
에	에	JKB	O
_	_	_	O
있	있	VA	O
음	음	ETN	O
을	을	JKO	O
_	_	_	O
헌재	헌재	NNG	O
에	에	JKB	O
_	_	_	O
촉구한다	촉구하+ㄴ다	VV+EF	O
”	”	SS	O
면서	면서	EC	O
_	_	_	O
“	“	SS	O
특검	특검	NNG	O
도	도	JX	O
_	_	_	O
어떤	어떤	MM	O
_	_	_	O
장애물	장애물	NNG	O
도	도	JX	O
_	_	_	O
격파한다는	격파하+ㄴ다는	VV+ETM	O
_	_	_	O
자세	자세	NNG	O
로	로	JKB	O
_	_	_	O
신속하	신속하	VA	O
고	고	EC	O
_	_	_	O
철저한	철저하+ㄴ	VA+ETM	O
_	_	_	O
수사	수사	NNG	O
를	를	JKO	O
_	_	_	O
촉구한다	촉구하+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
강조	강조하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 그러면서 “임시국회를 속히 열어 국민불안을 해소하는데 국회가 앞장서야할 것”이라며 “제7차 촛불민심은 더욱 단단하고 결의에 차 있었다.
## 그러면서 “임시국회를 속히 열어 국민불안을 해소하는데 국회가 앞장서야할 것”이라며 “<제7차:NOH> 촛불민심은 더욱 단단하고 결의에 차 있었다.
그러	그러	VV	O
면서	면서	EC	O
_	_	_	O
“	“	SS	O
임시	임시	NNG	O
국회	국회	NNG	O
를	를	JKO	O
_	_	_	O
속히	속히	MAG	O
_	_	_	O
열	열	VV	O
어	어	EC	O
_	_	_	O
국민	국민	NNG	O
불안	불안	NNG	O
을	을	JKO	O
_	_	_	O
해소하	해소하	VV	O
