## 1
## 광복 70주년을 열흘 앞둔 남북관계의 현주소를 상징적으로 보여주는 장면이다.
## 광복 <70주년:NOH>을 열흘 앞둔 <남북:ORG>관계의 현주소를 상징적으로 보여주는 장면이다.
광복	광복	NNG	O
_	_	_	O
70	70	SN	B-NOH
주년	주년	NNB	I-NOH
을	을	JKO	O
_	_	_	O
열흘	열흘	NNG	O
_	_	_	O
앞둔	앞두+ㄴ	VV+ETM	O
_	_	_	O
남북	남북	NNP	B-ORG
관계	관계	NNG	O
의	의	JKG	O
_	_	_	O
현주소	현주소	NNG	O
를	를	JKO	O
_	_	_	O
상징적	상징적	NNG	O
으로	으로	JKB	O
_	_	_	O
보	보이	VV	O
여	어	EC	O
주	주	VX	O
는	는	ETM	O
_	_	_	O
장면	장면	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 데뷔 후 처음으로 마무리를 맡은 올해 47경기 성적은 2승28세이브, 방어율 2.76으로 수준급이다.
## 데뷔 후 처음으로 마무리를 맡은 올해 <47경기:NOH> 성적은 <2승:NOH><28세이브:NOH>, <방어율 2.76:NOH>으로 수준급이다.
데뷔	데뷔	NNG	O
_	_	_	O
후	후	NNG	O
_	_	_	O
처음	처음	NNG	O
으로	으로	JKB	O
_	_	_	O
마무리	마무리	NNG	O
를	를	JKO	O
_	_	_	O
맡	맡	VV	O
은	은	ETM	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
47	47	SN	B-NOH
경기	경기	NNG	I-NOH
_	_	_	O
성적	성적	NNG	O
은	은	JX	O
_	_	_	O
2	2	SN	B-NOH
승	승	NNB	I-NOH
28	28	SN	B-NOH
세이브	세이브	NNG	I-NOH
,	,	SP	O
_	_	_	O
방어율	방어율	NNG	B-NOH
_	_	_	I-NOH
2.76	2.76	SN	I-NOH
으로	으로	JKB	O
_	_	_	O
수준급	수준급	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 흥국생명 관계자는 “지금 누구를 데려온다고 해도 그 선수가 테일러보다 좋은 기량이라는 확신도 없어 섣불리 대체외국인선수를 선택하기도 어렵다”고 말했다.
## <흥국생명:ORG> 관계자는 “지금 누구를 데려온다고 해도 그 선수가 <테일러:PER>보다 좋은 기량이라는 확신도 없어 섣불리 대체외국인선수를 선택하기도 어렵다”고 말했다.
흥국생명	흥국생명	NNP	B-ORG
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
지금	지금	MAG	O
_	_	_	O
누구	누구	NP	O
를	를	JKO	O
_	_	_	O
데려온다고	데려오+ㄴ다고	VV+EC	O
_	_	_	O
해도	하+여도	VV+EC	O
_	_	_	O
그	그	MM	O
_	_	_	O
선수	선수	NNG	O
가	가	JKS	O
_	_	_	O
테일러	테일러	NNP	B-PER
보다	보다	JKB	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
기량	기량	NNG	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
확신	확신	NNG	O
도	도	JX	O
_	_	_	O
없	없	VA	O
어	어	EC	O
_	_	_	O
섣불리	섣불리	MAG	O
_	_	_	O
대체	대체	NNG	O
외국인	외국인	NNG	O
선수	선수	NNG	O
를	를	JKO	O
_	_	_	O
선택하	선택하	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
어렵	어렵	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 분석 결과 전업주부가 재산의 절반을 가져가는 비율은 33%로 ‘비(非)주부’(32%)보다 오히려 높았다.
## 분석 결과 전업주부가 재산의 절반을 가져가는 비율은 <33%:PNT>로 ‘비(非)주부’(<32%:PNT>)보다 오히려 높았다.
분석	분석	NNG	O
_	_	_	O
결과	결과	NNG	O
_	_	_	O
전업	전업	NNG	O
주부	주부	NNG	O
가	가	JKC	O
_	_	_	O
재산	재산	NNG	O
의	의	JKG	O
_	_	_	O
절반	절반	NNG	O
을	을	JKO	O
_	_	_	O
가져가	가져가	VV	O
는	는	ETM	O
_	_	_	O
비율	비율	NNG	O
은	은	JX	O
_	_	_	O
33	33	SN	B-PNT
%	%	SW	I-PNT
로	로	JKB	O
_	_	_	O
‘	‘	SS	O
비	비	NNG	O
(	(	SS	O
非	非	SH	O
)	)	SS	O
주부	주부	NNG	O
’	’	SS	O
(	(	SS	O
32	32	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
보다	보다	JKB	O
_	_	_	O
오히려	오히려	MAG	O
_	_	_	O
높	높	VA	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 더구나 합의 직후부터 우리 정부가 10억 엔을 받는 대가로 소녀상을 철거한다는 이면합의를 했다는 논란이 일었다.
## 더구나 합의 직후부터 우리 정부가 <10억 엔:MNY>을 받는 대가로 소녀상을 철거한다는 이면합의를 했다는 논란이 일었다.
더구나	더구나	MAG	O
_	_	_	O
합의	합의	NNG	O
_	_	_	O
직후	직후	NNG	O
부터	부터	JX	O
_	_	_	O
우리	우리	NP	O
_	_	_	O
정부	정부	NNG	O
가	가	JKS	O
_	_	_	O
10	10	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
엔	엔	NNB	I-MNY
을	을	JKO	O
_	_	_	O
받	받	VV	O
는	는	ETM	O
_	_	_	O
대가	대가	NNG	O
로	로	JKB	O
_	_	_	O
소녀	소녀	NNG	O
상	상	NNG	O
을	을	JKO	O
_	_	_	O
철거한다는	철거하+ㄴ다는	VV+ETM	O
_	_	_	O
이면	이면	NNG	O
합의	합의	NNG	O
를	를	JKO	O
_	_	_	O
했	+였	+EP	O
다는	다는	ETM	O
_	_	_	O
논란	논란	NNG	O
이	이	JKS	O
_	_	_	O
일	일	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
