## 1
## 과거 중국에서 김은 일본식품이라는 인식이 강했으나 후쿠시마 원전사고 이후 일본제품의 안전성이 의심되면서 한국산 김의 위상과 인기가 더욱 높아지게 됐다.
## 과거 <중국:LOC>에서 김은 <일본:LOC>식품이라는 인식이 강했으나 <후쿠시마:LOC> 원전사고 이후 <일본:ORG>제품의 안전성이 의심되면서 한국산 김의 위상과 인기가 더욱 높아지게 됐다.
과거	과거	NNG	O
_	_	_	O
중국	중국	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
김	김	NNP	O
은	은	JX	O
_	_	_	O
일본	일본	NNP	B-LOC
식품	식품	NNG	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
인식	인식	NNG	O
이	이	JKS	O
_	_	_	O
강	강하	VA	O
했	였	EP	O
으나	으나	EC	O
_	_	_	O
후쿠시마	후쿠시마	NNP	B-LOC
_	_	_	O
원전	원전	NNG	O
사고	사고	NNG	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
일본	일본	NNP	B-ORG
제품	제품	NNG	O
의	의	JKG	O
_	_	_	O
안전성	안전성	NNG	O
이	이	JKS	O
_	_	_	O
의심되	의심되	VV	O
면서	면서	EC	O
_	_	_	O
한국	한국	NNP	O
산	산	XSN	O
_	_	_	O
김	김	NNP	O
의	의	JKG	O
_	_	_	O
위상	위상	NNG	O
과	과	JC	O
_	_	_	O
인기	인기	NNG	O
가	가	JKS	O
_	_	_	O
더욱	더욱	MAG	O
_	_	_	O
높아지	높아지	VV	O
게	게	EC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 라면과 맥주는 2000만 달러가량의 수출액을 기록하는 등 꾸준히 인기를 끌고 있다.
## 라면과 맥주는 <2000만 달러:MNY>가량의 수출액을 기록하는 등 꾸준히 인기를 끌고 있다.
라면	라면	NNG	O
과	과	JC	O
_	_	_	O
맥주	맥주	NNG	O
는	는	JX	O
_	_	_	O
2000	2000	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
달러	달러	NNB	I-MNY
가량	가량	XSN	O
의	의	JKG	O
_	_	_	O
수출액	수출액	NNG	O
을	을	JKO	O
_	_	_	O
기록하	기록하	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
꾸준히	꾸준히	MAG	O
_	_	_	O
인기	인기	NNG	O
를	를	JKO	O
_	_	_	O
끌	끌	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 라면의 대 중국 수출액은 최근 5년간 연평균 36.9%로 크게 성장했으나 수입대상국 순위는 오히려 2011년 1위에서 2015년 2위로 낮아져(1위는 타이완) 중국 라면시장에서의 치열한 경쟁양상을 보여주고 있다.
## 라면의 대 <중국:ORG> 수출액은 최근 <5년간:DUR> 연평균 <36.9%:PNT>로 크게 성장했으나 수입대상국 순위는 오히려 <2011년:DAT> <1위:NOH>에서 <2015년:DAT> <2위:NOH>로 낮아져(<1위:NOH>는 <타이완:ORG>) <중국:ORG> 라면시장에서의 치열한 경쟁양상을 보여주고 있다.
라면	라면	NNG	O
의	의	JKG	O
_	_	_	O
대	대	XPN	O
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	O
수출액	수출액	NNG	O
은	은	JX	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
5	5	SN	B-DUR
년	년	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
연평균	연평균	NNG	O
_	_	_	O
36.9	36.9	SN	B-PNT
%	%	SW	I-PNT
로	로	JKB	O
_	_	_	O
크	크	VA	O
게	게	EC	O
_	_	_	O
성장	성장하	VV	O
했	였	EP	O
으나	으나	EC	O
_	_	_	O
수입	수입	NNG	O
대상	대상	NNG	O
국	국	XSN	O
_	_	_	O
순위	순위	NNG	O
는	는	JX	O
_	_	_	O
오히려	오히려	MAG	O
_	_	_	O
2011	2011	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
에서	에서	JKB	O
_	_	_	O
2015	2015	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
2	2	SN	B-NOH
위	위	NNB	I-NOH
로	로	JKB	O
_	_	_	O
낮	낮	VA	O
아	아	EC	O
져	지+어	VX+EF	O
(	(	SS	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
는	는	JX	O
_	_	_	O
타이완	타이완	NNP	B-ORG
)	)	SS	O
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	O
라면	라면	NNG	O
시장	시장	NNG	O
에서	에서	JKB	O
의	의	JKG	O
_	_	_	O
치열한	치열하+ㄴ	VA+ETM	O
_	_	_	O
경쟁	경쟁	NNG	O
양상	양상	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
여	어	EC	O
주	주	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 서울 강서경찰서는 2일 자신이 근무하는 국민학교의 학생을 8개월여 동안 성추행해 온 혐의로 서울 K국교 교사 성승부씨(48·송파구 잠실동)를 구속했다.
## <서울 강서경찰:ORG>서는 <2일:DAT> 자신이 근무하는 국민학교의 학생을 <8개월:DUR>여 동안 성추행해 온 혐의로 <서울:LOC> <K:ORG>국교 교사 <성승부:PER>씨(<48:NOH>·<송파구:LOC> <잠실동:LOC>)를 구속했다.
서울	서울	NNP	B-ORG
_	_	_	I-ORG
강서	강서	NNP	I-ORG
경찰서	경찰서	NNG	O
는	는	JX	O
_	_	_	O
2	2	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
자신	자신	NNG	O
이	이	JKS	O
_	_	_	O
근무하	근무하	VV	O
는	는	ETM	O
_	_	_	O
국민학교	국민학교	NNG	O
의	의	JKG	O
_	_	_	O
학생	학생	NNG	O
을	을	JKO	O
_	_	_	O
8	8	SN	B-DUR
개월	개월	NNB	I-DUR
여	여	XSN	O
_	_	_	O
동안	동안	NNG	O
_	_	_	O
성추행해	성추행하+여	VV+EC	O
_	_	_	O
온	오+ㄴ	VX+ETM	O
_	_	_	O
혐의	혐의	NNG	O
로	로	JKB	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
K	K	SL	B-ORG
국교	국교	NNG	O
_	_	_	O
교사	교사	NNG	O
_	_	_	O
성승부	성승부	NNP	B-PER
씨	씨	NNB	O
(	(	SS	O
48	48	SN	B-NOH
·	·	SP	O
송파구	송파구	NNP	B-LOC
_	_	_	O
잠실동	잠실동	NNP	B-LOC
)	)	SS	O
를	를	JKO	O
_	_	_	O
구속	구속하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 샤이니는 턱시도를 변형한 의상을 입고 원테이크 카메라워크와 댄서들과 고난도 퍼포먼스 호흡으로 역대급 퍼포먼스를 보여줬다.
## <샤이니:ORG>는 턱시도를 변형한 의상을 입고 원테이크 카메라워크와 댄서들과 고난도 퍼포먼스 호흡으로 역대급 퍼포먼스를 보여줬다.
샤이니	샤이니	NNP	B-ORG
는	는	JX	O
_	_	_	O
턱시도	턱시도	NNG	O
를	를	JKO	O
_	_	_	O
변형한	변형하+ㄴ	VV+ETM	O
_	_	_	O
의상	의상	NNG	O
을	을	JKO	O
_	_	_	O
입	입	VV	O
고	고	EC	O
_	_	_	O
원	원	NNB	O
테이크	테이크	NNG	O
_	_	_	O
카메라	카메라	NNG	O
워크	워크	NNG	O
와	와	JC	O
_	_	_	O
댄서	댄서	NNG	O
들	들	XSN	O
과	과	JC	O
_	_	_	O
고난도	고난도	NNG	O
_	_	_	O
퍼포먼스	퍼포먼스	NNG	O
_	_	_	O
호흡	호흡	NNG	O
으로	으로	JKB	O
_	_	_	O
역대	역대	NNG	O
급	급	NNG	O
_	_	_	O
퍼포먼스	퍼포먼스	NNG	O
를	를	JKO	O
_	_	_	O
보	보이	VV	O
여	어+주	EC+VX	O
줬	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 실험은 고려대 법의학교실 신상언 연구강사가 맡았다.
## 실험은 <고려대 법의학교실:ORG> <신상언:PER> 연구강사가 맡았다.
실험	실험	NNG	O
은	은	JX	O
_	_	_	O
고려대	고려대	NNP	B-ORG
_	_	_	I-ORG
법의학	법의학	NNG	I-ORG
교실	교실	NNG	I-ORG
_	_	_	O
신상언	신상언	NNP	B-PER
_	_	_	O
