## 1
## 제발 우리의 안보태세나 굳건히 다지고 한­미공조나 튼튼히 점검하면서 말의 정직성이라곤 한푼어치도 없는 북의 장난에 일일이 반응하지 말라는 것이다.
## 제발 우리의 안보태세나 굳건히 다지고 <한:ORG>­<미:ORG>공조나 튼튼히 점검하면서 말의 정직성이라곤 한푼어치도 없는 <북:ORG>의 장난에 일일이 반응하지 말라는 것이다.
제발	제발	MAG	O
_	_	_	O
우리	우리	NP	O
의	의	JKG	O
_	_	_	O
안보	안보	NNG	O
태세	태세	NNG	O
나	나	JC	O
_	_	_	O
굳건히	굳건히	MAG	O
_	_	_	O
다지	다지	VV	O
고	고	EC	O
_	_	_	O
한	한	NNP	B-ORG
­	­	SS	O
미	미	NNP	B-ORG
공조	공조	NNG	O
나	나	JC	O
_	_	_	O
튼튼히	튼튼히	MAG	O
_	_	_	O
점검하	점검하	VV	O
면서	면서	EC	O
_	_	_	O
말	말	NNG	O
의	의	JKG	O
_	_	_	O
정직성	정직성	NNG	O
이	이	VCP	O
라곤	라고+ㄴ	EC+JX	O
_	_	_	O
한	한	NNP	O
푼	푼	NNB	O
어치	어치	XSN	O
도	도	JX	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
북	북	NNP	B-ORG
의	의	JKG	O
_	_	_	O
장난	장난	NNG	O
에	에	JKB	O
_	_	_	O
일일이	일일이	MAG	O
_	_	_	O
반응하	반응하	VV	O
지	지	EC	O
_	_	_	O
말	말	VX	O
라는	라는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 시민단체 발암물질없는사회만들기국민행동 박수미 사무국장은 “중금속 기준이 만들어지기 전인 2008년 이전에 설치된 놀이시설은 아무런 점검을 받지 않았다”고 말했다.
## 시민단체 <발암물질없는사회만들기국민행동:ORG> <박수미:PER> 사무국장은 “중금속 기준이 만들어지기 전인 <2008년:DAT> 이전에 설치된 놀이시설은 아무런 점검을 받지 않았다”고 말했다.
시민	시민	NNG	O
단체	단체	NNG	O
_	_	_	O
