## 1
## 우즈벡전을 앞둔 시험무대인 11일 캐나다와의 평가전(천안)에서 치열한 내부경쟁을 뚫어야 한다.
## <우즈벡전:POH>을 앞둔 시험무대인 <11일:DAT> <캐나다:ORG>와의 평가전(<천안:LOC>)에서 치열한 내부경쟁을 뚫어야 한다.
우즈벡	우즈벡	NNP	B-POH
전	전	XSN	I-POH
을	을	JKO	O
_	_	_	O
앞둔	앞두+ㄴ	VV+ETM	O
_	_	_	O
시험	시험	NNG	O
무대	무대	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
11	11	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
캐나다	캐나다	NNP	B-ORG
와	와	JKB	O
의	의	JKG	O
_	_	_	O
평가전	평가전	NNG	O
(	(	SS	O
천안	천안	NNP	B-LOC
)	)	SS	O
에서	에서	JKB	O
_	_	_	O
치열한	치열하+ㄴ	VA+ETM	O
_	_	_	O
내부	내부	NNG	O
경쟁	경쟁	NNG	O
을	을	JKO	O
_	_	_	O
뚫	뚫	VV	O
어야	어야	EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
.	.	SF	O

## 2
## 이번 계획은 삼성이 매년 실시하던 연간 9000명의 신입사원 채용과는 별개로 진행된다.
## 이번 계획은 <삼성:ORG>이 매년 실시하던 연간 <9000명:NOH>의 신입사원 채용과는 별개로 진행된다.
이번	이번	NNG	O
_	_	_	O
계획	계획	NNG	O
은	은	JX	O
_	_	_	O
삼성	삼성	NNP	B-ORG
이	이	JKS	O
_	_	_	O
매년	매년	MAG	O
_	_	_	O
실시하	실시하	VV	O
던	던	ETM	O
_	_	_	O
연간	연간	NNG	O
_	_	_	O
9000	9000	SN	B-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
신입	신입	NNG	O
사원	사원	NNG	O
_	_	_	O
채용	채용	NNG	O
과	과	JKB	O
는	는	JX	O
_	_	_	O
별개	별개	NNG	O
로	로	JKB	O
_	_	_	O
진행된다	진행되+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## “태영호 망명은 북한의 영국 해군 매수 시도때문”
## “<태영호:PER> 망명은 <북한:ORG>의 <영국:ORG> 해군 매수 시도때문”
“	“	SS	O
태영호	태영호	NNP	B-PER
_	_	_	O
망명	망명	NNG	O
은	은	JX	O
_	_	_	O
북한	북한	NNP	B-ORG
의	의	JKG	O
_	_	_	O
영국	영국	NNP	B-ORG
_	_	_	O
해군	해군	NNG	O
_	_	_	O
매수	매수	NNG	O
_	_	_	O
시도	시도	NNG	O
