## 1
## 북쪽의 상황이 한 치의 앞도 가늠할 수 없을만큼 급변한다.
## <북:ORG>쪽의 상황이 한 치의 앞도 가늠할 수 없을만큼 급변한다.
북쪽	북쪽	NNG	O
의	의	JKG	O
_	_	_	O
상황	상황	NNG	O
이	이	JKS	O
_	_	_	O
한	한	MM	O
_	_	_	O
치	치	NNB	O
의	의	JKG	O
_	_	_	O
앞	앞	NNG	O
도	도	JX	O
_	_	_	O
가늠할	가늠하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
을	을	ETM	O
만큼	만큼	NNB	O
_	_	_	O
급변한다	급변하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 경찰 관계자는 “수사 초기 7명이 부풀려진 사실을 확인하고 호소문 내용에 대한 합리적인 의심을 갖게 됐다”고 밝혔다.
## 경찰 관계자는 “수사 초기 <7명:NOH>이 부풀려진 사실을 확인하고 호소문 내용에 대한 합리적인 의심을 갖게 됐다”고 밝혔다.
경찰	경찰	NNG	O
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
수사	수사	NNG	O
_	_	_	O
초기	초기	NNG	O
_	_	_	O
7	7	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
부풀려	부풀리+어	VV+EC	O
진	지+ㄴ	VX+ETM	O
_	_	_	O
사실	사실	NNG	O
을	을	JKO	O
_	_	_	O
확인하	확인하	VV	O
고	고	EC	O
_	_	_	O
호소문	호소문	NNG	O
_	_	_	O
내용	내용	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
합리적	합리적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
의심	의심	NNG	O
을	을	JKO	O
_	_	_	O
갖	갖	VV	O
게	게	EC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 그러나 이번 대회에서는 서영우의 부상 여파로 다소 부진했던 스타트에 발목이 잡혔다.
## 그러나 이번 대회에서는 <서영우:PER>의 부상 여파로 다소 부진했던 스타트에 발목이 잡혔다.
그러나	그러나	MAJ	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
대회	대회	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
서영우	서영우	NNP	B-PER
의	의	JKG	O
_	_	_	O
부상	부상	NNG	O
_	_	_	O
여파	여파	NNG	O
로	로	JKB	O
_	_	_	O
다소	다소	MAG	O
_	_	_	O
부진	부진하	VA	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
스타트	스타트	NNG	O
에	에	JKB	O
_	_	_	O
발목	발목	NNG	O
이	이	JKS	O
_	_	_	O
잡	잡히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 하지만 더 이상 추가점을 내지 못하고 1점차로 석패했다.
## 하지만 더 이상 추가점을 내지 못하고 <1점:NOH>차로 석패했다.
하지만	하지만	MAJ	O
_	_	_	O
더	더	MAG	O
_	_	_	O
이상	이상	NNG	O
_	_	_	O
추가점	추가점	NNG	O
을	을	JKO	O
_	_	_	O
내	내	VV	O
지	지	EC	O
_	_	_	O
못하	못하	VX	O
고	고	EC	O
_	_	_	O
1	1	SN	B-NOH
점	점	NNB	I-NOH
차	차	NNG	O
로	로	JKB	O
_	_	_	O
석패	석패하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 2연패에 빠진 세인트루이스는 24승23패로 내셔널리그 중부지구 3위를 유지했다.
## <2연패:NOH>에 빠진 <세인트루이스:ORG>는 <24승:NOH><23패:NOH>로 <내셔널리그 중부지구:ORG> <3위:NOH>를 유지했다.
2	2	SN	B-NOH
연패	연패	NNG	I-NOH
에	에	JKB	O
_	_	_	O
빠진	빠지+ㄴ	VV+ETM	O
_	_	_	O
세인트루이스	세인트루이스	NNP	B-ORG
는	는	JX	O
_	_	_	O
24	24	SN	B-NOH
승	승	NNB	I-NOH
23	23	SN	B-NOH
패	패	NNB	I-NOH
로	로	JKB	O
_	_	_	O
내셔널리그	내셔널리그	NNG	B-ORG
_	_	_	I-ORG
중부	중부	NNG	I-ORG
지구	지구	NNG	I-ORG
_	_	_	O
3	3	SN	B-NOH
위	위	NNB	I-NOH
를	를	JKO	O
_	_	_	O
유지	유지하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
