## 1
## 이번 러시아의 사과 요구는 지난 7일 북한의 장거리 로켓 발사 직후 긴급 소집된 국회 정보위원화 전체회의에서 국가정보원이 북한이 발사한 로켓의 주요 부품이 대부분 러시아에서 공급된 것으로 보인다고 보고한 것으로 알려지며 나온 발언이다.
## 이번 <러시아:ORG>의 사과 요구는 지난 <7일:DAT> <북한:ORG>의 장거리 로켓 발사 직후 긴급 소집된 <국회 정보위원화 전체회의:POH>에서 <국가정보원:ORG>이 <북한:ORG>이 발사한 로켓의 주요 부품이 대부분 <러시아:ORG>에서 공급된 것으로 보인다고 보고한 것으로 알려지며 나온 발언이다.
이번	이번	NNG	O
_	_	_	O
러시아	러시아	NNP	B-ORG
의	의	JKG	O
_	_	_	O
사과	사과	NNG	O
_	_	_	O
요구	요구	NNG	O
는	는	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
7	7	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
북한	북한	NNP	B-ORG
의	의	JKG	O
_	_	_	O
장거리	장거리	NNG	O
_	_	_	O
로켓	로켓	NNG	O
_	_	_	O
발사	발사	NNG	O
_	_	_	O
직후	직후	NNG	O
_	_	_	O
긴급	긴급	NNG	O
_	_	_	O
소집된	소집되+ㄴ	VV+ETM	O
_	_	_	O
국회	국회	NNG	B-POH
_	_	_	I-POH
정보	정보	NNG	I-POH
위원	위원	NNG	I-POH
화	화	XSN	I-POH
_	_	_	I-POH
전체	전체	NNG	I-POH
회의	회의	NNG	I-POH
에서	에서	JKB	O
_	_	_	O
국가	국가	NNG	B-ORG
정보	정보	NNG	I-ORG
원	원	XSN	I-ORG
이	이	JKS	O
_	_	_	O
북한	북한	NNP	B-ORG
이	이	JKS	O
_	_	_	O
발사한	발사하+ㄴ	VV+ETM	O
_	_	_	O
로켓	로켓	NNG	O
의	의	JKG	O
_	_	_	O
주요	주요	NNG	O
_	_	_	O
부품	부품	NNG	O
이	이	JKS	O
_	_	_	O
대부분	대부분	NNG	O
_	_	_	O
러시아	러시아	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
공급된	공급되+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
보인다고	보이+ㄴ다고	VV+EC	O
_	_	_	O
보고한	보고하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려지	알려지	VV	O
며	며	EC	O
_	_	_	O
나온	나오+ㄴ	VV+ETM	O
_	_	_	O
발언	발언	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
