## 1
## MLB사무국은 5월27일 올리베라에게 82경기 출장정지의 중징계를 내렸다.
## <MLB사무국:ORG>은 <5월27일:DAT> <올리베라:PER>에게 <82경기:NOH> 출장정지의 중징계를 내렸다.
MLB	MLB	SL	B-ORG
사무국	사무국	NNG	I-ORG
은	은	JX	O
_	_	_	O
5	5	SN	B-DAT
월	월	NNB	I-DAT
27	27	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
올	올	NNG	B-PER
리베라	리베라	NNP	I-PER
에게	에게	JKB	O
_	_	_	O
82	82	SN	B-NOH
경기	경기	NNG	I-NOH
_	_	_	O
출장	출장	NNG	O
정지	정지	NNG	O
의	의	JKG	O
_	_	_	O
중징계	중징계	NNG	O
를	를	JKO	O
_	_	_	O
내	내리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 종료 26초 전에는 고아라에게 3점슛을 허용해 52-51까지 쫓겼다.
## 종료 <26초:NOH> 전에는 <고아라:PER>에게 <3점:NOH>슛을 허용해 <52-51:NOH>까지 쫓겼다.
종료	종료	NNG	O
_	_	_	O
26	26	SN	B-NOH
초	초	NNB	I-NOH
_	_	_	O
전	전	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
고아라	고아라	NNP	B-PER
에게	에게	JKB	O
_	_	_	O
3	3	SN	B-NOH
점	점	NNB	I-NOH
슛	슛	NNG	O
을	을	JKO	O
_	_	_	O
허용해	허용하+여	VV+EC	O
_	_	_	O
52	52	SN	B-NOH
-	-	SO	I-NOH
51	51	SN	I-NOH
까지	까지	JX	O
_	_	_	O
쫓	쫓기	VV	O
겼	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 정부는 이번에 넘겨받은 6.25문서를 일반인에게 공개하는 한편 국사편찬위원회 심의를 거쳐, 한국전에 대한 「공식 판정」 자료로 국사교과서에 수록할 계획이다.
## 정부는 이번에 넘겨받은 <6.25:POH>문서를 일반인에게 공개하는 한편 <국사편찬위원회:ORG> 심의를 거쳐, <한국전:POH>에 대한 「공식 판정」 자료로 국사교과서에 수록할 계획이다.
정부	정부	NNG	O
는	는	JX	O
_	_	_	O
이번	이번	NNG	O
에	에	JKB	O
_	_	_	O
넘겨받	넘겨받	VV	O
은	은	ETM	O
_	_	_	O
6.25	6.25	SN	B-POH
문서	문서	NNG	O
를	를	JKO	O
_	_	_	O
일반인	일반인	NNG	O
에게	에게	JKB	O
_	_	_	O
공개하	공개하	VV	O
는	는	ETM	O
_	_	_	O
한편	한편	NNG	O
_	_	_	O
국사	국사	NNG	B-ORG
편찬	편찬	NNG	I-ORG
위원회	위원회	NNG	I-ORG
_	_	_	O
심의	심의	NNG	O
를	를	JKO	O
_	_	_	O
거쳐	거치+어	VV+EC	O
,	,	SP	O
_	_	_	O
한국	한국	NNP	B-POH
전	전	XSN	I-POH
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
「	「	SS	O
공식	공식	NNG	O
_	_	_	O
판정	판정	NNG	O
」	」	SS	O
_	_	_	O
자료	자료	NNG	O
로	로	JKB	O
_	_	_	O
국사	국사	NNG	O
교과서	교과서	NNG	O
에	에	JKB	O
_	_	_	O
수록할	수록하+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 다툭 모하마드 푸지 하룬 경찰 특수수사 부문 책임자는 뉴스트레이츠타임스와의 인터뷰에서 “우리는 이 사건이 외국 요원(에이전트)이 저지른 일이라고 믿을 만한 근거들을 가지고 있다”며 “암살범 두 명 이외에 공범들이 분명히 있다”고 말했다.
## 다툭 <모하마드 푸지 하룬:PER> 경찰 특수수사 부문 책임자는 <뉴스트레이츠타임스:ORG>와의 인터뷰에서 “우리는 이 사건이 외국 요원(에이전트)이 저지른 일이라고 믿을 만한 근거들을 가지고 있다”며 “암살범 <두 명:NOH> 이외에 공범들이 분명히 있다”고 말했다.
다	다	NNG	O
툭	툭	MAG	O
_	_	_	O
모하마드	모하마드	NNP	B-PER
_	_	_	I-PER
푸지	푸지	NNG	I-PER
_	_	_	I-PER
하룬	하룬	NNP	I-PER
_	_	_	O
경찰	경찰	NNG	O
_	_	_	O
특수	특수	NNG	O
수사	수사	NNG	O
_	_	_	O
부문	부문	NNG	O
_	_	_	O
책임자	책임자	NNG	O
는	는	JX	O
_	_	_	O
뉴	뉴	NNG	B-ORG
스트레이츠	스트레이츠	NNP	I-ORG
타임스	타임스	NNP	I-ORG
와	와	JKB	O
의	의	JKG	O
_	_	_	O
인터뷰	인터뷰	NNG	O
에서	에서	JKB	O
_	_	_	O
“	“	SS	O
우리	우리	NP	O
는	는	JX	O
_	_	_	O
이	이	MM	O
_	_	_	O
사건	사건	NNG	O
이	이	JKS	O
_	_	_	O
외국	외국	NNG	O
_	_	_	O
요원	요원	NNG	O
(	(	SS	O
에이전트	에이전트	NNG	O
)	)	SS	O
이	이	JKS	O
_	_	_	O
저지른	저지르+ㄴ	VV+ETM	O
_	_	_	O
일	일	NNG	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
믿	믿	VV	O
을	을	ETM	O
_	_	_	O
만한	만하+ㄴ	VX+ETM	O
_	_	_	O
근거	근거	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
가지	가지	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
암살	암살	NNG	O
범	범	XSN	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
_	_	_	O
이외	이외	NNG	O
에	에	JKB	O
_	_	_	O
공범	공범	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
분명히	분명히	MAG	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 이어진 토크콘서트에선 시인 신달자, 배우 명로진 등이 본인의 경험담을 통해 나눔·배려·소통 등 정신적 가치의 중요성을 강조했다.
## 이어진 토크콘서트에선 시인 <신달자:PER>, 배우 <명로진:PER> 등이 본인의 경험담을 통해 나눔·배려·소통 등 정신적 가치의 중요성을 강조했다.
이어진	이어지+ㄴ	VV+ETM	O
_	_	_	O
토크	토크	NNG	O
콘서트	콘서트	NNG	O
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
시인	시인	NNG	O
_	_	_	O
신달자	신달자	NNP	B-PER
,	,	SP	O
_	_	_	O
배우	배우	NNG	O
_	_	_	O
명로진	명로진	NNP	B-PER
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
본인	본인	NNG	O
의	의	JKG	O
_	_	_	O
경험담	경험담	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
나눔	나누+ㅁ	VV+ETN	O
·	·	SP	O
배려	배려	NNG	O
·	·	SP	O
소통	소통	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
정신적	정신적	NNG	O
_	_	_	O
가치	가치	NNG	O
의	의	JKG	O
_	_	_	O
중요성	중요성	NNG	O
을	을	JKO	O
_	_	_	O
강조	강조하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 이날 환율 급락도 트럼프 당선인이 첫 기자회견에서 재정 확대, 감세 등 핵심 경제정책에 대한 언급을 하지 않자 시장의 실망감이 커졌고 달러가 약세로 돌아선 탓이다.
## 이날 환율 급락도 <트럼프:PER> 당선인이 첫 기자회견에서 재정 확대, 감세 등 핵심 경제정책에 대한 언급을 하지 않자 시장의 실망감이 커졌고 달러가 약세로 돌아선 탓이다.
이날	이날	NNG	O
_	_	_	O
환율	환율	NNG	O
_	_	_	O
급락	급락	NNG	O
도	도	JX	O
_	_	_	O
트럼프	트럼프	NNP	B-PER
_	_	_	O
당선인	당선인	NNG	O
이	이	JKC	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
기자	기자	NNG	O
회견	회견	NNG	O
에서	에서	JKB	O
_	_	_	O
재정	재정	NNG	O
_	_	_	O
확대	확대	NNG	O
,	,	SP	O
_	_	_	O
감세	감세	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
핵심	핵심	NNG	O
_	_	_	O
경제	경제	NNG	O
정책	정책	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
언급	언급	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
자	자	EC	O
_	_	_	O
시장	시장	NNG	O
의	의	JKG	O
_	_	_	O
실망감	실망감	NNG	O
이	이	JKS	O
_	_	_	O
커	커지	VV	O
졌	었	EP	O
고	고	EC	O
_	_	_	O
달러	달러	NNG	O
가	가	JKS	O
_	_	_	O
약세	약세	NNG	O
로	로	JKB	O
_	_	_	O
돌아선	돌아서+ㄴ	VV+ETM	O
_	_	_	O
탓	탓	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 7
## 간선제로 치러진 후보자 선정 투표에는 위원 50명(내부 37명·외부 17명) 가운데 49명이 참여했다.
## 간선제로 치러진 후보자 선정 투표에는 위원 <50명:NOH>(내부 <37명:NOH>·외부 <17명:NOH>) 가운데 <49명:NOH>이 참여했다.
간선제	간선제	NNG	O
로	로	JKB	O
_	_	_	O
치	치르	VV	O
러	어	EC	O
진	지+ㄴ	VX+ETM	O
_	_	_	O
후보자	후보자	NNG	O
_	_	_	O
선정	선정	NNG	O
_	_	_	O
투표	투표	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
위원	위원	NNG	O
_	_	_	O
50	50	SN	B-NOH
명	명	NNB	I-NOH
(	(	SS	O
내부	내부	NNG	O
_	_	_	O
37	37	SN	B-NOH
명	명	NNB	I-NOH
·	·	SP	O
외부	외부	NNG	O
_	_	_	O
17	17	SN	B-NOH
명	명	NNB	I-NOH
)	)	SS	O
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
49	49	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
참여	참여하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 1차 투표에서는 강병수(1번·행정학부) 교수가 5표, 김영상(3번·생화학과) 교수가 16표, 홍성권(4번·고분자공학과) 교수가 8표, 오덕성(5번·건축학과) 교수가 20표를 얻어 김·오 교수가 결선에 올랐다.
