## 1
## 한편 배우 이동욱과 정려원이 ‘풍선껌’ 주인공으로 최종 확정됐다.
## 한편 배우 <이동욱:PER>과 <정려원:PER>이 ‘<풍선껌:POH>’ 주인공으로 최종 확정됐다.
한편	한편	MAG	O
_	_	_	O
배우	배우	NNG	O
_	_	_	O
이동욱	이동욱	NNP	B-PER
과	과	JC	O
_	_	_	O
정려원	정려원	NNP	B-PER
이	이	JKS	O
_	_	_	O
‘	‘	SS	O
풍선껌	풍선껌	NNG	B-POH
’	’	SS	O
_	_	_	O
주인공	주인공	NNG	O
으로	으로	JKB	O
_	_	_	O
최종	최종	NNG	O
_	_	_	O
확정	확정되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 식물성 수지의 친환경성에 독특한 디자인까지 겸비한 ‘지아 자연애’ ‘지아 자연애’는 LG하우시스의 친환경 인테리어 제품 라인인 ‘지아(zea) 시리즈’의 바닥재 신제품으로, 피부에 닿는 표면층에 옥수수에서 유래한 식물성수지(PLA)를 사용해 친환경성을 높인 제품이다.
## 식물성 수지의 친환경성에 독특한 디자인까지 겸비한 ‘<지아 자연애:POH>’ ‘<지아 자연애:POH>’는 <LG하우시스:ORG>의 친환경 인테리어 제품 라인인 ‘<지아(zea) 시리즈:POH>’의 바닥재 신제품으로, 피부에 닿는 표면층에 옥수수에서 유래한 식물성수지(PLA)를 사용해 친환경성을 높인 제품이다.
식물성	식물성	NNG	O
_	_	_	O
수지	수지	NNG	O
의	의	JKG	O
_	_	_	O
친	친	XPN	O
환경	환경	NNG	O
성	성	XSN	O
에	에	JKB	O
_	_	_	O
독특한	독특하+ㄴ	VA+ETM	O
_	_	_	O
디자인	디자인	NNG	O
까지	까지	JX	O
_	_	_	O
겸비한	겸비하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
지아	지아	NNP	B-POH
_	_	_	I-POH
자연애	자연애	NNG	I-POH
’	’	SS	O
_	_	_	O
‘	‘	SS	O
지아	지아	NNP	B-POH
_	_	_	I-POH
자연애	자연애	NNG	I-POH
’	’	SS	O
는	는	JX	O
_	_	_	O
LG	LG	SL	B-ORG
하우	하우	NNG	I-ORG
시스	시스	NNP	I-ORG
의	의	JKG	O
_	_	_	O
친환경	친환경	NNG	O
_	_	_	O
인테리어	인테리어	NNG	O
_	_	_	O
제품	제품	NNG	O
_	_	_	O
라인	라인	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
‘	‘	SS	O
지아	지아	NNP	B-POH
(	(	SS	I-POH
zea	zea	SL	I-POH
)	)	SS	I-POH
_	_	_	I-POH
시리즈	시리즈	NNG	I-POH
’	’	SS	O
의	의	JKG	O
_	_	_	O
바닥재	바닥재	NNG	O
_	_	_	O
신제품	신제품	NNG	O
으로	으로	JKB	O
,	,	SP	O
_	_	_	O
피부	피부	NNG	O
에	에	JKB	O
_	_	_	O
닿	닿	VV	O
는	는	ETM	O
_	_	_	O
표면층	표면층	NNG	O
에	에	JKB	O
_	_	_	O
옥수수	옥수수	NNG	O
에서	에서	JKB	O
_	_	_	O
유래한	유래하+ㄴ	VV+ETM	O
_	_	_	O
식물성	식물성	NNG	O
수지	수지	NNG	O
(	(	SS	O
PLA	PLA	SL	O
)	)	SS	O
를	를	JKO	O
_	_	_	O
사용해	사용하+여	VV+EC	O
_	_	_	O
친	친	XPN	O
환경	환경	NNG	O
성	성	XSN	O
을	을	JKO	O
_	_	_	O
높인	높이+ㄴ	VV+ETM	O
_	_	_	O
제품	제품	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 내장 SIM카드를 기반으로 이동통신사 전용 요금제에 가입해 단독 통화를 이용할 수 있으며 자신의 휴대전화 번호를 기어 S3 LTE 모델에도 그대로 사용할 수 있다.
## 내장 SIM카드를 기반으로 이동통신사 전용 요금제에 가입해 단독 통화를 이용할 수 있으며 자신의 휴대전화 번호를 <기어 S3 LTE 모델:POH>에도 그대로 사용할 수 있다.
내장	내장	NNG	O
_	_	_	O
SIM	SIM	SL	O
카드	카드	NNG	O
를	를	JKO	O
_	_	_	O
기반	기반	NNG	O
으로	으로	JKB	O
_	_	_	O
이동통신	이동통신	NNG	O
사	사	XSN	O
_	_	_	O
전용	전용	NNG	O
_	_	_	O
요금	요금	NNG	O
제	제	XSN	O
에	에	JKB	O
_	_	_	O
가입해	가입하+여	VV+EC	O
_	_	_	O
단독	단독	NNG	O
_	_	_	O
통화	통화	NNG	O
를	를	JKO	O
_	_	_	O
이용할	이용하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
으며	으며	EC	O
_	_	_	O
